Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,10.770000,10.870000,10.210000,10.210000,9.986587,9226064
2023-02-24,10.110000,11.230000,9.850000,11.230000,10.984266,110774674
2023-02-27,11.200000,12.350000,10.820000,12.350000,12.079760,59793793
2023-02-28,12.690000,13.340000,11.310000,12.760000,12.480788,108829787
2023-03-01,12.500000,13.810000,12.350000,13.040000,12.754661,76334984
2023-03-02,13.040000,13.480000,11.800000,11.980000,11.717855,46293703
2023-03-03,11.840000,12.630000,11.560000,12.100000,11.835231,57134072
2023-03-06,12.230000,12.420000,11.710000,11.720000,11.463546,25358682
2023-03-07,11.740000,11.830000,10.960000,10.960000,10.720176,32788885
2023-03-08,11.200000,11.350000,10.460000,10.510000,10.280023,35968623
2023-03-09,10.520000,11.560000,10.510000,11.560000,11.307047,42496922
2023-03-10,11.650000,12.350000,11.100000,11.310000,11.062517,51928879
2023-03-13,11.310000,11.770000,10.800000,11.050000,10.808207,30229976
2023-03-14,11.200000,11.550000,10.850000,10.930000,10.690832,26581566
2023-03-15,10.850000,11.050000,10.310000,10.520000,10.289804,18873092
2023-03-16,10.560000,10.970000,10.320000,10.510000,10.280023,25005060
2023-03-17,10.620000,11.090000,10.400000,10.400000,10.172429,42732833
2023-03-20,10.410000,10.630000,9.870000,9.870000,9.654026,18149140
2023-03-21,9.940000,10.020000,9.420000,9.570000,9.360591,16718056
2023-03-22,9.660000,9.980000,9.450000,9.680000,9.468184,27039551
2023-03-23,9.680000,10.640000,9.600000,10.150000,9.927899,86872827
2023-03-24,10.160000,10.380000,9.950000,10.000000,9.781181,17812388
2023-03-27,10.020000,10.160000,9.670000,9.670000,9.458403,10352115
2023-03-28,9.680000,9.760000,8.990000,9.000000,8.803063,14923068
2023-03-29,9.000000,9.050000,8.610000,8.920000,8.724814,24875748
2023-03-30,8.940000,9.190000,8.750000,8.850000,8.656346,12780368
2023-03-31,8.850000,8.880000,8.510000,8.570000,8.382472,6982090
2023-04-03,8.580000,8.820000,8.160000,8.380000,8.196630,10909867
2023-04-04,8.380000,8.660000,8.350000,8.520000,8.333568,13640817
2023-04-05,8.540000,8.660000,8.420000,8.430000,8.245537,13539340
2023-04-06,8.430000,8.600000,8.270000,8.320000,8.137943,8497196
2023-04-07,8.340000,8.470000,8.250000,8.390000,8.206412,10555185
2023-04-10,8.450000,8.690000,8.390000,8.580000,8.392254,19190550
2023-04-11,8.610000,9.430000,8.580000,8.800000,8.607440,41848971
2023-04-12,8.790000,8.840000,8.600000,8.630000,8.441160,12191692
2023-04-13,8.680000,9.060000,8.630000,8.740000,8.548753,16467947
2023-04-14,8.780000,8.880000,8.640000,8.670000,8.480285,8340408
2023-04-17,8.680000,8.760000,8.440000,8.450000,8.265099,6971598
2023-04-18,8.440000,8.660000,8.340000,8.400000,8.216192,15358521
2023-04-19,8.410000,8.570000,8.250000,8.300000,8.118382,11123676
2023-04-20,8.300000,8.530000,8.220000,8.400000,8.216192,5094730
2023-04-24,8.500000,8.700000,8.370000,8.370000,8.186849,10249382
2023-04-25,8.410000,8.510000,8.130000,8.190000,8.010788,10475326
2023-04-26,8.210000,8.240000,7.920000,7.950000,7.776039,5079255
2023-04-27,7.930000,8.260000,7.920000,8.010000,7.834727,13009518
2023-04-28,8.030000,8.080000,7.630000,7.680000,7.511948,5646330
