Date,Open,High,Low,Close,Adj Close,Volume
2023-03-28,7.680000,7.816000,7.480000,7.632000,7.632000,41978137
2023-03-29,7.560000,7.560000,7.264000,7.360000,7.360000,37662825
2023-03-30,7.360000,7.400000,7.280000,7.300000,7.300000,17477700
2023-03-31,7.264000,7.264000,7.080000,7.088000,7.088000,18045362
2023-04-03,7.084000,7.104000,6.832000,6.960000,6.960000,18783125
2023-04-04,7.004000,7.184000,6.932000,7.152000,7.152000,17211600
2023-04-05,7.148000,7.320000,7.088000,7.268000,7.268000,16192600
2023-04-06,7.268000,7.332000,7.180000,7.284000,7.284000,11193687
2023-04-07,7.232000,7.240000,7.100000,7.124000,7.124000,12126700
2023-04-10,7.148000,7.260000,7.136000,7.236000,7.236000,10511300
2023-04-11,7.244000,7.344000,7.184000,7.212000,7.212000,14682600
2023-04-12,7.216000,7.248000,7.192000,7.232000,7.232000,13660287
2023-04-13,7.240000,7.348000,7.164000,7.188000,7.188000,17114587
2023-04-14,7.124000,7.184000,7.072000,7.104000,7.104000,9118262
2023-04-17,7.040000,7.160000,7.000000,7.000000,7.000000,38342525
2023-04-18,7.028000,7.352000,7.012000,7.204000,7.204000,25066650
2023-04-19,7.204000,7.416000,7.192000,7.372000,7.372000,20885325
2023-04-20,7.384000,7.400000,7.256000,7.276000,7.276000,6600050
2023-04-24,7.276000,7.312000,7.216000,7.216000,7.216000,9875337
2023-04-25,7.224000,7.336000,7.128000,7.128000,7.128000,19447900
2023-04-26,7.160000,7.160000,6.856000,6.916000,6.916000,20484200
2023-04-27,6.952000,7.032000,6.892000,6.916000,6.916000,12886587
2023-04-28,6.900000,7.144000,6.796000,6.844000,6.844000,17321475
2023-05-02,6.868000,6.912000,6.532000,6.556000,6.556000,15431037
2023-05-03,6.556000,6.580000,6.240000,6.440000,6.440000,29876425
2023-05-04,6.472000,6.772000,6.440000,6.772000,6.772000,15196612
2023-05-05,6.680000,6.816000,6.632000,6.776000,6.776000,8848087
2023-05-08,6.744000,6.744000,6.552000,6.588000,6.588000,16247375
