Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,28.059999,29.100000,27.940001,28.340000,27.851658,799357
2023-02-28,26.799999,27.760000,26.799999,27.059999,26.593714,1911585
2023-03-01,27.059999,27.299999,26.760000,26.879999,26.416817,1095782
2023-03-02,26.879999,26.980000,25.600000,25.799999,25.355427,1643693
2023-03-03,25.799999,26.440001,24.520000,25.500000,25.060596,889652
2023-03-06,25.540001,26.360001,24.280001,25.900000,25.453703,1158401
2023-03-07,26.000000,26.480000,25.900000,26.280001,25.827156,1057792
2023-03-08,26.340000,26.940001,25.900000,26.940001,26.475782,946286
2023-03-09,26.940001,29.040001,26.660000,28.000000,27.517517,3330772
2023-03-10,28.000000,28.299999,27.000000,27.459999,26.986822,1440342
2023-03-13,27.920000,29.020000,27.620001,28.400000,27.910624,2192242
2023-03-14,28.400000,28.459999,26.900000,26.900000,26.436472,1122195
2023-03-15,26.700001,26.700001,25.100000,25.120001,24.687145,1325944
2023-03-16,25.480000,26.059999,24.860001,25.299999,24.864042,823781
2023-03-17,25.379999,25.440001,24.740000,24.780001,24.353004,1103847
2023-03-20,24.780001,25.180000,23.780001,23.799999,23.389889,920546
2023-03-21,23.799999,24.000000,23.120001,23.480000,23.075403,589628
2023-03-22,23.480000,23.920000,22.940001,23.580000,23.173681,718583
2023-03-23,23.480000,25.920000,23.480000,25.920000,25.473358,2561879
2023-03-24,25.620001,27.559999,25.200001,27.000000,26.534748,6046692
2023-03-27,27.000000,27.580000,26.100000,26.180000,25.728880,1488166
2023-03-28,26.180000,26.299999,24.020000,24.059999,23.645409,1458696
2023-03-29,23.900000,26.459999,23.799999,25.719999,25.276804,2532616
2023-03-30,26.059999,28.260000,26.040001,28.260000,27.773037,4588352
2023-03-31,28.260000,28.260000,26.080000,26.080000,25.630602,3089187
2023-04-03,26.320000,28.680000,26.320000,28.200001,27.714071,6481622
2023-04-04,28.200001,30.600000,26.959999,30.299999,29.777884,5952636
2023-04-05,30.299999,32.060001,30.020000,31.200001,30.662376,4296092
2023-04-06,31.000000,31.740000,30.400000,31.139999,30.603409,2389581
2023-04-07,31.400000,32.599998,30.920000,30.920000,30.387201,2485026
2023-04-10,30.920000,31.020000,29.500000,29.600000,29.600000,2519522
2023-04-11,29.660000,29.799999,28.600000,28.680000,28.680000,1599474
2023-04-12,28.719999,29.020000,28.120001,28.379999,28.379999,1307658
2023-04-13,28.580000,28.700001,27.600000,27.820000,27.820000,1020535
2023-04-14,27.940001,28.000000,26.940001,27.059999,27.059999,781706
2023-04-17,27.120001,28.320000,26.580000,26.680000,26.680000,1567673
2023-04-18,26.719999,26.940001,25.959999,26.440001,26.440001,947593
2023-04-19,26.459999,26.660000,26.120001,26.280001,26.280001,494244
2023-04-20,26.280001,26.459999,26.040001,26.100000,26.100000,253366
2023-04-24,26.260000,26.500000,26.000000,26.500000,26.500000,497988
2023-04-25,26.680000,26.900000,25.080000,25.299999,25.299999,727103
2023-04-26,25.320000,25.540001,24.240000,24.500000,24.500000,649617
2023-04-27,24.540001,24.760000,24.139999,24.400000,24.400000,445209
2023-04-28,24.440001,25.980000,24.000000,24.500000,24.500000,1403037
