Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,4.460000,4.560000,4.420000,4.510000,4.510000,4848526
2023-03-13,4.540000,4.570000,4.390000,4.520000,4.520000,15679846
2023-03-14,4.530000,4.560000,4.350000,4.360000,4.360000,4828557
2023-03-15,4.360000,4.390000,4.050000,4.130000,4.130000,5111725
2023-03-16,4.130000,4.240000,4.110000,4.230000,4.230000,5008593
2023-03-17,4.240000,4.270000,4.120000,4.120000,4.120000,5845743
2023-03-20,4.170000,4.220000,4.000000,4.040000,4.040000,5334074
2023-03-21,4.040000,4.080000,3.900000,4.000000,4.000000,6198798
2023-03-22,4.050000,4.110000,3.970000,4.090000,4.090000,4778524
2023-03-23,4.090000,4.190000,4.070000,4.160000,4.160000,2919969
2023-03-24,4.160000,4.200000,4.110000,4.130000,4.130000,3472345
2023-03-27,4.140000,4.160000,4.080000,4.150000,4.150000,6290952
2023-03-28,4.180000,4.190000,3.980000,3.990000,3.990000,3417763
2023-03-29,3.990000,4.040000,3.830000,3.970000,3.970000,6648987
2023-03-30,4.000000,4.200000,3.980000,4.170000,4.170000,7159521
2023-03-31,4.160000,4.170000,4.000000,4.040000,4.040000,3633519
2023-04-03,4.030000,4.040000,3.850000,4.000000,4.000000,3646019
2023-04-04,4.000000,4.060000,3.950000,4.050000,4.050000,2437117
2023-04-05,4.050000,4.160000,4.010000,4.050000,4.050000,3768565
2023-04-06,4.110000,4.110000,4.000000,4.040000,4.040000,3011222
2023-04-07,4.030000,4.060000,3.980000,3.980000,3.980000,2972866
2023-04-10,4.000000,4.200000,3.970000,4.060000,4.060000,5679777
2023-04-11,4.070000,4.220000,4.030000,4.190000,4.190000,7500492
2023-04-12,4.230000,4.470000,4.150000,4.350000,4.350000,13214752
2023-04-13,4.360000,4.390000,4.270000,4.290000,4.290000,7497663
2023-04-14,4.300000,4.320000,4.170000,4.210000,4.210000,3481112
2023-04-17,4.230000,4.310000,4.090000,4.140000,4.140000,5821472
2023-04-18,4.150000,4.400000,4.080000,4.220000,4.220000,7899668
2023-04-19,4.220000,4.250000,4.140000,4.200000,4.200000,3200642
2023-04-20,4.200000,4.200000,4.150000,4.170000,4.170000,703881
2023-04-24,4.170000,4.210000,4.090000,4.100000,4.100000,3439459
2023-04-25,4.100000,4.120000,3.970000,3.980000,3.980000,3317081
2023-04-26,4.020000,4.370000,3.990000,4.370000,4.370000,26633320
2023-04-27,4.390000,4.420000,4.100000,4.150000,4.150000,16026998
2023-04-28,4.170000,4.180000,3.980000,4.060000,4.060000,4892691
2023-05-02,4.040000,4.070000,3.850000,3.860000,3.860000,4379254
2023-05-03,3.850000,3.960000,3.660000,3.730000,3.730000,6329485
2023-05-04,3.720000,3.850000,3.680000,3.790000,3.790000,3695864
2023-05-05,3.820000,3.820000,3.660000,3.690000,3.690000,2617300
2023-05-08,3.690000,3.780000,3.690000,3.720000,3.720000,2939603
2023-05-09,3.740000,3.990000,3.680000,3.910000,3.910000,7062169
2023-05-10,3.910000,3.940000,3.750000,3.770000,3.770000,2816317
2023-05-11,3.780000,3.980000,3.780000,3.830000,3.830000,5618203
2023-05-12,3.850000,3.900000,3.740000,3.790000,3.790000,2885758
2023-05-15,3.790000,3.960000,3.680000,3.830000,3.830000,3602722
2023-05-16,3.830000,4.210000,3.830000,4.120000,4.120000,12329564
2023-05-17,4.090000,4.290000,4.050000,4.200000,4.200000,16519394
