Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,8.380000,8.390000,8.150000,8.170000,8.170000,3122940
2023-03-13,8.980000,8.980000,8.800000,8.980000,8.980000,10148542
2023-03-14,9.020000,9.330000,8.810000,9.250000,9.250000,18575490
2023-03-15,9.240000,9.330000,8.660000,8.700000,8.700000,9665758
2023-03-16,8.790000,8.940000,8.670000,8.790000,8.790000,5875845
2023-03-17,8.850000,8.890000,8.450000,8.450000,8.450000,9591887
2023-03-20,8.410000,8.700000,8.270000,8.270000,8.270000,4965479
2023-03-21,8.270000,8.440000,8.000000,8.100000,8.100000,4091379
2023-03-22,8.170000,8.250000,8.010000,8.130000,8.130000,3798870
2023-03-23,8.160000,8.290000,8.060000,8.140000,8.140000,4038465
2023-03-24,8.170000,8.290000,8.060000,8.240000,8.240000,4080090
2023-03-27,8.340000,8.540000,8.310000,8.350000,8.350000,6101028
2023-03-28,8.350000,8.360000,7.870000,7.910000,7.910000,5001523
2023-03-29,7.910000,7.980000,7.630000,7.920000,7.920000,4086670
2023-03-30,7.920000,8.030000,7.740000,7.770000,7.770000,3521367
2023-03-31,7.710000,7.890000,7.450000,7.740000,7.740000,6261407
2023-04-03,7.740000,7.850000,7.480000,7.850000,7.850000,3980529
2023-04-04,7.850000,7.870000,7.680000,7.840000,7.840000,4750410
2023-04-05,7.860000,7.990000,7.760000,7.780000,7.780000,3828404
2023-04-06,7.770000,7.860000,7.670000,7.740000,7.740000,3697260
2023-04-07,7.750000,7.880000,7.710000,7.760000,7.760000,3392606
2023-04-10,7.780000,8.050000,7.780000,8.000000,8.000000,7717522
2023-04-11,8.020000,8.280000,8.020000,8.070000,8.070000,6542587
2023-04-12,8.050000,8.230000,8.020000,8.110000,8.110000,5776283
2023-04-13,8.140000,8.310000,8.060000,8.080000,8.080000,7917816
2023-04-14,8.120000,8.200000,7.730000,7.770000,7.770000,9480301
2023-04-17,7.770000,7.850000,7.610000,7.610000,7.610000,4735405
2023-04-18,7.600000,7.660000,7.500000,7.540000,7.540000,2577271
2023-04-19,7.540000,7.590000,7.440000,7.490000,7.490000,2624647
2023-04-20,7.490000,7.500000,7.380000,7.420000,7.420000,886077
2023-04-24,7.510000,7.570000,7.440000,7.440000,7.440000,2244385
2023-04-25,7.460000,7.500000,7.280000,7.280000,7.280000,2581521
2023-04-26,7.280000,7.280000,6.960000,6.970000,6.970000,4321869
2023-04-27,7.010000,7.100000,6.960000,7.030000,7.030000,2711284
2023-04-28,7.170000,7.420000,6.960000,7.130000,7.130000,5702332
2023-05-02,7.140000,7.300000,6.640000,6.650000,6.650000,4656010
2023-05-03,6.700000,7.060000,6.280000,6.400000,6.400000,5056781
2023-05-04,6.420000,6.650000,6.360000,6.440000,6.440000,5497103
2023-05-05,6.460000,6.500000,6.250000,6.290000,6.290000,2437551
2023-05-08,6.310000,6.420000,6.260000,6.400000,6.400000,2890334
2023-05-09,6.400000,6.770000,6.400000,6.540000,6.540000,5733290
