Date,Open,High,Low,Close,Adj Close,Volume
2023-02-20,18.750000,20.200001,18.750000,20.200001,19.880732,1675393
2023-02-21,20.100000,21.879999,19.209999,20.660000,20.333460,2412090
2023-02-22,20.680000,21.600000,19.980000,20.299999,19.979149,1880748
2023-02-23,20.500000,21.120001,20.299999,20.520000,20.195673,1249387
2023-02-24,20.700001,20.980000,19.700001,20.020000,19.703575,1708549
2023-02-27,20.700001,22.020000,19.700001,20.600000,20.274408,9844466
2023-02-28,20.100000,22.219999,20.100000,21.160000,20.825558,8081333
2023-03-01,21.200001,22.840000,20.860001,22.200001,21.849121,7304149
2023-03-02,22.260000,23.500000,20.340000,20.740000,20.412195,5363942
2023-03-03,20.459999,22.719999,20.299999,22.299999,21.947538,6196174
2023-03-06,22.879999,24.500000,22.459999,24.400000,24.014347,6533213
2023-03-07,25.100000,25.900000,23.000000,24.180000,23.797825,6135975
2023-03-08,24.040001,24.120001,22.879999,22.980000,22.616791,3124415
2023-03-09,21.520000,23.680000,20.700001,23.080000,22.715210,5653126
2023-03-10,23.100000,24.639999,22.100000,22.459999,22.105009,6656663
2023-03-13,22.459999,22.660000,20.780001,21.080000,20.746822,2965014
2023-03-14,21.080000,21.580000,20.160000,20.160000,19.841362,2576206
2023-03-15,20.200001,21.280001,19.610001,20.420000,20.097254,4411344
2023-03-16,20.500000,20.780001,19.799999,19.980000,19.664207,2241257
2023-03-17,19.980000,20.120001,19.000000,19.110001,18.807959,2134906
2023-03-20,19.110001,19.870001,18.000000,18.000000,17.715502,5203383
2023-03-21,18.010000,18.350000,17.420000,17.430000,17.154512,1606176
2023-03-22,17.440001,18.170000,17.150000,17.990000,17.705660,1959326
2023-03-23,17.740000,18.299999,17.400000,17.639999,17.361191,2166725
2023-03-24,17.650000,18.250000,17.510000,18.190001,17.902500,1751681
2023-03-27,18.250000,18.559999,17.600000,17.620001,17.341509,1400856
2023-03-28,17.620001,17.780001,16.010000,16.010000,15.756955,1368415
2023-03-29,15.980000,17.610001,15.250000,17.610001,17.331667,3971192
2023-03-30,18.049999,19.370001,18.049999,19.370001,19.063850,3290483
2023-03-31,20.340000,21.299999,17.610001,18.160000,17.872972,7227357
2023-04-03,18.160000,19.969999,17.639999,19.969999,19.654366,4822419
2023-04-04,20.520000,21.040001,19.070000,19.500000,19.191793,6235163
2023-04-05,19.500000,19.750000,18.540001,18.719999,18.719999,2262162
2023-04-06,18.920000,19.459999,18.400000,18.520000,18.520000,2085825
2023-04-07,18.570000,18.980000,18.129999,18.209999,18.209999,1145104
2023-04-10,18.500000,18.590000,17.850000,17.920000,17.920000,1249111
2023-04-11,18.000000,18.190001,17.670000,17.709999,17.709999,1394762
2023-04-12,17.650000,18.500000,17.590000,17.879999,17.879999,1340032
2023-04-13,17.889999,19.600000,17.770000,18.379999,18.379999,4716050
2023-04-14,18.200001,18.870001,18.000000,18.080000,18.080000,1712260
2023-04-17,18.459999,18.590000,17.620001,17.680000,17.680000,1241070
2023-04-18,17.680000,17.760000,16.620001,17.090000,17.090000,1210733
2023-04-19,17.120001,17.980000,16.900000,17.559999,17.559999,1416397
2023-04-20,17.600000,17.750000,17.000000,17.270000,17.270000,652488
2023-04-24,17.280001,17.950001,17.049999,17.150000,17.150000,1691172
2023-04-25,17.180000,17.410000,16.360001,16.490000,16.490000,1122400
2023-04-26,16.490000,16.730000,15.810000,15.970000,15.970000,1498520
2023-04-27,15.970000,16.240000,15.500000,16.000000,16.000000,2536482
2023-04-28,16.190001,16.330000,15.200000,15.400000,15.400000,1834179
