Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,8.740000,9.000000,8.650000,8.830000,8.725307,5056819
2023-03-01,8.930000,9.530000,8.930000,9.060000,8.952581,8976349
2023-03-02,9.060000,9.960000,8.920000,9.200000,9.090920,14238167
2023-03-03,9.120000,9.200000,8.670000,8.830000,8.725307,6510797
2023-03-06,8.880000,9.190000,8.790000,9.030000,8.922936,5289004
2023-03-07,9.030000,9.220000,8.950000,9.000000,8.893292,5985561
2023-03-08,9.010000,9.400000,8.900000,9.320000,9.209497,11448012
2023-03-09,9.320000,9.630000,9.260000,9.350000,9.239142,7309300
2023-03-10,9.210000,9.760000,9.100000,9.100000,8.992106,11211400
2023-03-13,9.130000,9.200000,8.800000,8.850000,8.745070,5398785
2023-03-14,8.880000,8.960000,8.700000,8.730000,8.626493,3438366
2023-03-15,9.390000,9.390000,8.820000,9.090000,8.982225,14367461
2023-03-16,9.140000,9.370000,8.690000,9.190000,9.081038,10787065
2023-03-17,9.200000,9.250000,8.980000,9.000000,8.893292,6073375
2023-03-20,9.000000,9.010000,8.590000,8.650000,8.547441,5240532
2023-03-21,8.650000,8.680000,8.280000,8.350000,8.250999,4361867
2023-03-22,8.380000,8.600000,8.310000,8.340000,8.241117,3495516
2023-03-23,8.340000,8.460000,8.100000,8.130000,8.033607,3788586
2023-03-24,8.120000,8.850000,8.070000,8.510000,8.409101,13814668
2023-03-27,8.500000,9.230000,8.390000,8.960000,8.853766,10312193
2023-03-28,8.950000,8.950000,8.300000,8.350000,8.250999,6045225
2023-03-29,8.330000,8.330000,8.070000,8.240000,8.142303,3670222
2023-03-30,8.250000,8.520000,8.200000,8.250000,8.152184,3671368
2023-03-31,8.250000,8.280000,7.960000,8.030000,7.934793,2565347
2023-04-03,8.000000,8.040000,7.690000,7.830000,7.737164,3299437
2023-04-04,7.840000,8.000000,7.810000,7.920000,7.826097,2593514
2023-04-05,7.960000,8.080000,7.900000,7.930000,7.835979,2735604
2023-04-06,7.940000,8.010000,7.840000,7.870000,7.776690,2339472
2023-04-07,7.890000,7.920000,7.820000,7.830000,7.737164,1938721
2023-04-10,7.860000,8.070000,7.860000,7.950000,7.855741,2845951
2023-04-11,7.950000,8.190000,7.950000,8.160000,8.063251,4796676
2023-04-12,8.160000,8.260000,8.020000,8.050000,7.954556,4194137
2023-04-13,8.080000,8.150000,7.940000,7.940000,7.845860,2814060
2023-04-14,7.940000,8.070000,7.860000,7.900000,7.806334,2165766
2023-04-17,7.900000,8.060000,7.820000,7.850000,7.756927,3024938
2023-04-18,7.860000,7.890000,7.720000,7.770000,7.677876,1973306
2023-04-19,7.770000,7.900000,7.740000,7.850000,7.756927,1692555
2023-04-20,7.830000,7.850000,7.730000,7.800000,7.707520,650050
2023-04-24,7.810000,8.110000,7.750000,8.010000,7.915030,4230171
2023-04-25,8.080000,8.140000,7.740000,7.740000,7.648231,3601964
2023-04-26,7.730000,7.730000,7.320000,7.420000,7.332026,3177346
2023-04-27,7.400000,7.570000,7.350000,7.480000,7.391314,2232432
2023-04-28,7.500000,7.650000,7.140000,7.190000,7.104752,3469197
2023-05-02,7.150000,7.220000,6.720000,6.730000,6.650206,2765518
2023-05-03,6.650000,6.710000,6.070000,6.500000,6.422933,2986174
