Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,5.280000,5.650000,5.240000,5.320000,5.320000,33091336
2023-03-02,5.190000,5.260000,5.020000,5.060000,5.060000,12857208
2023-03-03,5.080000,5.160000,4.970000,5.010000,5.010000,9225215
2023-03-06,5.010000,5.070000,4.900000,4.970000,4.970000,7624633
2023-03-07,4.990000,5.000000,4.840000,4.850000,4.850000,7489695
2023-03-08,4.870000,4.900000,4.710000,4.710000,4.710000,5165227
2023-03-09,4.710000,5.140000,4.660000,5.040000,5.040000,19357136
2023-03-10,5.040000,5.190000,4.880000,4.890000,4.890000,9795082
2023-03-13,4.890000,4.950000,4.680000,4.740000,4.740000,6476249
2023-03-14,4.740000,4.860000,4.700000,4.710000,4.710000,6747448
2023-03-15,4.710000,4.740000,4.490000,4.570000,4.570000,3577540
2023-03-16,4.570000,4.680000,4.500000,4.550000,4.550000,4913191
2023-03-17,4.570000,4.680000,4.490000,4.490000,4.490000,6351878
2023-03-20,4.490000,4.510000,4.260000,4.260000,4.260000,4182395
2023-03-21,4.300000,4.320000,4.080000,4.100000,4.100000,3532135
2023-03-22,4.100000,4.160000,4.060000,4.100000,4.100000,2645260
2023-03-23,4.110000,4.490000,4.100000,4.240000,4.240000,15385304
2023-03-24,4.240000,4.280000,4.170000,4.180000,4.180000,3205962
2023-03-27,4.200000,4.260000,4.090000,4.090000,4.090000,2415600
2023-03-28,4.100000,4.120000,3.910000,3.940000,3.940000,3201478
2023-03-29,3.940000,3.940000,3.800000,3.920000,3.920000,3505977
2023-03-30,3.990000,4.240000,3.940000,4.240000,4.240000,9480948
2023-03-31,4.260000,4.290000,3.900000,3.910000,3.910000,5077277
2023-04-03,3.930000,4.000000,3.820000,3.930000,3.930000,2260637
2023-04-04,3.950000,3.990000,3.870000,3.970000,3.970000,3753949
2023-04-05,4.020000,4.060000,3.960000,3.980000,3.980000,3459543
2023-04-06,3.980000,4.050000,3.930000,3.930000,3.930000,2657735
2023-04-07,3.930000,4.010000,3.930000,3.960000,3.960000,2734919
2023-04-10,3.980000,4.080000,3.980000,4.040000,4.040000,2913239
2023-04-11,4.080000,4.310000,4.040000,4.160000,4.160000,10070334
2023-04-12,4.170000,4.170000,4.050000,4.050000,4.050000,6413690
2023-04-13,4.070000,4.150000,4.020000,4.030000,4.030000,4469096
2023-04-14,4.030000,4.070000,3.970000,3.990000,3.990000,2004173
2023-04-17,4.000000,4.010000,3.920000,3.940000,3.940000,1687578
2023-04-18,3.940000,3.970000,3.880000,3.910000,3.910000,2062261
2023-04-19,3.910000,3.940000,3.870000,3.920000,3.920000,1969270
2023-04-20,3.920000,3.930000,3.870000,3.910000,3.910000,773052
2023-04-24,3.910000,3.960000,3.840000,3.860000,3.860000,2097234
2023-04-25,3.870000,3.910000,3.680000,3.710000,3.710000,4402750
2023-04-26,3.720000,3.750000,3.600000,3.610000,3.610000,1783651
2023-04-27,3.590000,3.710000,3.590000,3.630000,3.630000,2504896
2023-04-28,3.640000,3.670000,3.440000,3.460000,3.460000,1358550
