Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,185.600006,186.300003,181.699997,183.800003,181.674774,402178
2023-02-28,185.100006,192.800003,185.100006,191.000000,188.791519,964189
2023-03-01,191.000000,193.000000,188.699997,192.000000,189.779953,514205
2023-03-02,192.699997,200.800003,191.899994,198.600006,196.303635,541574
2023-03-03,198.699997,201.000000,190.000000,195.500000,193.239487,493223
2023-03-06,195.699997,201.100006,193.399994,199.800003,197.489761,379740
2023-03-07,201.300003,204.100006,199.000000,200.199997,197.885132,509003
2023-03-08,200.300003,200.899994,196.000000,199.899994,197.588593,431794
2023-03-09,200.000000,200.600006,197.000000,199.000000,196.699005,368668
2023-03-10,199.000000,209.500000,198.300003,205.500000,203.123856,735160
2023-03-13,205.500000,209.899994,205.000000,208.300003,205.891479,530732
2023-03-14,208.300003,212.300003,204.300003,208.500000,206.089157,439821
2023-03-15,208.500000,210.199997,199.100006,201.000000,198.675888,397045
2023-03-16,201.000000,207.500000,200.899994,204.600006,202.234268,313210
2023-03-17,205.600006,212.600006,205.000000,209.800003,207.374130,490545
2023-03-20,209.800003,211.300003,198.199997,198.199997,195.908264,444314
2023-03-21,198.199997,201.899994,191.199997,197.699997,195.414032,482286
2023-03-22,197.699997,200.000000,195.800003,197.699997,195.414032,199688
2023-03-23,198.100006,203.300003,196.199997,202.500000,200.158539,271860
2023-03-24,202.500000,205.500000,196.800003,197.000000,194.722137,331588
2023-03-27,197.399994,200.000000,196.199997,197.100006,194.820984,216777
2023-03-28,199.100006,207.000000,199.100006,202.600006,200.257385,756053
2023-03-29,203.000000,209.000000,198.000000,205.300003,202.926163,464932
2023-03-30,206.800003,211.300003,203.399994,211.000000,208.560257,608277
2023-03-31,210.899994,210.899994,203.699997,203.699997,201.344666,409170
2023-04-03,204.000000,205.500000,195.000000,203.600006,201.245834,488098
2023-04-04,204.000000,206.500000,196.100006,204.100006,201.740051,236394
2023-04-05,203.000000,208.000000,202.800003,206.000000,203.618073,317273
2023-04-06,206.000000,219.000000,206.000000,214.500000,212.019791,913581
2023-04-07,215.199997,227.199997,213.600006,225.800003,223.189133,853156
2023-04-10,225.800003,227.600006,220.699997,224.100006,221.508789,527394
2023-04-11,227.000000,229.399994,221.199997,222.199997,219.630753,667823
2023-04-12,222.300003,225.199997,220.800003,221.500000,218.938843,434678
2023-04-13,221.800003,228.800003,221.000000,222.000000,219.433060,561862
2023-04-14,222.699997,224.100006,221.300003,222.199997,219.630753,223929
2023-04-17,222.199997,224.100006,215.899994,216.500000,213.996658,357784
2023-04-18,219.000000,222.100006,216.899994,219.000000,216.467758,306639
2023-04-19,219.500000,225.000000,218.800003,223.500000,220.915726,432654
2023-04-20,223.100006,225.000000,220.000000,221.800003,219.235382,210051
2023-04-24,221.899994,237.100006,221.899994,236.500000,233.765411,1124178
2023-04-25,236.699997,238.399994,227.000000,228.100006,225.462540,513374
2023-04-26,229.000000,239.199997,223.100006,236.000000,233.271194,829660
2023-04-27,236.000000,241.000000,225.000000,238.800003,236.038818,702271
2023-04-28,239.300003,240.000000,230.699997,235.500000,232.776962,420130
