Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,89.949997,92.699997,89.949997,92.699997,92.699997,39120
2023-03-14,87.650002,87.750000,87.650002,87.650002,87.650002,25597
2023-03-15,83.699997,89.699997,83.699997,87.449997,87.449997,25274
2023-03-16,87.250000,89.199997,87.250000,88.900002,88.900002,25683
2023-03-17,88.400002,88.400002,87.300003,87.300003,87.300003,22949
2023-03-20,87.150002,87.150002,84.000000,84.000000,84.000000,27164
2023-03-21,82.300003,82.300003,79.949997,80.000000,80.000000,47811
2023-03-22,82.150002,87.000000,82.150002,87.000000,87.000000,31313
2023-03-23,87.000000,87.000000,82.550003,82.550003,82.550003,25217
2023-03-24,82.550003,82.699997,82.550003,82.699997,82.699997,17103
2023-03-27,83.050003,83.050003,83.000000,83.050003,83.050003,10476
2023-03-28,81.449997,81.449997,78.550003,78.550003,78.550003,24414
2023-03-29,79.000000,79.000000,77.500000,78.000000,78.000000,21734
2023-03-30,78.150002,78.150002,78.000000,78.000000,78.000000,10075
2023-03-31,76.699997,76.699997,76.449997,76.449997,76.449997,20621
2023-04-03,78.000000,78.000000,76.900002,76.900002,76.900002,10467
2023-04-04,75.000000,80.000000,75.000000,77.199997,77.199997,24034
2023-04-05,84.900002,84.900002,84.900002,84.900002,84.900002,17341
2023-04-06,92.000000,93.349998,89.949997,93.349998,93.349998,144995
2023-04-07,97.000000,99.099998,85.599998,88.050003,88.050003,127476
2023-04-10,84.000000,88.000000,80.000000,82.849998,82.849998,102859
2023-04-11,82.849998,84.250000,78.800003,80.349998,80.349998,92051
2023-04-12,80.349998,82.000000,78.000000,80.000000,80.000000,64790
2023-04-13,80.300003,81.199997,78.000000,80.099998,80.099998,47886
2023-04-14,80.099998,80.099998,78.099998,79.000000,79.000000,33397
2023-04-17,79.000000,80.000000,76.150002,77.199997,77.199997,32721
2023-04-18,77.199997,77.699997,74.000000,77.650002,77.650002,34473
2023-04-19,77.650002,78.000000,74.849998,77.949997,77.949997,23214
2023-04-20,78.000000,81.500000,75.599998,79.650002,79.650002,19751
2023-04-24,79.599998,79.650002,75.650002,77.849998,77.849998,40782
2023-04-25,77.500000,79.500000,72.400002,74.650002,74.650002,52528
2023-04-26,76.000000,76.849998,71.800003,72.949997,72.949997,73663
2023-04-27,72.949997,74.000000,70.000000,73.150002,73.150002,49477
2023-04-28,73.150002,75.400002,69.500000,72.750000,72.750000,29388
2023-05-02,70.099998,72.150002,67.500000,71.400002,71.400002,42214
2023-05-03,70.000000,73.000000,64.500000,66.900002,66.900002,39855
2023-05-04,66.000000,68.000000,64.300003,66.800003,66.800003,21655
2023-05-05,70.000000,73.449997,65.000000,71.750000,71.750000,64110
2023-05-08,71.750000,71.750000,66.000000,69.099998,69.099998,43881
2023-05-09,67.500000,68.500000,64.349998,66.500000,66.500000,44216
