Date,Open,High,Low,Close,Adj Close,Volume
2023-03-09,7.810000,7.890000,7.600000,7.730000,7.730000,2239086
2023-03-10,7.500000,7.990000,7.420000,7.600000,7.600000,3679393
2023-03-13,7.600000,7.750000,7.080000,7.290000,7.290000,3101912
2023-03-14,7.310000,7.480000,7.150000,7.300000,7.300000,2487919
2023-03-15,7.290000,7.330000,6.830000,6.840000,6.840000,2832836
2023-03-16,7.000000,7.520000,7.000000,7.110000,7.110000,6778980
2023-03-17,7.110000,7.270000,7.000000,7.100000,7.100000,2080043
2023-03-20,7.100000,7.440000,7.020000,7.150000,7.150000,2997357
2023-03-21,7.200000,7.250000,6.950000,6.960000,6.960000,1287363
2023-03-22,7.000000,7.100000,6.810000,6.840000,6.840000,1959261
2023-03-23,6.850000,6.970000,6.800000,6.890000,6.890000,1214099
2023-03-24,6.950000,7.320000,6.860000,7.320000,7.320000,3666571
2023-03-27,7.320000,7.500000,7.200000,7.270000,7.270000,2610270
2023-03-28,7.270000,7.340000,7.040000,7.310000,7.310000,2627506
2023-03-29,7.290000,7.330000,7.050000,7.200000,7.200000,1672664
2023-03-30,7.200000,7.250000,7.000000,7.180000,7.180000,2028444
2023-03-31,7.190000,7.290000,7.020000,7.190000,7.190000,2804882
2023-04-03,7.200000,7.330000,7.030000,7.090000,7.090000,2308183
2023-04-04,7.090000,7.150000,6.990000,7.050000,7.050000,1354956
2023-04-05,7.060000,7.090000,6.860000,6.860000,6.860000,1315794
2023-04-06,6.750000,6.940000,6.700000,6.700000,6.700000,1616764
2023-04-07,6.760000,6.900000,6.680000,6.820000,6.820000,1286622
2023-04-10,6.820000,6.940000,6.760000,6.940000,6.940000,1405351
2023-04-11,6.980000,7.170000,6.940000,7.170000,7.170000,2596873
2023-04-12,7.180000,7.750000,7.110000,7.360000,7.360000,4779905
2023-04-13,7.360000,7.400000,7.100000,7.300000,7.300000,1546842
2023-04-14,7.360000,7.390000,7.070000,7.330000,7.330000,1437425
2023-04-17,7.330000,7.330000,7.150000,7.210000,7.210000,1104273
2023-04-18,7.210000,7.270000,7.070000,7.220000,7.220000,1740954
2023-04-19,7.230000,7.940000,7.100000,7.130000,7.130000,1761526
2023-04-20,7.150000,7.240000,7.100000,7.130000,7.130000,255318
2023-04-24,7.150000,7.330000,7.120000,7.330000,7.330000,1684299
2023-04-25,7.340000,7.690000,7.190000,7.190000,7.190000,4120782
2023-04-26,7.120000,7.250000,6.800000,6.800000,6.800000,1608820
2023-04-27,6.860000,6.940000,6.550000,6.700000,6.700000,1513660
2023-04-28,6.700000,6.790000,6.340000,6.360000,6.360000,1824904
2023-05-02,6.360000,6.400000,5.800000,5.800000,5.800000,1257033
2023-05-03,5.970000,6.090000,5.470000,5.580000,5.580000,1498229
2023-05-04,5.560000,5.840000,5.500000,5.600000,5.600000,1107740
2023-05-05,5.620000,5.900000,5.600000,5.610000,5.610000,2043234
2023-05-08,5.810000,5.840000,5.610000,5.740000,5.740000,1695308
2023-05-09,5.750000,5.860000,5.630000,5.750000,5.750000,1283377
