Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,5.500000,5.740000,5.360000,5.700000,5.700000,2510637
2023-02-24,5.300000,5.460000,5.220000,5.250000,5.250000,4930972
2023-02-27,5.260000,5.280000,5.100000,5.210000,5.210000,3223706
2023-02-28,5.200000,5.410000,5.140000,5.310000,5.310000,2975226
2023-03-01,5.350000,5.380000,5.230000,5.240000,5.240000,3202218
2023-03-02,5.250000,5.450000,5.200000,5.300000,5.300000,3017655
2023-03-03,5.300000,5.350000,5.100000,5.200000,5.200000,2063253
2023-03-06,5.230000,5.580000,5.200000,5.500000,5.500000,4337797
2023-03-07,5.600000,5.750000,5.500000,5.570000,5.570000,2782637
2023-03-08,5.600000,5.920000,5.580000,5.860000,5.860000,3598991
2023-03-09,5.860000,5.860000,5.600000,5.650000,5.650000,3426294
2023-03-10,5.650000,5.650000,5.410000,5.520000,5.520000,1669147
2023-03-13,5.530000,6.070000,5.460000,6.070000,6.070000,9633245
2023-03-14,6.210000,6.390000,5.780000,5.810000,5.810000,6120868
2023-03-15,5.820000,6.150000,5.660000,5.710000,5.710000,3847247
2023-03-16,5.710000,5.910000,5.600000,5.650000,5.650000,3072751
2023-03-17,5.680000,5.970000,5.540000,5.620000,5.620000,6120844
2023-03-20,5.520000,5.640000,5.230000,5.230000,5.230000,2801568
2023-03-21,5.230000,5.360000,5.100000,5.160000,5.160000,2144093
2023-03-22,5.170000,5.330000,5.110000,5.190000,5.190000,1236078
2023-03-23,5.210000,5.290000,5.100000,5.100000,5.100000,2352442
2023-03-24,5.120000,5.330000,5.110000,5.180000,5.180000,1951317
2023-03-27,5.180000,5.440000,5.150000,5.210000,5.210000,2531632
2023-03-28,5.250000,5.680000,5.110000,5.320000,5.320000,6912600
2023-03-29,5.370000,5.400000,5.110000,5.190000,5.190000,2993587
2023-03-30,5.210000,5.440000,5.180000,5.260000,5.260000,2350802
2023-03-31,5.260000,5.290000,5.180000,5.280000,5.280000,1435644
2023-04-03,5.280000,5.380000,5.120000,5.370000,5.370000,1814562
2023-04-04,5.400000,5.420000,5.230000,5.310000,5.310000,1748578
2023-04-05,5.300000,5.480000,5.290000,5.460000,5.460000,2695905
2023-04-06,5.460000,5.560000,5.410000,5.520000,5.520000,2189745
2023-04-07,5.580000,5.870000,5.490000,5.730000,5.730000,3671766
2023-04-10,5.470000,5.480000,5.200000,5.310000,5.310000,6831611
2023-04-11,5.310000,5.310000,5.120000,5.180000,5.180000,3183038
2023-04-12,5.190000,5.200000,5.090000,5.130000,5.130000,2010827
2023-04-13,5.130000,5.190000,5.050000,5.050000,5.050000,2139987
2023-04-14,5.050000,5.170000,4.940000,4.970000,4.970000,2743793
2023-04-17,4.980000,4.980000,4.880000,4.890000,4.890000,1661821
2023-04-18,4.890000,5.140000,4.840000,4.930000,4.930000,2888206
2023-04-19,4.930000,4.970000,4.850000,4.900000,4.900000,1467024
2023-04-20,4.850000,4.910000,4.810000,4.850000,4.850000,624812
2023-04-24,4.870000,5.150000,4.870000,5.030000,5.030000,4169219
2023-04-25,5.030000,5.080000,4.860000,4.890000,4.890000,1649303
2023-04-26,4.920000,4.950000,4.710000,4.850000,4.850000,2074446
2023-04-27,4.850000,4.970000,4.780000,4.830000,4.830000,1356570
2023-04-28,4.830000,4.880000,4.610000,4.660000,4.660000,785083
2023-05-02,4.660000,4.690000,4.280000,4.350000,4.350000,1277327
2023-05-03,4.340000,4.340000,3.980000,4.150000,4.150000,2076389
2023-05-04,3.970000,4.280000,3.970000,4.190000,4.190000,1796397
