Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,7.900000,8.030000,7.700000,7.950000,7.950000,4779756
2023-03-14,7.750000,7.790000,7.370000,7.470000,7.470000,9347993
2023-03-15,7.470000,7.800000,7.330000,7.720000,7.720000,7239690
2023-03-16,7.780000,7.920000,7.710000,7.760000,7.760000,4515973
2023-03-17,7.770000,8.310000,7.760000,7.910000,7.910000,7659494
2023-03-20,7.920000,8.210000,7.760000,7.930000,7.930000,6553106
2023-03-21,7.960000,8.110000,7.570000,7.860000,7.860000,7461615
2023-03-22,7.860000,7.980000,7.820000,7.930000,7.930000,3793762
2023-03-23,7.950000,8.720000,7.750000,8.650000,8.650000,11729771
2023-03-24,8.650000,8.960000,8.460000,8.620000,8.620000,9946911
2023-03-27,8.620000,8.790000,8.430000,8.440000,8.440000,5177447
2023-03-28,8.440000,8.440000,7.600000,7.690000,7.690000,10361302
2023-03-29,7.610000,7.730000,7.230000,7.560000,7.560000,4441230
2023-03-30,7.580000,7.740000,7.290000,7.290000,7.290000,3918944
2023-03-31,7.300000,7.490000,6.940000,7.180000,7.180000,2258654
2023-04-03,7.180000,7.300000,6.930000,7.050000,7.050000,2952796
2023-04-04,7.100000,7.380000,7.050000,7.140000,7.140000,4038796
2023-04-05,7.160000,7.320000,7.060000,7.070000,7.070000,3198840
2023-04-06,7.080000,7.160000,6.750000,6.790000,6.790000,4403662
2023-04-07,6.830000,6.860000,6.680000,6.710000,6.710000,2759689
2023-04-10,6.750000,6.930000,6.750000,6.840000,6.840000,2937085
2023-04-11,6.870000,7.050000,6.840000,6.870000,6.870000,7190417
2023-04-12,6.890000,7.050000,6.840000,6.880000,6.880000,3627645
2023-04-13,6.880000,7.240000,6.860000,7.150000,7.150000,3899369
2023-04-14,7.130000,7.250000,6.790000,6.800000,6.800000,4195005
2023-04-17,6.830000,6.840000,6.600000,6.610000,6.610000,3155765
2023-04-18,6.620000,6.660000,6.450000,6.460000,6.460000,2404545
2023-04-19,6.460000,6.560000,6.340000,6.380000,6.380000,2079394
2023-04-20,6.380000,6.460000,6.310000,6.400000,6.400000,1113123
2023-04-24,6.450000,6.590000,6.340000,6.370000,6.370000,2422574
2023-04-25,6.370000,6.500000,6.100000,6.250000,6.250000,3521831
2023-04-26,6.260000,6.320000,6.050000,6.110000,6.110000,2387219
2023-04-27,6.050000,6.520000,6.050000,6.500000,6.500000,3646974
2023-04-28,6.400000,6.470000,6.220000,6.220000,6.220000,2046942
2023-05-02,6.390000,6.510000,5.980000,6.110000,6.110000,3320387
2023-05-03,6.110000,6.170000,5.850000,5.900000,5.900000,2680243
2023-05-04,5.930000,6.060000,5.790000,5.920000,5.920000,1634194
2023-05-05,5.920000,5.960000,5.630000,5.720000,5.720000,1407985
2023-05-08,5.790000,6.000000,5.720000,5.950000,5.950000,1042173
