Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07,7.880000,7.920000,7.500000,7.780000,7.780000,1480823
2023-03-08,8.540000,8.550000,8.300000,8.550000,8.550000,770399
2023-03-09,8.940000,9.200000,8.280000,8.500000,8.500000,6426166
2023-03-10,8.420000,8.540000,7.990000,8.000000,8.000000,2680033
2023-03-13,8.000000,8.380000,7.810000,8.010000,8.010000,2252950
2023-03-14,8.060000,8.350000,7.850000,8.160000,8.160000,2656522
2023-03-15,8.200000,8.240000,7.800000,7.800000,7.800000,1940013
2023-03-16,8.010000,8.030000,7.720000,7.890000,7.890000,1264665
2023-03-17,7.990000,8.310000,7.870000,8.080000,8.080000,1887087
2023-03-20,8.080000,8.080000,7.500000,7.710000,7.710000,1703290
2023-03-21,7.710000,7.710000,7.320000,7.320000,7.320000,1367712
2023-03-22,7.320000,7.550000,7.320000,7.430000,7.430000,855039
2023-03-23,7.430000,7.430000,7.150000,7.230000,7.230000,1150918
2023-03-24,7.330000,7.440000,7.200000,7.320000,7.320000,967059
2023-03-27,7.340000,7.490000,7.150000,7.170000,7.170000,1134920
2023-03-28,7.170000,7.180000,6.620000,6.680000,6.680000,2172486
2023-03-29,6.690000,6.910000,6.430000,6.910000,6.910000,1254009
2023-03-30,6.960000,7.570000,6.920000,7.230000,7.230000,4620513
2023-03-31,7.220000,7.220000,6.820000,6.900000,6.900000,1458597
2023-04-03,6.900000,6.900000,6.500000,6.740000,6.740000,1302041
2023-04-04,6.760000,6.870000,6.500000,6.680000,6.680000,656261
2023-04-05,6.700000,6.900000,6.610000,6.710000,6.710000,954779
2023-04-06,6.660000,6.990000,6.650000,6.770000,6.770000,1683906
2023-04-07,7.000000,7.420000,6.860000,7.420000,7.420000,2006006
2023-04-10,7.710000,7.870000,7.050000,7.100000,7.100000,4580314
2023-04-11,7.120000,7.810000,6.870000,7.810000,7.810000,4285800
2023-04-12,8.550000,8.590000,8.320000,8.590000,8.590000,3630349
2023-04-13,9.100000,9.440000,9.000000,9.440000,9.440000,18592747
2023-04-14,9.500000,9.740000,8.500000,8.500000,8.500000,10324401
2023-04-17,8.200000,9.200000,7.990000,8.590000,8.590000,11395871
2023-04-18,8.620000,8.960000,8.180000,8.180000,8.180000,4878089
2023-04-19,8.200000,8.500000,7.900000,8.000000,8.000000,5110930
2023-04-20,8.000000,8.010000,7.780000,7.830000,7.830000,936904
2023-04-24,7.910000,8.240000,7.770000,7.840000,7.840000,3392311
2023-04-25,7.910000,7.910000,7.420000,7.470000,7.470000,2543019
2023-04-26,7.540000,7.890000,7.050000,7.140000,7.140000,5058844
2023-04-27,7.140000,7.170000,6.830000,6.920000,6.920000,3084364
2023-04-28,6.900000,6.930000,6.650000,6.730000,6.730000,1636365
2023-05-02,6.750000,6.810000,6.400000,6.460000,6.460000,1975856
2023-05-03,6.460000,6.470000,5.870000,6.030000,6.030000,1629842
2023-05-04,6.050000,6.280000,5.990000,6.080000,6.080000,1248940
2023-05-05,6.080000,6.350000,5.870000,6.100000,6.100000,1818248
