Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,5.269565,5.272311,5.151487,5.167963,5.167963,5373038
2023-03-02,4.940045,4.986727,4.734096,4.753318,4.753318,14818560
2023-03-03,4.753318,4.863157,4.470480,4.613272,4.613272,13317014
2023-03-06,4.613272,4.736842,4.591304,4.624256,4.624256,9802325
2023-03-07,4.643478,4.681922,4.574828,4.574828,4.574828,9899572
2023-03-08,4.585812,4.607780,4.404576,4.473226,4.473226,7589903
2023-03-09,4.605034,4.673684,4.517162,4.572082,4.572082,12891660
2023-03-10,4.585812,4.613272,4.448512,4.484210,4.484210,6450833
2023-03-13,4.514416,4.555606,4.349656,4.371624,4.371624,6474082
2023-03-14,4.371624,4.489702,4.324942,4.324942,4.324942,6587957
2023-03-15,4.335926,4.374370,4.160183,4.176659,4.176659,6163032
2023-03-16,4.190389,4.300228,4.190389,4.239816,4.239816,4820889
2023-03-17,4.261784,4.344164,4.201372,4.234324,4.234324,5577350
2023-03-20,4.234324,4.259038,3.926773,3.929519,3.929519,8494034
2023-03-21,3.929519,4.011899,3.781235,3.830663,3.830663,6340549
2023-03-22,3.849885,3.940503,3.825171,3.899313,3.899313,4430976
2023-03-23,3.907551,4.151945,3.880091,3.935011,3.935011,9395237
2023-03-24,3.940503,4.006407,3.855377,3.885583,3.885583,4626861
2023-03-27,3.904805,3.943249,3.849885,3.860869,3.860869,5576433
2023-03-28,3.860869,3.869107,3.690617,3.715331,3.715331,5115398
2023-03-29,3.734553,3.756521,3.569794,3.665903,3.665903,6311401
2023-03-30,3.671395,3.789473,3.652173,3.698855,3.698855,4277436
2023-03-31,3.698855,3.734553,3.580778,3.630205,3.630205,3366749
2023-04-03,3.638443,3.707093,3.457208,3.536842,3.536842,4262439
2023-04-04,3.561556,3.643935,3.525858,3.643935,3.643935,2920762
2023-04-05,3.652173,3.731807,3.621967,3.632951,3.632951,4201856
2023-04-06,3.635697,3.701601,3.599999,3.652173,3.652173,3642722
2023-04-07,3.643935,3.775743,3.602745,3.748283,3.748283,4143983
2023-04-10,3.858123,3.899313,3.803203,3.838901,3.838901,5523410
2023-04-11,3.838901,3.940503,3.816933,3.885583,3.885583,5297896
2023-04-12,3.904805,3.915789,3.860869,3.871853,3.871853,3369808
2023-04-13,3.871853,3.910297,3.811441,3.811441,3.811441,3183282
2023-04-14,3.833409,3.852631,3.759267,3.786727,3.786727,2085356
2023-04-17,3.786727,3.860869,3.707093,3.723569,3.723569,2836100
2023-04-18,3.720823,3.762013,3.679633,3.690617,3.690617,2435808
2023-04-19,3.696109,3.723569,3.671395,3.693363,3.693363,2038313
2023-04-20,3.698855,3.718077,3.514874,3.701601,3.701601,1223163
2023-04-24,3.704347,3.772997,3.663157,3.676887,3.676887,2564527
2023-04-25,3.676887,3.693363,3.561556,3.561556,3.561556,2659195
2023-04-26,3.446224,3.534096,3.443478,3.462700,3.462700,3092729
2023-04-27,3.473684,3.514874,3.363844,3.506636,3.506636,2319523
