Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,8.390000,10.250000,8.390000,10.250000,10.250000,32940711
2023-03-14,11.270000,11.270000,10.800000,11.270000,11.270000,5072547
2023-03-15,11.630000,12.390000,11.630000,12.390000,12.390000,21494134
2023-03-16,13.160000,13.620000,13.020000,13.620000,13.620000,8625616
2023-03-17,14.500000,14.930000,12.920000,12.920000,12.920000,40325863
2023-03-20,12.900000,14.210000,12.260000,14.210000,14.210000,23818148
2023-03-21,14.660000,15.500000,13.190000,13.190000,13.190000,39720657
2023-03-22,13.000000,13.770000,11.930000,12.760000,12.760000,7110249
2023-03-23,12.350000,12.720000,11.490000,11.490000,11.490000,6768900
2023-03-24,11.300000,12.600000,10.730000,10.730000,10.730000,9075240
2023-03-27,9.710000,10.720000,9.700000,10.020000,10.020000,8501420
2023-03-28,9.800000,9.850000,9.020000,9.020000,9.020000,5252407
2023-03-29,8.500000,9.920000,8.200000,9.920000,9.920000,7976163
2023-03-30,10.150000,10.800000,9.650000,10.020000,10.020000,6196244
2023-03-31,9.630000,9.630000,9.020000,9.020000,9.020000,5251692
2023-04-03,8.640000,9.000000,8.210000,8.250000,8.250000,3924919
2023-04-04,8.160000,9.070000,7.790000,8.990000,8.990000,5691204
2023-04-05,8.670000,9.500000,8.500000,8.680000,8.680000,5038528
2023-04-06,8.650000,8.880000,8.240000,8.250000,8.250000,3105803
2023-04-07,8.000000,8.800000,7.990000,8.240000,8.240000,3630529
2023-04-10,8.200000,8.310000,7.980000,8.090000,8.090000,3479817
2023-04-11,8.090000,8.270000,7.880000,8.040000,8.040000,3234310
2023-04-12,8.040000,8.400000,7.880000,8.100000,8.100000,2885452
2023-04-13,8.100000,8.300000,7.990000,8.110000,8.110000,1820380
2023-04-14,8.130000,8.350000,8.060000,8.130000,8.130000,2193517
2023-04-17,8.150000,8.590000,8.140000,8.500000,8.500000,3247278
2023-04-18,8.450000,8.450000,8.170000,8.280000,8.280000,1879776
2023-04-19,8.380000,8.380000,7.940000,8.090000,8.090000,1606534
2023-04-20,8.170000,8.600000,8.090000,8.370000,8.370000,1213390
2023-04-24,8.380000,9.190000,8.160000,8.240000,8.240000,13076710
2023-04-25,7.700000,8.200000,7.420000,7.440000,7.440000,14709849
2023-04-26,7.370000,7.400000,6.880000,6.880000,6.880000,8277232
2023-04-27,6.900000,7.250000,6.850000,6.910000,6.910000,5756579
2023-04-28,6.950000,7.100000,6.560000,6.630000,6.630000,5107722
2023-05-02,6.630000,6.640000,6.140000,6.370000,6.370000,5146782
2023-05-03,6.360000,6.360000,5.740000,5.860000,5.860000,4334055
2023-05-04,5.860000,6.440000,5.650000,6.440000,6.440000,8604621
2023-05-05,6.690000,6.900000,5.800000,5.810000,5.810000,12680900
2023-05-08,5.900000,6.000000,5.670000,5.890000,5.890000,4573644
2023-05-09,5.990000,5.990000,5.740000,5.770000,5.770000,2517144
