Date,Open,High,Low,Close,Adj Close,Volume
2023-02-15,5.710000,6.270000,5.710000,6.270000,6.270000,2666211
2023-02-16,6.290000,6.440000,5.980000,5.980000,5.980000,3433785
2023-02-17,6.010000,6.010000,5.750000,5.800000,5.800000,1350518
2023-02-20,5.850000,6.040000,5.780000,5.790000,5.790000,1458511
2023-02-21,5.780000,5.850000,5.720000,5.730000,5.730000,894922
2023-02-22,5.730000,5.870000,5.560000,5.610000,5.610000,1042108
2023-02-23,5.580000,5.750000,5.580000,5.590000,5.590000,850381
2023-02-24,5.670000,5.850000,5.630000,5.720000,5.720000,1295830
2023-02-27,5.750000,6.230000,5.750000,5.860000,5.860000,5905109
2023-02-28,5.890000,6.130000,5.870000,6.010000,6.010000,3102768
2023-03-01,6.030000,6.110000,5.930000,5.960000,5.960000,2318746
2023-03-02,5.900000,6.550000,5.900000,6.550000,6.550000,8594457
2023-03-03,6.700000,7.000000,6.350000,6.450000,6.450000,7407919
2023-03-06,6.460000,6.950000,6.460000,6.560000,6.560000,2897843
2023-03-07,6.590000,6.660000,6.350000,6.490000,6.490000,2855061
2023-03-08,6.450000,6.880000,6.450000,6.750000,6.750000,3138232
2023-03-09,6.740000,6.870000,6.320000,6.400000,6.400000,4511445
2023-03-10,6.400000,6.470000,6.170000,6.170000,6.170000,2351253
2023-03-13,6.190000,6.310000,6.020000,6.020000,6.020000,2212978
2023-03-14,6.090000,6.390000,6.080000,6.150000,6.150000,2306403
2023-03-15,6.150000,6.290000,5.900000,6.040000,6.040000,1809530
2023-03-16,6.100000,6.150000,5.880000,6.080000,6.080000,1620306
2023-03-17,6.090000,6.290000,5.980000,6.000000,6.000000,2426678
2023-03-20,6.120000,6.310000,5.970000,6.160000,6.160000,2996559
2023-03-21,6.160000,6.200000,6.010000,6.070000,6.070000,1529009
2023-03-22,6.090000,6.600000,6.040000,6.270000,6.270000,2562937
2023-03-23,6.290000,6.610000,6.180000,6.190000,6.190000,2451684
2023-03-24,6.220000,6.290000,6.140000,6.280000,6.280000,1463089
2023-03-27,6.280000,6.410000,6.150000,6.210000,6.210000,2079520
2023-03-28,6.240000,6.290000,5.930000,5.940000,5.940000,1601653
2023-03-29,5.940000,6.070000,5.840000,5.910000,5.910000,1273081
2023-03-30,5.930000,6.050000,5.780000,5.780000,5.780000,1202714
2023-03-31,5.800000,6.350000,5.710000,5.980000,5.980000,5021768
2023-04-03,6.150000,6.350000,6.000000,6.280000,6.280000,3348341
2023-04-04,6.310000,6.810000,6.300000,6.720000,6.720000,4701656
2023-04-05,6.750000,6.900000,6.540000,6.660000,6.660000,2991877
2023-04-06,6.660000,6.780000,6.510000,6.690000,6.690000,1559616
2023-04-07,6.690000,6.700000,6.460000,6.590000,6.590000,2253987
2023-04-10,6.650000,6.820000,6.620000,6.690000,6.690000,1612991
2023-04-11,6.620000,6.910000,6.500000,6.910000,6.910000,2205452
2023-04-12,6.900000,7.010000,6.740000,6.820000,6.820000,1671990
2023-04-13,6.860000,6.880000,6.750000,6.820000,6.820000,1700834
2023-04-14,6.790000,6.790000,6.550000,6.550000,6.550000,1817692
2023-04-17,6.550000,6.780000,6.100000,6.120000,6.120000,9281904
2023-04-18,6.170000,6.290000,5.950000,6.170000,6.170000,2800347
2023-04-19,6.170000,6.260000,6.130000,6.220000,6.220000,698020
2023-04-20,6.220000,6.230000,6.020000,6.050000,6.050000,336718
2023-04-24,6.070000,6.150000,5.960000,6.070000,6.070000,1552102
2023-04-25,6.070000,6.080000,5.790000,5.790000,5.790000,1162237
2023-04-26,5.800000,6.050000,5.700000,5.940000,5.940000,1631336
2023-04-27,5.940000,5.950000,5.650000,5.730000,5.730000,1855372
2023-04-28,5.730000,5.780000,5.610000,5.680000,5.680000,1228192
