Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22,4.190000,4.250000,4.110000,4.130000,4.105256,220878
2023-02-23,4.140000,4.250000,4.090000,4.190000,4.164896,301917
2023-02-24,4.190000,4.230000,4.120000,4.140000,4.115196,217366
2023-02-27,4.030000,4.210000,4.000000,4.130000,4.105256,366474
2023-02-28,4.130000,4.430000,4.130000,4.190000,4.164896,494014
2023-03-01,4.280000,4.280000,4.140000,4.220000,4.194716,405863
2023-03-02,4.220000,4.540000,4.150000,4.540000,4.512800,689017
2023-03-03,4.600000,4.990000,4.540000,4.990000,4.960104,2001693
2023-03-06,4.970000,5.190000,4.750000,4.870000,4.840822,1737090
2023-03-07,4.800000,4.860000,4.590000,4.610000,4.582380,1185027
2023-03-08,4.610000,4.620000,4.470000,4.500000,4.473039,641221
2023-03-09,4.500000,4.590000,4.370000,4.490000,4.463099,545527
2023-03-10,4.500000,4.540000,4.360000,4.460000,4.433279,511796
2023-03-13,4.440000,4.900000,4.410000,4.900000,4.870643,1339353
2023-03-14,4.790000,5.290000,4.650000,5.100000,5.069444,1486333
2023-03-15,4.990000,5.610000,4.790000,5.610000,5.576389,2286958
2023-03-16,5.620000,6.100000,5.350000,5.940000,5.904412,2347214
2023-03-17,5.930000,5.940000,5.400000,5.410000,5.377587,1120799
2023-03-20,5.400000,5.400000,4.870000,4.870000,4.840822,1325267
2023-03-21,4.860000,5.250000,4.650000,4.960000,4.930283,1100799
2023-03-22,4.800000,4.940000,4.690000,4.790000,4.761302,1211579
2023-03-23,4.700000,4.790000,4.560000,4.610000,4.582380,773257
2023-03-24,4.500000,4.760000,4.500000,4.540000,4.512800,693342
2023-03-27,4.530000,4.640000,4.400000,4.500000,4.473039,696388
2023-03-28,4.430000,4.530000,4.300000,4.300000,4.274238,491094
2023-03-29,4.300000,4.450000,4.200000,4.430000,4.403459,476760
2023-03-30,4.430000,4.450000,4.250000,4.320000,4.294118,349793
2023-03-31,4.300000,4.390000,4.090000,4.170000,4.145017,458940
2023-04-03,4.100000,4.440000,4.060000,4.300000,4.274238,472842
2023-04-04,4.300000,4.350000,4.120000,4.330000,4.304058,318745
2023-04-05,4.310000,4.680000,4.230000,4.550000,4.522740,718374
2023-04-06,4.530000,4.860000,4.350000,4.860000,4.830883,1156711
2023-04-07,4.870000,4.900000,4.630000,4.730000,4.701661,548536
2023-04-10,4.700000,4.870000,4.600000,4.690000,4.661901,518394
2023-04-11,4.680000,4.760000,4.530000,4.600000,4.572440,361962
2023-04-12,4.570000,4.900000,4.510000,4.740000,4.711601,926020
2023-04-13,4.740000,5.100000,4.580000,4.990000,4.960104,962808
2023-04-14,4.980000,5.180000,4.770000,4.910000,4.880583,1108971
2023-04-17,4.890000,4.890000,4.700000,4.710000,4.681781,528354
2023-04-18,4.710000,4.760000,4.490000,4.620000,4.592320,409931
2023-04-19,4.580000,5.000000,4.550000,4.790000,4.761302,887350
2023-04-20,4.680000,4.900000,4.680000,4.750000,4.721541,73068
2023-04-24,4.600000,4.720000,4.550000,4.570000,4.542620,458437
2023-04-25,4.580000,4.610000,4.410000,4.540000,4.512800,514177
2023-04-26,4.770000,4.770000,4.430000,4.450000,4.423338,306688
2023-04-27,4.450000,4.480000,4.300000,4.420000,4.393518,400296
2023-04-28,4.360000,4.500000,4.270000,4.340000,4.313998,270506
