Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22,5.450000,5.450000,5.270000,5.360000,5.330349,133841
2023-02-23,5.360000,5.490000,5.260000,5.430000,5.399961,269338
2023-02-24,5.430000,5.620000,5.320000,5.560000,5.529243,279629
2023-02-27,5.330000,5.640000,5.330000,5.570000,5.539187,551996
2023-02-28,5.540000,5.820000,5.200000,5.240000,5.211012,811454
2023-03-01,5.180000,5.280000,4.890000,4.990000,4.962396,855731
2023-03-02,4.950000,5.050000,4.750000,4.970000,4.942506,554807
2023-03-03,4.910000,5.110000,4.540000,4.630000,4.604387,766109
2023-03-06,4.600000,5.090000,4.500000,5.090000,5.061843,1101709
2023-03-07,5.090000,5.590000,5.090000,5.570000,5.539187,884712
2023-03-08,5.560000,5.920000,5.300000,5.730000,5.698302,639098
2023-03-09,5.680000,6.210000,5.600000,6.040000,6.006587,996024
2023-03-10,6.000000,6.370000,5.890000,6.050000,6.016532,478131
2023-03-13,6.010000,6.190000,5.910000,6.030000,5.996643,697966
2023-03-14,6.000000,6.020000,5.430000,5.670000,5.638634,623594
2023-03-15,5.660000,5.940000,5.350000,5.590000,5.559077,496847
2023-03-16,5.570000,5.820000,5.290000,5.540000,5.509353,253348
2023-03-17,5.400000,5.540000,5.220000,5.440000,5.409906,226707
2023-03-20,5.420000,5.460000,5.210000,5.460000,5.429796,309649
2023-03-21,5.600000,5.730000,5.320000,5.570000,5.539187,187635
2023-03-22,5.690000,5.690000,5.150000,5.380000,5.350238,190925
2023-03-23,5.380000,5.560000,5.200000,5.480000,5.449685,290168
2023-03-24,5.430000,5.470000,5.200000,5.390000,5.360183,423468
2023-03-27,5.360000,5.390000,5.230000,5.320000,5.290570,209005
2023-03-28,5.320000,5.510000,5.200000,5.290000,5.260736,390544
2023-03-29,5.260000,5.490000,5.000000,5.370000,5.340293,470554
2023-03-30,5.290000,5.370000,5.030000,5.360000,5.330349,228421
2023-03-31,5.300000,5.480000,5.040000,5.350000,5.320404,319712
2023-04-03,5.350000,5.380000,5.100000,5.290000,5.260736,303805
2023-04-04,5.350000,5.480000,5.160000,5.440000,5.409906,247645
2023-04-05,5.440000,5.980000,5.390000,5.980000,5.946919,629774
2023-04-06,5.940000,6.350000,5.800000,6.080000,6.046366,623790
2023-04-07,6.000000,6.600000,5.900000,6.500000,6.464043,624799
2023-04-10,6.450000,6.860000,6.210000,6.490000,6.454098,644825
2023-04-11,6.480000,6.690000,6.290000,6.320000,6.285038,360329
2023-04-12,6.380000,6.540000,6.310000,6.440000,6.404375,215192
2023-04-13,6.440000,6.730000,6.360000,6.640000,6.603268,312769
2023-04-14,6.640000,6.800000,5.980000,5.980000,5.946919,1001486
2023-04-17,5.740000,5.970000,5.460000,5.600000,5.569021,772417
2023-04-18,5.570000,5.800000,5.130000,5.130000,5.101622,510197
2023-04-19,5.200000,5.640000,4.950000,5.160000,5.131455,1672446
2023-04-20,5.210000,5.430000,4.980000,4.990000,4.962396,514555
2023-04-24,4.990000,5.480000,4.750000,5.480000,5.449685,1660801
2023-04-25,5.480000,5.480000,4.990000,4.990000,4.962396,1642723
2023-04-26,4.940000,4.990000,4.750000,4.940000,4.912673,726801
2023-04-27,4.920000,4.980000,4.800000,4.890000,4.862949,312162
2023-04-28,4.800000,4.890000,4.500000,4.560000,4.534774,868950
