Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,11.210000,12.200000,11.180000,11.900000,11.900000,1013343
2023-02-07,11.850000,11.950000,10.710000,10.750000,10.750000,1428078
2023-02-08,9.700000,9.700000,9.700000,9.700000,9.700000,555
2023-02-15,10.800000,11.740000,10.750000,11.690000,11.690000,1688903
2023-02-16,11.780000,12.300000,10.910000,10.920000,10.920000,2916699
2023-02-17,10.920000,11.050000,10.560000,10.720000,10.720000,924855
2023-02-20,11.000000,11.050000,10.740000,10.910000,10.910000,1423458
2023-02-21,10.890000,10.970000,10.680000,10.760000,10.760000,2036837
2023-02-22,10.830000,11.120000,10.610000,10.820000,10.820000,1943557
2023-02-23,10.880000,11.310000,10.740000,11.110000,11.110000,2117466
2023-02-24,11.230000,11.240000,10.740000,11.000000,11.000000,1727734
2023-02-27,11.000000,11.420000,10.850000,11.330000,11.330000,3293701
2023-02-28,11.380000,11.400000,11.130000,11.250000,11.250000,1512459
2023-03-01,11.300000,11.550000,11.110000,11.330000,11.330000,2207092
2023-03-02,11.340000,11.990000,11.300000,11.600000,11.600000,3665695
2023-03-03,11.610000,11.940000,11.030000,11.280000,11.280000,2866039
2023-03-06,11.320000,11.750000,10.820000,11.610000,11.610000,2580897
2023-03-07,11.700000,12.170000,11.550000,11.970000,11.970000,4256884
2023-03-08,11.970000,12.480000,11.850000,12.200000,12.200000,3210575
2023-03-09,12.250000,12.300000,11.860000,12.140000,12.140000,2654303
2023-03-10,12.070000,12.250000,11.930000,12.170000,12.170000,2465019
2023-03-13,12.550000,12.800000,12.390000,12.460000,12.460000,4045560
2023-03-14,12.460000,12.490000,11.790000,11.790000,11.790000,2655531
2023-03-15,11.780000,11.780000,11.130000,11.270000,11.270000,2313497
2023-03-16,11.370000,11.780000,11.310000,11.430000,11.430000,2236673
2023-03-17,11.510000,11.770000,11.430000,11.490000,11.490000,2467378
2023-03-20,11.490000,11.540000,10.970000,11.050000,11.050000,2291125
2023-03-21,11.020000,11.090000,10.650000,10.750000,10.750000,1562862
2023-03-22,10.750000,11.050000,10.750000,10.840000,10.840000,1225838
2023-03-23,10.850000,10.990000,10.710000,10.900000,10.900000,913458
2023-03-24,10.900000,11.280000,10.850000,11.000000,11.000000,2076902
2023-03-27,11.110000,11.190000,10.800000,10.840000,10.840000,1081761
2023-03-28,10.860000,10.860000,10.310000,10.310000,10.310000,1432184
2023-03-29,10.300000,10.410000,10.050000,10.280000,10.280000,1199740
2023-03-30,10.300000,10.380000,10.180000,10.210000,10.210000,1233936
2023-03-31,10.220000,10.270000,9.690000,9.690000,9.690000,1589991
2023-04-03,9.710000,9.880000,9.250000,9.510000,9.510000,1599032
2023-04-04,9.510000,9.580000,9.300000,9.490000,9.490000,1458652
2023-04-05,9.720000,9.720000,9.450000,9.470000,9.470000,1931702
2023-04-06,9.440000,9.640000,9.390000,9.410000,9.410000,1251367
2023-04-07,9.430000,9.440000,9.310000,9.390000,9.390000,811387
2023-04-10,9.460000,9.600000,9.410000,9.560000,9.560000,1146644
2023-04-11,9.570000,9.730000,9.570000,9.660000,9.660000,1302441
2023-04-12,9.700000,9.880000,9.660000,9.760000,9.760000,1304959
2023-04-13,9.770000,9.860000,9.630000,9.670000,9.670000,823059
2023-04-14,9.670000,9.750000,9.500000,9.550000,9.550000,657644
2023-04-17,9.550000,9.590000,9.320000,9.320000,9.320000,886501
2023-04-18,9.320000,9.440000,9.010000,9.010000,9.010000,872810
2023-04-19,9.070000,9.160000,8.870000,9.080000,9.080000,1948644
2023-04-20,9.080000,9.220000,9.000000,9.030000,9.030000,473230
2023-04-24,9.040000,9.180000,8.910000,8.910000,8.910000,858099
2023-04-25,8.940000,8.970000,8.650000,8.660000,8.660000,862128
2023-04-26,8.770000,8.770000,8.350000,8.400000,8.400000,960024
2023-04-27,8.400000,8.530000,8.290000,8.390000,8.390000,991991
2023-04-28,8.400000,8.450000,7.980000,7.990000,7.990000,1011904
2023-05-02,7.990000,8.000000,7.640000,7.690000,7.690000,871547
2023-05-03,7.690000,7.710000,7.100000,7.370000,7.370000,1316186
2023-05-04,7.390000,7.750000,7.300000,7.590000,7.590000,1325888
2023-05-05,7.590000,7.700000,7.390000,7.430000,7.430000,814587
2023-05-08,7.470000,7.570000,7.400000,7.540000,7.540000,656409
