Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,12.450000,13.590000,12.400000,13.590000,13.419158,11682724
2023-03-02,14.300000,14.750000,12.240000,12.240000,12.086129,29177574
2023-03-03,12.000000,13.460000,11.700000,13.460000,13.290792,20925386
2023-03-06,13.990000,14.800000,13.530000,14.800000,14.613947,24632169
2023-03-07,15.000000,15.820000,13.780000,14.650000,14.465832,34604465
2023-03-08,14.650000,14.790000,13.600000,13.640000,13.468530,19453890
2023-03-09,13.670000,14.630000,13.400000,14.450000,14.268347,17396012
2023-03-10,14.640000,15.590000,13.910000,13.960000,13.784507,31419098
2023-03-13,13.900000,13.940000,12.730000,12.850000,12.688461,15906497
2023-03-14,12.800000,13.380000,12.250000,12.370000,12.214495,15603765
2023-03-15,12.420000,13.200000,12.130000,12.840000,12.678587,18969116
2023-03-16,12.890000,13.150000,12.300000,12.410000,12.253992,10480834
2023-03-17,12.450000,12.570000,11.750000,11.790000,11.641786,12372065
2023-03-20,11.810000,12.210000,11.000000,11.060000,10.920963,21206319
2023-03-21,11.110000,11.310000,10.560000,10.560000,10.427249,10624987
2023-03-22,10.560000,11.060000,10.300000,10.500000,10.368003,10976871
2023-03-23,10.550000,10.980000,10.040000,10.180000,10.052026,12699235
2023-03-24,10.210000,10.520000,10.140000,10.200000,10.071774,8238694
2023-03-27,10.300000,10.590000,9.890000,9.980000,9.854540,7182293
2023-03-28,9.800000,9.920000,8.990000,9.070000,8.955979,13054900
2023-03-29,9.000000,9.970000,8.630000,9.970000,9.844666,12511795
2023-03-30,10.370000,10.960000,10.360000,10.960000,10.822220,4983342
2023-03-31,11.700000,11.990000,9.930000,10.190000,10.061899,31591407
2023-04-03,10.190000,11.200000,10.100000,11.200000,11.059203,15545964
2023-04-04,11.720000,11.930000,10.840000,11.320000,11.177694,22125036
2023-04-05,11.390000,11.670000,10.890000,11.090000,10.950586,11846936
2023-04-06,11.300000,11.580000,10.900000,10.970000,10.832095,12119984
2023-04-07,11.000000,11.140000,10.490000,10.570000,10.437122,7592865
2023-04-10,10.800000,10.970000,10.240000,10.280000,10.150768,6822289
2023-04-11,10.330000,10.550000,9.960000,10.160000,10.032277,10399556
2023-04-12,10.170000,10.420000,10.030000,10.060000,9.933535,6832899
2023-04-13,10.090000,10.850000,10.000000,10.240000,10.111271,20394316
2023-04-14,10.240000,10.750000,10.050000,10.130000,10.002654,14607961
2023-04-17,10.480000,10.490000,9.960000,9.960000,9.834791,5167414
2023-04-18,9.900000,9.980000,9.440000,9.520000,9.400323,8630274
2023-04-19,9.540000,9.730000,9.200000,9.290000,9.173214,6012089
2023-04-20,9.400000,9.400000,9.050000,9.110000,8.995477,2292320
2023-04-24,9.130000,9.690000,9.120000,9.390000,9.271957,6609442
2023-04-25,9.400000,9.550000,8.950000,8.980000,8.867110,4346472
2023-04-26,8.990000,9.340000,8.720000,8.830000,8.718997,8021206
2023-04-27,8.900000,9.060000,8.500000,8.590000,8.482014,6229303
2023-04-28,8.650000,8.800000,7.890000,7.900000,7.800688,8256584
