Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,1.890000,1.930000,1.830000,1.870000,1.870000,23224053
2023-02-28,1.870000,1.930000,1.850000,1.880000,1.880000,21763233
2023-03-01,1.880000,1.930000,1.710000,1.830000,1.830000,62051720
2023-03-02,1.830000,1.900000,1.820000,1.850000,1.850000,24011623
2023-03-03,1.850000,1.870000,1.800000,1.860000,1.860000,16211946
2023-03-06,1.890000,2.040000,1.880000,2.040000,2.040000,23505253
2023-03-07,2.120000,2.240000,2.100000,2.240000,2.240000,51906597
2023-03-08,2.270000,2.420000,2.220000,2.250000,2.250000,65092755
2023-03-09,2.260000,2.400000,2.240000,2.280000,2.280000,25762800
2023-03-10,2.280000,2.430000,2.240000,2.320000,2.320000,30967324
2023-03-13,2.330000,2.410000,2.290000,2.380000,2.380000,31389695
2023-03-14,2.390000,2.420000,2.330000,2.350000,2.350000,17617831
2023-03-15,2.340000,2.370000,2.230000,2.270000,2.270000,23791148
2023-03-16,2.320000,2.360000,2.270000,2.300000,2.300000,11871270
2023-03-17,2.310000,2.340000,2.260000,2.280000,2.280000,13182684
2023-03-20,2.270000,2.270000,2.160000,2.190000,2.190000,20217603
2023-03-21,2.200000,2.220000,2.100000,2.100000,2.100000,11539486
2023-03-22,2.120000,2.170000,2.090000,2.120000,2.120000,6140713
2023-03-23,2.130000,2.190000,2.110000,2.170000,2.170000,9062110
2023-03-24,2.170000,2.310000,2.160000,2.280000,2.280000,22012641
2023-03-27,2.290000,2.330000,2.210000,2.210000,2.210000,8912557
2023-03-28,2.220000,2.350000,2.150000,2.210000,2.210000,29330188
2023-03-29,2.210000,2.270000,2.140000,2.230000,2.230000,14873192
2023-03-30,2.230000,2.270000,2.170000,2.200000,2.200000,7780946
2023-03-31,2.200000,2.240000,2.160000,2.200000,2.200000,10058099
2023-04-03,2.190000,2.310000,2.170000,2.200000,2.200000,17050833
2023-04-04,2.200000,2.290000,2.190000,2.270000,2.270000,14376630
2023-04-05,2.270000,2.300000,2.240000,2.260000,2.260000,12898751
2023-04-06,2.280000,2.320000,2.230000,2.260000,2.260000,13847866
2023-04-07,2.270000,2.280000,2.230000,2.260000,2.260000,8613156
2023-04-10,2.280000,2.350000,2.280000,2.310000,2.310000,16782538
2023-04-11,2.310000,2.390000,2.240000,2.370000,2.370000,30073308
2023-04-12,2.370000,2.450000,2.340000,2.410000,2.410000,21624025
2023-04-13,2.420000,2.580000,2.400000,2.490000,2.490000,52759199
2023-04-14,2.490000,2.630000,2.440000,2.620000,2.620000,41582177
2023-04-17,2.640000,2.700000,2.580000,2.640000,2.640000,37247545
2023-04-18,2.640000,2.660000,2.530000,2.540000,2.540000,21921528
2023-04-19,2.550000,2.650000,2.510000,2.590000,2.590000,24529231
2023-04-20,2.600000,2.820000,2.580000,2.790000,2.790000,18410350
2023-04-24,2.760000,2.900000,2.720000,2.800000,2.800000,38596996
2023-04-25,2.820000,2.880000,2.760000,2.830000,2.830000,26544558
2023-04-26,2.830000,2.840000,2.720000,2.730000,2.730000,23039976
2023-04-27,2.700000,2.800000,2.660000,2.660000,2.660000,18244654
2023-04-28,2.660000,2.720000,2.550000,2.680000,2.680000,20360545
2023-05-02,2.700000,2.860000,2.620000,2.820000,2.820000,34659944
2023-05-03,2.820000,2.940000,2.650000,2.820000,2.820000,33414908
2023-05-04,2.820000,2.950000,2.800000,2.900000,2.900000,31119856
2023-05-05,2.930000,2.990000,2.820000,2.850000,2.850000,18829663
2023-05-08,2.850000,2.880000,2.760000,2.760000,2.760000,27187497
2023-05-09,2.760000,2.810000,2.680000,2.730000,2.730000,27625970
