Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,6.000000,6.030000,5.710000,5.840000,5.712637,2316741
2023-03-06,6.240000,6.420000,6.140000,6.220000,6.084349,13929022
2023-03-07,6.240000,6.300000,6.080000,6.280000,6.143041,4829548
2023-03-08,6.280000,6.360000,6.140000,6.190000,6.055004,3261926
2023-03-09,6.200000,6.750000,6.190000,6.650000,6.504972,12251270
2023-03-10,6.700000,6.770000,6.520000,6.540000,6.397370,3767649
2023-03-13,6.540000,6.900000,6.540000,6.680000,6.534317,5185745
2023-03-14,6.690000,6.970000,6.620000,6.900000,6.749519,5120103
2023-03-15,6.890000,7.120000,6.570000,6.970000,6.817992,5726198
2023-03-16,7.000000,7.090000,6.840000,7.010000,6.857121,4969996
2023-03-17,7.010000,7.100000,6.780000,6.830000,6.681046,4185040
2023-03-20,6.810000,6.970000,6.710000,6.750000,6.602790,3758512
2023-03-21,6.750000,6.760000,6.420000,6.530000,6.387589,2382115
2023-03-22,6.550000,6.840000,6.490000,6.650000,6.504972,2766549
2023-03-23,6.660000,6.780000,6.620000,6.710000,6.563663,1388717
2023-03-24,6.700000,6.820000,6.560000,6.640000,6.495189,1203376
2023-03-27,6.680000,6.740000,6.500000,6.510000,6.368025,1745496
2023-03-28,6.510000,6.510000,6.130000,6.170000,6.035440,2399583
2023-03-29,6.170000,6.250000,5.960000,6.210000,6.074567,2274463
2023-03-30,6.210000,6.270000,6.040000,6.080000,5.947402,1975993
2023-03-31,6.000000,6.150000,5.940000,6.150000,6.015876,2800399
2023-04-03,6.150000,6.230000,5.940000,6.090000,5.957184,2018280
2023-04-04,6.090000,6.190000,6.040000,6.140000,6.006094,1418998
2023-04-05,6.150000,6.260000,6.060000,6.120000,5.986530,1452317
2023-04-06,6.120000,6.390000,6.090000,6.220000,6.084349,3396981
2023-04-07,6.220000,6.260000,6.160000,6.240000,6.103913,944879
2023-04-10,6.250000,6.340000,6.250000,6.270000,6.133259,1530892
2023-04-11,6.300000,6.440000,6.260000,6.310000,6.172386,3000063
2023-04-12,6.340000,6.400000,6.310000,6.340000,6.201732,1615181
2023-04-13,6.340000,6.400000,6.280000,6.360000,6.221296,1253693
2023-04-14,6.360000,6.450000,6.270000,6.300000,6.162605,1399355
2023-04-17,6.310000,6.550000,6.220000,6.470000,6.328897,3475434
2023-04-18,6.470000,6.490000,6.340000,6.380000,6.240860,2086334
2023-04-19,6.360000,6.750000,6.300000,6.550000,6.407153,6530557
2023-04-20,6.590000,6.700000,6.460000,6.480000,6.338679,1908734
2023-04-24,6.490000,6.620000,6.470000,6.600000,6.456062,3362731
2023-04-25,6.630000,6.700000,6.380000,6.450000,6.309333,4007403
2023-04-26,6.450000,6.460000,6.170000,6.190000,6.055004,2200114
2023-04-27,6.170000,6.240000,6.120000,6.120000,5.986530,1231186
2023-04-28,6.140000,6.190000,5.950000,6.060000,5.927839,2046421
2023-05-02,6.060000,6.090000,5.770000,5.890000,5.761546,1202193
2023-05-03,5.890000,5.900000,5.480000,5.540000,5.419179,1832673
2023-05-04,5.550000,5.770000,5.540000,5.690000,5.565908,1341347
2023-05-05,5.750000,5.770000,5.510000,5.560000,5.438743,1458933
2023-05-08,5.570000,5.690000,5.490000,5.690000,5.565908,791526
2023-05-09,5.640000,5.930000,5.640000,5.810000,5.683291,3269692
