Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,3.910000,4.030000,3.900000,3.910000,3.817456,417375
2023-01-31,4.010000,4.010000,3.800000,3.870000,3.778402,333288
2023-02-01,3.890000,3.960000,3.700000,3.740000,3.651479,271548
2023-02-02,3.740000,3.790000,3.500000,3.650000,3.563610,388812
2023-02-03,3.660000,3.780000,3.600000,3.770000,3.680769,365731
2023-02-06,3.770000,3.890000,3.660000,3.780000,3.690532,304655
2023-02-07,3.700000,3.700000,3.410000,3.410000,3.329290,293060
2023-02-08,3.070000,3.070000,3.070000,3.070000,2.997337,5
2023-02-15,3.150000,3.740000,3.150000,3.700000,3.612426,485292
2023-02-16,3.690000,3.900000,3.590000,3.610000,3.524556,448579
2023-02-17,3.590000,3.610000,3.250000,3.400000,3.319527,559967
2023-02-20,3.370000,3.480000,3.320000,3.470000,3.387870,441098
2023-02-21,3.450000,3.470000,3.360000,3.470000,3.387870,365536
2023-02-22,3.470000,3.470000,3.380000,3.400000,3.319527,259541
2023-02-23,3.400000,3.430000,3.370000,3.410000,3.329290,213532
2023-02-24,3.400000,3.420000,3.380000,3.380000,3.300000,345482
2023-02-27,3.380000,3.410000,3.280000,3.410000,3.329290,436560
2023-02-28,3.410000,3.430000,3.320000,3.390000,3.309763,284873
2023-03-01,3.390000,3.630000,3.360000,3.550000,3.465976,728753
2023-03-02,3.550000,3.660000,3.440000,3.500000,3.417160,415980
2023-03-03,3.500000,3.640000,3.400000,3.640000,3.553846,756430
2023-03-06,3.670000,4.000000,3.650000,4.000000,3.905325,1547295
2023-03-07,4.000000,4.400000,3.810000,4.400000,4.295858,2178936
2023-03-08,4.720000,4.770000,4.400000,4.500000,4.393491,2496609
2023-03-09,4.400000,4.710000,4.240000,4.480000,4.373964,1324581
2023-03-10,4.250000,4.730000,4.250000,4.490000,4.383728,997573
2023-03-13,4.730000,4.750000,4.500000,4.750000,4.637574,1220342
2023-03-14,5.220000,5.220000,4.900000,5.080000,4.959764,1889047
2023-03-15,5.070000,5.220000,4.780000,5.180000,5.057396,2030708
2023-03-16,5.140000,5.500000,4.960000,4.990000,4.871893,1150995
2023-03-17,4.990000,5.020000,4.510000,4.510000,4.403255,1055842
2023-03-20,4.650000,4.650000,4.390000,4.390000,4.286094,539061
2023-03-21,4.400000,4.420000,4.180000,4.310000,4.207988,726455
2023-03-22,4.310000,4.480000,4.200000,4.390000,4.286094,668108
2023-03-23,4.370000,4.480000,4.320000,4.420000,4.315384,488755
