Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,7.720000,7.950000,7.670000,7.840000,7.840000,3944312
2023-03-14,7.600000,7.710000,7.450000,7.460000,7.460000,4715667
2023-03-15,7.420000,7.530000,7.040000,7.110000,7.110000,2444465
2023-03-16,7.110000,7.350000,7.090000,7.300000,7.300000,1959535
2023-03-17,7.290000,7.340000,7.070000,7.070000,7.070000,1512596
2023-03-20,7.140000,7.220000,6.940000,6.990000,6.990000,1529463
2023-03-21,6.990000,7.130000,6.850000,6.930000,6.930000,1033223
2023-03-22,6.950000,7.080000,6.920000,6.980000,6.980000,1114821
2023-03-23,7.000000,7.170000,7.000000,7.110000,7.110000,1397496
2023-03-24,7.130000,7.200000,7.090000,7.140000,7.140000,1223577
2023-03-27,7.170000,7.350000,7.140000,7.160000,7.160000,1795639
2023-03-28,7.150000,7.150000,6.900000,6.910000,6.910000,1609192
2023-03-29,6.910000,7.040000,6.800000,7.030000,7.030000,1101752
2023-03-30,7.040000,7.180000,6.990000,7.020000,7.020000,1486260
2023-03-31,6.990000,7.090000,6.940000,6.980000,6.980000,738491
2023-04-03,6.990000,7.070000,6.800000,7.060000,7.060000,1359908
2023-04-04,7.100000,7.460000,7.050000,7.400000,7.400000,3055106
2023-04-05,7.500000,7.750000,7.280000,7.300000,7.300000,4015394
2023-04-06,7.300000,7.430000,7.190000,7.270000,7.270000,1843535
2023-04-07,7.270000,7.400000,7.210000,7.350000,7.350000,1109196
2023-04-10,7.410000,7.590000,7.330000,7.500000,7.500000,1893042
2023-04-11,7.500000,7.850000,7.480000,7.560000,7.560000,4071587
2023-04-12,7.580000,7.680000,7.500000,7.550000,7.550000,2286845
2023-04-13,7.580000,7.670000,7.480000,7.530000,7.530000,1830809
2023-04-14,7.540000,7.620000,7.460000,7.470000,7.470000,1321975
2023-04-17,7.480000,7.720000,7.330000,7.700000,7.700000,3167589
2023-04-18,7.730000,7.790000,7.510000,7.640000,7.640000,1912038
2023-04-19,7.640000,7.920000,7.510000,7.850000,7.850000,2679415
2023-04-20,7.850000,7.900000,7.700000,7.860000,7.860000,767208
2023-04-24,7.940000,8.240000,7.770000,7.880000,7.880000,2414336
2023-04-25,7.910000,8.080000,7.590000,8.000000,8.000000,3018093
2023-04-26,8.030000,8.040000,7.620000,7.730000,7.730000,1591764
2023-04-27,7.710000,7.740000,7.480000,7.480000,7.480000,1331337
2023-04-28,7.500000,7.630000,7.130000,7.130000,7.130000,1131080
2023-05-02,7.140000,7.250000,6.700000,6.700000,6.700000,1525559
2023-05-03,6.760000,6.840000,6.430000,6.670000,6.670000,1438008
2023-05-04,6.700000,7.010000,6.700000,6.960000,6.960000,1077277
2023-05-05,6.960000,7.200000,6.830000,7.190000,7.190000,956921
2023-05-08,7.260000,7.330000,7.050000,7.200000,7.200000,1073970
2023-05-09,7.220000,7.260000,7.010000,7.010000,7.010000,817040
