Date,Open,High,Low,Close,Adj Close,Volume
2023-02-20,4.790000,4.840000,4.600000,4.840000,4.835233,27679549
2023-02-21,4.920000,5.320000,4.900000,5.320000,5.314760,35270911
2023-02-22,5.330000,5.380000,4.790000,4.800000,4.795272,28847177
2023-02-23,4.810000,4.940000,4.740000,4.800000,4.795272,22365542
2023-02-24,4.810000,5.140000,4.750000,4.980000,4.975095,54822918
2023-02-27,4.970000,5.170000,4.920000,5.000000,4.995075,31963175
2023-02-28,5.020000,5.040000,4.950000,4.970000,4.965105,13516783
2023-03-01,4.980000,5.070000,4.970000,5.010000,5.005065,20378382
2023-03-02,5.010000,5.020000,4.770000,4.800000,4.795272,25855732
2023-03-03,4.800000,4.880000,4.640000,4.750000,4.745321,24260331
2023-03-06,4.790000,4.940000,4.770000,4.850000,4.845223,36164407
2023-03-07,4.870000,4.930000,4.780000,4.780000,4.775292,21914595
2023-03-08,4.790000,4.830000,4.780000,4.810000,4.805262,19412855
2023-03-09,4.830000,4.970000,4.810000,4.860000,4.855213,29412192
2023-03-10,4.820000,4.920000,4.750000,4.780000,4.775292,21511846
2023-03-13,4.800000,4.820000,4.620000,4.630000,4.625440,21677505
2023-03-14,4.640000,4.670000,4.480000,4.490000,4.485577,20005286
2023-03-15,4.500000,4.520000,4.230000,4.270000,4.265794,19046233
2023-03-16,4.290000,4.380000,4.230000,4.320000,4.315745,10387161
2023-03-17,4.350000,4.420000,4.230000,4.230000,4.225833,18874085
2023-03-20,4.210000,4.300000,4.140000,4.190000,4.185873,23730717
2023-03-21,4.200000,4.210000,4.100000,4.100000,4.095962,16336348
2023-03-22,4.100000,4.150000,4.060000,4.100000,4.095962,21767520
2023-03-23,4.110000,4.240000,4.080000,4.150000,4.145913,18443066
2023-03-24,4.170000,4.240000,4.160000,4.210000,4.205853,13413056
2023-03-27,4.280000,4.390000,4.220000,4.230000,4.225833,16168323
2023-03-28,4.240000,4.240000,4.010000,4.010000,4.006051,14028088
2023-03-29,4.010000,4.040000,3.880000,4.020000,4.016040,17386044
2023-03-30,4.030000,4.100000,3.980000,4.000000,3.996060,18153484
2023-03-31,3.990000,4.000000,3.850000,3.870000,3.866188,12434867
2023-04-03,3.870000,3.900000,3.730000,3.820000,3.816237,11549122
2023-04-04,3.840000,3.960000,3.830000,3.960000,3.956100,13077653
2023-04-05,3.980000,4.070000,3.940000,3.990000,3.986070,14840475
2023-04-06,4.000000,4.030000,3.910000,3.930000,3.926129,6263966
2023-04-07,3.940000,4.000000,3.930000,4.000000,3.996060,10787448
2023-04-10,4.020000,4.230000,4.020000,4.170000,4.165893,36960972
2023-04-11,4.190000,4.220000,4.100000,4.150000,4.145913,24669689
2023-04-12,4.150000,4.430000,4.140000,4.300000,4.295765,67723109
2023-04-13,4.330000,4.350000,4.230000,4.270000,4.265794,19327206
2023-04-14,4.290000,4.380000,4.240000,4.250000,4.245814,21758417
2023-04-17,4.350000,4.450000,4.160000,4.160000,4.155902,28642207
2023-04-18,4.150000,4.180000,3.980000,3.980000,3.976080,15815003
2023-04-19,4.000000,4.370000,3.950000,4.370000,4.365695,26151126
2023-04-20,4.330000,4.420000,4.120000,4.160000,4.155902,28407679
2023-04-24,4.190000,4.200000,4.040000,4.060000,4.056001,9379850
2023-04-25,4.070000,4.080000,3.850000,3.850000,3.846208,10408067
2023-04-26,3.850000,3.960000,3.780000,3.790000,3.786267,12157396
2023-04-27,3.780000,3.830000,3.770000,3.810000,3.806247,10834023
2023-04-28,3.820000,3.840000,3.670000,3.750000,3.746306,8252602
2023-05-02,3.760000,3.780000,3.500000,3.500000,3.496553,8466614
2023-05-03,3.610000,3.660000,3.270000,3.330000,3.326720,14795722
2023-05-04,3.330000,3.420000,3.310000,3.360000,3.356690,9555612
2023-05-05,3.360000,3.380000,3.240000,3.260000,3.256789,9819600
2023-05-08,3.280000,3.360000,3.200000,3.340000,3.336710,17065523
2023-05-09,3.360000,3.370000,3.200000,3.200000,3.196848,10992936
2023-05-10,3.200000,3.240000,3.160000,3.170000,3.166878,7985186
