Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,5.540000,5.740000,5.520000,5.670000,5.670000,802925
2023-03-02,5.430000,5.500000,5.160000,5.200000,5.200000,11269674
2023-03-03,5.200000,5.220000,4.940000,5.070000,5.070000,2971215
2023-03-06,5.030000,5.150000,5.030000,5.110000,5.110000,2328924
2023-03-07,5.140000,5.150000,5.060000,5.110000,5.110000,2450960
2023-03-08,5.110000,5.120000,5.030000,5.110000,5.110000,2759453
2023-03-09,5.100000,5.220000,5.060000,5.220000,5.220000,3410008
2023-03-10,5.220000,5.220000,5.080000,5.110000,5.110000,2511300
2023-03-13,5.110000,5.160000,5.050000,5.050000,5.050000,2063897
2023-03-14,5.050000,5.060000,4.870000,4.880000,4.880000,2349937
2023-03-15,4.900000,4.980000,4.710000,4.750000,4.750000,2089613
2023-03-16,4.800000,4.970000,4.740000,4.970000,4.970000,1770430
2023-03-17,5.000000,5.010000,4.880000,4.900000,4.900000,1377769
2023-03-20,4.900000,4.900000,4.700000,4.710000,4.710000,1472346
2023-03-21,4.730000,4.740000,4.500000,4.600000,4.600000,1411263
2023-03-22,4.610000,4.690000,4.580000,4.620000,4.620000,1380631
2023-03-23,4.640000,4.740000,4.640000,4.700000,4.700000,1097704
2023-03-24,4.700000,4.850000,4.690000,4.810000,4.810000,1319734
2023-03-27,4.810000,4.900000,4.760000,4.820000,4.820000,1301604
2023-03-28,4.820000,4.870000,4.600000,4.620000,4.620000,1277048
2023-03-29,4.620000,4.630000,4.420000,4.600000,4.600000,1080483
2023-03-30,4.600000,4.690000,4.560000,4.580000,4.580000,537911
2023-03-31,4.560000,4.570000,4.350000,4.370000,4.370000,1760691
2023-04-03,4.400000,4.400000,4.190000,4.230000,4.230000,1440308
2023-04-04,4.250000,4.330000,4.200000,4.280000,4.280000,965999
2023-04-05,4.310000,4.450000,4.280000,4.380000,4.380000,1148242
2023-04-06,4.380000,4.450000,4.320000,4.330000,4.330000,43153127
2023-04-07,4.380000,4.510000,4.310000,4.340000,4.340000,2289266
2023-04-10,4.360000,4.410000,4.350000,4.390000,4.390000,1528669
2023-04-11,4.430000,4.490000,4.380000,4.420000,4.420000,1557403
2023-04-12,4.430000,4.860000,4.420000,4.860000,4.860000,2506355
2023-04-13,5.110000,5.340000,5.000000,5.340000,5.340000,27451420
2023-04-14,5.150000,5.450000,4.900000,4.980000,4.980000,13419070
2023-04-17,5.000000,5.030000,4.710000,4.750000,4.750000,4207384
2023-04-18,4.750000,5.110000,4.720000,4.820000,4.820000,6556824
2023-04-19,4.720000,4.870000,4.640000,4.720000,4.720000,2531009
2023-04-20,4.740000,4.740000,4.560000,4.570000,4.570000,934468
2023-04-24,4.600000,4.760000,4.550000,4.580000,4.580000,3828247
2023-04-25,4.590000,4.660000,4.450000,4.470000,4.470000,1759458
2023-04-26,4.470000,4.580000,4.350000,4.360000,4.360000,1781523
2023-04-27,4.360000,4.430000,4.200000,4.320000,4.320000,2273614
2023-04-28,4.340000,4.380000,4.130000,4.170000,4.170000,1134579
