Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,8.020000,8.030000,7.820000,7.860000,7.860000,811195
2023-02-27,7.860000,8.190000,7.780000,8.180000,8.180000,1592998
2023-02-28,8.130000,8.210000,7.900000,7.970000,7.970000,1323502
2023-03-01,8.000000,8.120000,7.980000,8.000000,8.000000,1230725
2023-03-02,8.010000,8.150000,7.960000,7.980000,7.980000,1524185
2023-03-03,7.980000,7.990000,7.600000,7.770000,7.770000,1514016
2023-03-06,7.910000,8.200000,7.810000,8.050000,8.050000,3268260
2023-03-07,8.160000,8.350000,8.000000,8.030000,8.030000,2215575
2023-03-08,8.030000,8.280000,7.890000,8.200000,8.200000,2810271
2023-03-09,8.090000,8.590000,8.090000,8.290000,8.290000,3353049
2023-03-10,8.240000,8.320000,8.070000,8.070000,8.070000,1837024
2023-03-13,8.090000,8.150000,7.810000,7.830000,7.830000,1789333
2023-03-14,7.830000,8.000000,7.740000,7.760000,7.760000,1053327
2023-03-15,7.770000,7.800000,7.450000,7.490000,7.490000,1028134
2023-03-16,7.520000,7.600000,7.360000,7.470000,7.470000,1521191
2023-03-17,7.540000,7.580000,7.270000,7.290000,7.290000,1398340
2023-03-20,7.250000,7.270000,6.950000,6.950000,6.950000,1467659
2023-03-21,7.000000,7.030000,6.810000,6.870000,6.870000,777816
2023-03-22,6.900000,7.010000,6.860000,6.950000,6.950000,645893
2023-03-23,6.980000,7.030000,6.870000,6.940000,6.940000,1071096
2023-03-24,6.970000,7.050000,6.820000,6.870000,6.870000,1177789
2023-03-27,6.900000,7.080000,6.850000,6.990000,6.990000,1174225
2023-03-28,6.980000,6.990000,6.640000,6.680000,6.680000,923700
2023-03-29,6.730000,6.820000,6.490000,6.730000,6.730000,794069
2023-03-30,6.720000,6.950000,6.690000,6.740000,6.740000,1305687
2023-03-31,6.720000,6.830000,6.630000,6.700000,6.700000,794863
2023-04-03,6.700000,6.810000,6.590000,6.730000,6.730000,758708
2023-04-04,6.830000,6.950000,6.730000,6.900000,6.900000,2302944
2023-04-05,6.980000,7.000000,6.870000,6.940000,6.940000,3137481
2023-04-06,6.920000,7.070000,6.900000,6.910000,6.910000,1709711
2023-04-07,6.920000,7.080000,6.800000,7.040000,7.040000,2197100
2023-04-10,7.040000,7.570000,7.040000,7.530000,7.530000,2907277
2023-04-11,7.560000,7.600000,7.340000,7.400000,7.400000,2266247
2023-04-12,7.420000,7.750000,7.310000,7.500000,7.500000,3880584
2023-04-13,7.560000,7.780000,7.360000,7.360000,7.360000,1295630
2023-04-14,7.420000,7.690000,7.140000,7.220000,7.220000,2276099
2023-04-17,7.220000,7.470000,7.210000,7.280000,7.280000,2523786
2023-04-18,7.280000,7.510000,7.230000,7.410000,7.410000,2928562
2023-04-19,7.420000,7.600000,7.380000,7.460000,7.460000,2285049
2023-04-20,7.490000,7.490000,7.360000,7.450000,7.450000,411409
2023-04-24,7.450000,7.510000,7.320000,7.320000,7.320000,739856
2023-04-25,7.350000,7.400000,7.140000,7.200000,7.200000,932193
2023-04-26,7.200000,7.240000,6.930000,6.930000,6.930000,738944
2023-04-27,6.990000,6.990000,6.850000,6.940000,6.940000,598092
