Date,Open,High,Low,Close,Adj Close,Volume
2023-03-09,1.670000,1.750000,1.660000,1.730000,1.730000,8049439
2023-03-10,1.740000,1.820000,1.740000,1.750000,1.750000,13156807
2023-03-13,1.750000,1.760000,1.670000,1.690000,1.690000,7700182
2023-03-14,1.700000,1.740000,1.640000,1.650000,1.650000,12203262
2023-03-15,1.650000,1.670000,1.570000,1.600000,1.600000,8209292
2023-03-16,1.600000,1.660000,1.590000,1.650000,1.650000,6762969
2023-03-17,1.660000,1.670000,1.600000,1.630000,1.630000,9730011
2023-03-20,1.620000,1.620000,1.550000,1.570000,1.570000,8217633
2023-03-21,1.570000,1.580000,1.510000,1.530000,1.530000,7144525
2023-03-22,1.540000,1.600000,1.540000,1.560000,1.560000,6034817
2023-03-23,1.560000,1.590000,1.520000,1.550000,1.550000,5389262
2023-03-24,1.560000,1.570000,1.540000,1.550000,1.550000,1886120
2023-03-27,1.560000,1.570000,1.540000,1.550000,1.550000,2026296
2023-03-28,1.560000,1.560000,1.510000,1.530000,1.530000,4495194
2023-03-29,1.530000,1.560000,1.510000,1.550000,1.550000,6752512
2023-03-30,1.550000,1.570000,1.540000,1.550000,1.550000,4984451
2023-03-31,1.550000,1.550000,1.500000,1.520000,1.520000,5591613
2023-04-03,1.510000,1.540000,1.500000,1.500000,1.500000,3506663
2023-04-04,1.510000,1.540000,1.500000,1.530000,1.530000,3992623
2023-04-05,1.530000,1.560000,1.520000,1.540000,1.540000,11579952
2023-04-06,1.530000,1.590000,1.520000,1.530000,1.530000,12336731
2023-04-07,1.530000,1.550000,1.530000,1.540000,1.540000,3508715
2023-04-10,1.540000,1.600000,1.540000,1.590000,1.590000,5662206
2023-04-11,1.600000,1.620000,1.580000,1.580000,1.580000,3502588
2023-04-12,1.580000,1.640000,1.580000,1.600000,1.600000,3708370
2023-04-13,1.610000,1.640000,1.600000,1.630000,1.630000,7000606
2023-04-14,1.640000,1.650000,1.610000,1.610000,1.610000,5975959
2023-04-17,1.610000,1.620000,1.570000,1.580000,1.580000,5239881
2023-04-18,1.580000,1.590000,1.540000,1.540000,1.540000,2354953
2023-04-19,1.550000,1.560000,1.520000,1.550000,1.550000,2569510
2023-04-20,1.550000,1.560000,1.540000,1.540000,1.540000,678105
2023-04-24,1.550000,1.590000,1.520000,1.570000,1.570000,5662642
2023-04-25,1.580000,1.630000,1.510000,1.510000,1.510000,14446442
2023-04-26,1.510000,1.520000,1.410000,1.430000,1.430000,10156223
2023-04-27,1.420000,1.440000,1.410000,1.420000,1.420000,4114514
2023-04-28,1.410000,1.430000,1.360000,1.380000,1.380000,4552439
2023-05-02,1.380000,1.400000,1.260000,1.290000,1.290000,8276095
2023-05-03,1.280000,1.290000,1.180000,1.200000,1.200000,14853370
2023-05-04,1.200000,1.280000,1.190000,1.240000,1.240000,4155906
2023-05-05,1.250000,1.250000,1.210000,1.230000,1.230000,3314922
2023-05-08,1.240000,1.260000,1.220000,1.250000,1.250000,3293246
2023-05-09,1.250000,1.270000,1.210000,1.230000,1.230000,4713247
