Date,Open,High,Low,Close,Adj Close,Volume
2023-01-27,4.820000,4.860000,4.700000,4.750000,4.090632,1667934
2023-01-30,4.750000,4.890000,4.740000,4.810000,4.142303,1991736
2023-01-31,4.800000,4.860000,4.690000,4.720000,4.064796,1484841
2023-02-01,4.740000,4.770000,4.570000,4.570000,3.935619,1380153
2023-02-02,4.570000,4.750000,4.350000,4.540000,3.909783,1865997
2023-02-03,4.550000,4.740000,4.550000,4.700000,4.047573,1594051
2023-02-06,4.670000,4.730000,4.440000,4.530000,3.901171,772160
2023-02-07,4.530000,4.530000,4.130000,4.130000,3.556697,1054770
2023-02-08,4.030000,4.030000,4.030000,4.030000,3.470578,10
2023-02-15,4.170000,4.540000,4.170000,4.540000,3.909783,815452
2023-02-16,4.710000,4.820000,4.560000,4.680000,4.030349,2207641
2023-02-17,4.680000,4.680000,4.550000,4.590000,3.952842,927089
2023-02-20,4.590000,4.800000,4.590000,4.710000,4.056184,1518903
2023-02-21,4.710000,4.790000,4.670000,4.750000,4.090632,1238948
2023-02-22,4.740000,4.750000,4.570000,4.600000,3.961454,1077802
2023-02-23,4.600000,4.690000,4.580000,4.650000,4.004513,668761
2023-02-24,4.650000,4.890000,4.610000,4.850000,4.176751,3099781
2023-02-27,4.890000,5.100000,4.880000,4.960000,4.271481,3546012
2023-02-28,4.960000,5.020000,4.910000,4.960000,4.271481,2461216
2023-03-01,4.970000,5.150000,4.970000,5.080000,4.374823,4622154
2023-03-02,5.100000,5.120000,4.930000,4.970000,4.280093,1984812
2023-03-03,4.960000,5.040000,4.880000,4.970000,4.280093,2211615
2023-03-06,4.980000,5.240000,4.980000,5.230000,4.504001,4025651
2023-03-07,5.290000,5.340000,5.150000,5.220000,4.495389,3698975
2023-03-08,5.210000,5.210000,5.120000,5.180000,4.460941,1782107
2023-03-09,5.190000,5.280000,5.180000,5.210000,4.486777,1846940
2023-03-10,5.210000,5.430000,5.190000,5.410000,4.659014,4753543
2023-03-13,5.460000,5.660000,5.380000,5.400000,4.650403,5858086
2023-03-14,5.400000,5.490000,5.180000,5.350000,4.607343,3429576
2023-03-15,5.360000,5.530000,5.100000,5.530000,4.762357,2477561
2023-03-16,5.600000,5.730000,5.500000,5.610000,4.831252,5393447
2023-03-17,5.590000,5.690000,5.540000,5.560000,4.788192,2864823
2023-03-20,5.580000,5.650000,5.320000,5.380000,4.633179,3040073
2023-03-21,5.360000,5.360000,5.150000,5.150000,4.435106,2155400
2023-03-22,5.160000,5.270000,5.120000,5.150000,4.435106,3014973
2023-03-23,5.160000,5.220000,5.090000,5.150000,4.435106,2264995
2023-03-24,5.160000,5.490000,5.140000,5.360000,4.615955,4908661
2023-03-27,5.000000,5.030000,4.750000,4.750000,4.376405,4273889
2023-03-28,4.750000,4.750000,4.450000,4.450000,4.100000,2107080
2023-03-29,4.450000,4.480000,4.230000,4.390000,4.390000,2200420
2023-03-30,4.390000,4.470000,4.350000,4.400000,4.400000,1294888
2023-03-31,4.410000,4.490000,4.330000,4.360000,4.360000,1708788
2023-04-03,4.370000,4.510000,4.190000,4.320000,4.320000,1935775
2023-04-04,4.330000,4.370000,4.280000,4.330000,4.330000,1105306
2023-04-05,4.350000,4.380000,4.260000,4.260000,4.260000,994716
2023-04-06,4.290000,4.320000,4.250000,4.260000,4.260000,844651
2023-04-07,4.280000,4.310000,4.250000,4.300000,4.300000,816710
2023-04-10,4.300000,4.500000,4.290000,4.450000,4.450000,3057370
2023-04-11,4.490000,4.490000,4.370000,4.380000,4.380000,1409472
2023-04-12,4.400000,4.700000,4.370000,4.450000,4.450000,4813426
2023-04-13,4.450000,4.490000,4.350000,4.410000,4.410000,1122617
2023-04-14,4.410000,4.440000,4.370000,4.390000,4.390000,851745
2023-04-17,4.400000,4.460000,4.340000,4.370000,4.370000,921329
2023-04-18,4.380000,4.410000,4.300000,4.320000,4.320000,678498
2023-04-19,4.330000,4.400000,4.290000,4.350000,4.350000,616073
2023-04-20,4.350000,4.380000,4.320000,4.320000,4.320000,422755
2023-04-24,4.340000,4.390000,4.310000,4.370000,4.370000,2115800
2023-04-25,4.390000,4.390000,4.280000,4.280000,4.280000,1358892
2023-04-26,4.290000,4.320000,4.200000,4.230000,4.230000,902694
2023-04-27,4.230000,4.330000,4.200000,4.330000,4.330000,745952
2023-04-28,4.330000,4.360000,4.120000,4.130000,4.130000,800424
