Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,3.030000,3.110000,2.970000,3.100000,3.100000,15949688
2023-03-14,3.130000,3.150000,2.950000,2.950000,2.950000,14196932
2023-03-15,2.950000,2.970000,2.870000,2.940000,2.940000,8394771
2023-03-16,2.950000,3.000000,2.920000,2.970000,2.970000,5028087
2023-03-17,3.000000,3.020000,2.910000,2.910000,2.910000,4630382
2023-03-20,2.930000,2.950000,2.830000,2.850000,2.850000,4442031
2023-03-21,2.860000,2.920000,2.820000,2.840000,2.840000,5417883
2023-03-22,2.860000,2.920000,2.830000,2.850000,2.850000,3403774
2023-03-23,2.860000,2.950000,2.860000,2.910000,2.910000,6019308
2023-03-24,2.930000,2.940000,2.840000,2.840000,2.840000,3675356
2023-03-27,2.850000,2.980000,2.850000,2.940000,2.940000,5786655
2023-03-28,2.940000,3.100000,2.920000,3.000000,3.000000,16100623
2023-03-29,3.010000,3.050000,2.900000,2.900000,2.900000,10189615
2023-03-30,2.910000,3.050000,2.910000,2.980000,2.980000,9074433
2023-03-31,3.000000,3.000000,2.930000,2.940000,2.940000,3950597
2023-04-03,2.950000,2.980000,2.900000,2.910000,2.910000,5959944
2023-04-04,2.930000,2.990000,2.910000,2.980000,2.980000,7549488
2023-04-05,3.000000,3.200000,2.930000,3.180000,3.180000,22887071
2023-04-06,3.180000,3.210000,3.060000,3.070000,3.070000,11253313
2023-04-07,3.090000,3.160000,3.080000,3.100000,3.100000,7806627
2023-04-10,3.100000,3.250000,3.100000,3.250000,3.250000,8068514
2023-04-11,3.270000,3.300000,3.180000,3.230000,3.230000,8091474
2023-04-12,3.270000,3.310000,3.200000,3.240000,3.240000,4988420
2023-04-13,3.250000,3.280000,3.220000,3.230000,3.230000,3390768
2023-04-14,3.250000,3.490000,3.250000,3.440000,3.440000,13432556
2023-04-17,3.450000,3.540000,3.390000,3.440000,3.440000,10371790
2023-04-18,3.450000,3.500000,3.380000,3.380000,3.380000,5337322
2023-04-19,3.370000,3.410000,3.240000,3.290000,3.290000,6100414
2023-04-20,3.290000,3.360000,3.240000,3.280000,3.280000,2188582
2023-04-24,3.320000,3.480000,3.260000,3.470000,3.470000,11403167
2023-04-25,3.490000,3.550000,3.320000,3.350000,3.350000,11703278
2023-04-26,3.370000,3.430000,3.210000,3.230000,3.230000,6210848
2023-04-27,3.240000,3.480000,3.160000,3.450000,3.450000,11177613
2023-04-28,3.480000,3.510000,3.140000,3.190000,3.190000,9024595
2023-05-02,3.200000,3.250000,2.880000,2.880000,2.880000,13517835
2023-05-03,2.890000,2.890000,2.600000,2.640000,2.640000,15624769
2023-05-04,2.650000,2.790000,2.600000,2.610000,2.610000,6677114
2023-05-05,2.650000,2.680000,2.570000,2.590000,2.590000,3435816
2023-05-08,2.620000,2.660000,2.560000,2.650000,2.650000,3545513
2023-05-09,2.660000,2.910000,2.640000,2.860000,2.860000,17446070
