Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,1.427731,1.453076,1.410835,1.410835,1.410835,54829820
2023-03-13,1.410835,1.419283,1.368595,1.385491,1.385491,41937719
2023-03-14,1.385491,1.410835,1.377043,1.393939,1.393939,49353128
2023-03-15,1.410000,1.420000,1.330000,1.410000,1.410000,69109537
2023-03-16,1.410000,1.440000,1.380000,1.430000,1.430000,68141706
2023-03-17,1.430000,1.440000,1.380000,1.400000,1.400000,41456293
2023-03-20,1.400000,1.400000,1.350000,1.350000,1.350000,21490337
2023-03-21,1.350000,1.360000,1.310000,1.340000,1.340000,39971133
2023-03-22,1.340000,1.340000,1.310000,1.320000,1.320000,43353017
2023-03-23,1.320000,1.360000,1.300000,1.310000,1.310000,64341261
2023-03-24,1.320000,1.440000,1.300000,1.360000,1.360000,299298905
2023-03-27,1.360000,1.370000,1.300000,1.320000,1.320000,153804218
2023-03-28,1.320000,1.330000,1.260000,1.280000,1.280000,87621683
2023-03-29,1.280000,1.340000,1.240000,1.330000,1.330000,128278202
2023-03-30,1.320000,1.360000,1.280000,1.300000,1.300000,116445932
2023-03-31,1.300000,1.300000,1.270000,1.290000,1.290000,48816992
2023-04-03,1.290000,1.300000,1.230000,1.250000,1.250000,62183714
2023-04-04,1.260000,1.290000,1.260000,1.270000,1.270000,37553758
2023-04-05,1.280000,1.320000,1.270000,1.290000,1.290000,68520479
2023-04-06,1.290000,1.310000,1.270000,1.270000,1.270000,37779395
2023-04-07,1.280000,1.290000,1.260000,1.280000,1.280000,31241058
2023-04-10,1.280000,1.330000,1.280000,1.320000,1.320000,59658806
2023-04-11,1.320000,1.350000,1.310000,1.330000,1.330000,90345894
2023-04-12,1.340000,1.360000,1.320000,1.330000,1.330000,59213395
2023-04-13,1.330000,1.350000,1.300000,1.310000,1.310000,45779855
2023-04-14,1.320000,1.320000,1.290000,1.290000,1.290000,41097473
2023-04-17,1.300000,1.300000,1.270000,1.270000,1.270000,48576856
2023-04-18,1.280000,1.300000,1.260000,1.260000,1.260000,49505649
2023-04-19,1.270000,1.270000,1.240000,1.260000,1.260000,30190801
2023-04-20,1.260000,1.270000,1.240000,1.250000,1.250000,11916506
2023-04-24,1.260000,1.280000,1.250000,1.250000,1.250000,26619899
2023-04-25,1.250000,1.270000,1.220000,1.220000,1.220000,26750484
2023-04-26,1.230000,1.240000,1.170000,1.180000,1.180000,43050709
2023-04-27,1.180000,1.200000,1.160000,1.170000,1.170000,36516852
2023-04-28,1.180000,1.190000,1.110000,1.120000,1.120000,47567402
2023-05-02,1.120000,1.140000,1.080000,1.100000,1.100000,45584543
2023-05-03,1.100000,1.110000,1.010000,1.050000,1.050000,54162921
2023-05-04,1.050000,1.080000,1.040000,1.060000,1.060000,36513000
2023-05-05,1.060000,1.080000,1.030000,1.050000,1.050000,28244926
2023-05-08,1.060000,1.080000,1.050000,1.080000,1.080000,30796605
2023-05-09,1.070000,1.080000,1.050000,1.050000,1.050000,39056966
