Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,17.670000,18.180000,17.320000,17.520000,17.520000,1437949
2023-03-14,16.340000,17.180000,15.770000,15.770000,15.770000,3185857
2023-03-15,15.770000,16.590000,14.910000,15.200000,15.200000,1960412
2023-03-16,15.400000,15.730000,15.000000,15.260000,15.260000,911398
2023-03-17,15.350000,16.780001,15.300000,16.170000,16.170000,1785606
2023-03-20,16.170000,16.450001,15.840000,15.840000,15.840000,1033000
2023-03-21,15.840000,16.190001,15.280000,15.400000,15.400000,790213
2023-03-22,15.400000,15.600000,14.990000,15.290000,15.290000,701797
2023-03-23,15.270000,15.440000,14.970000,14.980000,14.980000,771688
2023-03-24,15.010000,15.240000,14.900000,14.900000,14.900000,575101
2023-03-27,14.900000,15.010000,14.380000,14.500000,14.500000,826337
2023-03-28,14.490000,15.920000,14.300000,14.670000,14.670000,3920736
2023-03-29,14.670000,14.950000,13.900000,14.420000,14.420000,951930
2023-03-30,14.420000,14.760000,14.230000,14.310000,14.310000,593223
2023-03-31,14.300000,14.310000,13.850000,14.090000,14.090000,347853
2023-04-03,14.020000,15.240000,13.610000,14.900000,14.900000,1561529
2023-04-04,14.720000,15.200000,14.590000,14.890000,14.890000,500637
2023-04-05,14.890000,15.080000,14.300000,14.630000,14.630000,541625
2023-04-06,14.710000,15.490000,14.610000,15.400000,15.400000,1696640
2023-04-07,15.400000,15.560000,14.900000,15.040000,15.040000,684231
2023-04-10,15.080000,15.470000,14.840000,15.340000,15.340000,708213
2023-04-11,15.340000,15.680000,15.200000,15.600000,15.600000,623584
2023-04-12,15.680000,16.100000,15.450000,15.950000,15.950000,2424148
2023-04-13,15.810000,16.049999,15.440000,15.490000,15.490000,884988
2023-04-14,15.490000,15.990000,15.490000,15.830000,15.830000,1409465
2023-04-17,15.830000,15.900000,15.240000,15.500000,15.500000,662955
2023-04-18,15.500000,15.660000,14.950000,14.950000,14.950000,457352
2023-04-19,14.950000,15.080000,14.250000,14.800000,14.800000,539057
2023-04-20,14.850000,14.900000,14.600000,14.700000,14.700000,85115
2023-04-24,14.700000,14.850000,14.400000,14.400000,14.400000,383813
2023-04-25,14.380000,14.660000,14.070000,14.070000,14.070000,642337
2023-04-26,14.090000,14.260000,13.550000,13.630000,13.630000,466404
2023-04-27,13.650000,14.040000,13.500000,13.630000,13.630000,561436
2023-04-28,13.650000,13.960000,12.980000,13.000000,13.000000,421365
2023-05-02,13.000000,13.310000,12.010000,12.010000,12.010000,614950
2023-05-03,12.010000,12.100000,11.190000,11.490000,11.490000,1353866
2023-05-04,11.450000,12.300000,11.330000,12.000000,12.000000,659042
2023-05-05,12.000000,12.100000,11.400000,11.400000,11.400000,414393
2023-05-08,11.430000,11.710000,11.120000,11.570000,11.570000,738445
2023-05-09,11.570000,11.890000,11.200000,11.350000,11.350000,371559
