Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,79.000000,83.900002,77.400002,82.800003,82.457085,6000723
2023-02-27,88.000000,90.199997,83.650002,83.750000,83.403145,6506437
2023-02-28,83.699997,83.699997,81.449997,81.800003,81.461220,2860316
2023-03-01,82.199997,82.750000,80.750000,81.000000,80.664536,1808367
2023-03-02,81.099998,81.300003,77.650002,77.800003,77.477791,1556221
2023-03-03,77.599998,79.500000,74.349998,76.949997,76.631302,1632586
2023-03-06,78.000000,78.250000,77.250000,77.550003,77.228821,1365839
2023-03-07,78.099998,80.550003,77.849998,79.250000,78.921783,3102968
2023-03-08,79.250000,79.599998,77.349998,77.599998,77.278610,1549661
2023-03-09,77.599998,79.599998,77.599998,77.699997,77.378197,1616975
2023-03-10,77.550003,77.699997,76.000000,76.000000,75.685242,1528171
2023-03-13,76.199997,76.800003,73.800003,74.250000,73.942490,1286869
2023-03-14,74.250000,74.900002,73.099998,73.400002,73.096008,1115553
2023-03-15,73.400002,73.699997,70.150002,71.550003,71.253677,1494650
2023-03-16,71.800003,73.900002,71.699997,72.800003,72.498497,1137560
2023-03-17,73.449997,74.699997,71.900002,72.400002,72.100151,1769353
2023-03-20,72.550003,72.949997,69.250000,69.599998,69.311745,1328952
2023-03-21,69.699997,71.599998,68.550003,70.050003,69.759888,1432535
2023-03-22,70.300003,74.000000,70.250000,73.000000,72.697662,1719452
2023-03-23,73.050003,74.750000,72.949997,73.900002,73.593941,2104619
2023-03-24,74.050003,75.500000,73.750000,74.349998,74.042076,1361451
2023-03-27,75.300003,76.199997,73.699997,73.750000,73.444557,1443144
2023-03-28,73.800003,74.000000,70.699997,70.750000,70.456985,1457937
2023-03-29,70.750000,74.949997,69.500000,74.199997,74.199997,2014147
2023-03-30,75.500000,78.400002,74.199997,76.199997,76.199997,2166688
2023-03-31,75.849998,78.750000,74.349998,77.750000,77.750000,2045245
2023-04-03,78.099998,79.300003,75.150002,78.000000,78.000000,2014112
2023-04-04,77.500000,78.099998,75.750000,77.099998,77.099998,1467966
2023-04-05,77.650002,77.849998,76.000000,76.199997,76.199997,1174432
2023-04-06,76.599998,77.449997,73.699997,74.150002,74.150002,1176491
2023-04-07,74.150002,74.550003,72.650002,72.650002,72.650002,860153
2023-04-10,73.050003,73.900002,72.599998,73.449997,73.449997,1229553
2023-04-11,73.500000,74.599998,72.500000,72.949997,72.949997,1608807
2023-04-12,73.000000,74.599998,72.949997,74.050003,74.050003,1953112
2023-04-13,74.150002,75.349998,73.199997,73.300003,73.300003,1774126
2023-04-14,73.449997,74.050003,71.750000,72.349998,72.349998,976231
2023-04-17,72.300003,72.699997,70.550003,70.550003,70.550003,909287
2023-04-18,70.599998,71.650002,70.349998,70.800003,70.800003,650553
2023-04-19,70.800003,72.150002,70.000000,71.349998,71.349998,935481
2023-04-20,71.800003,71.800003,70.500000,70.849998,70.849998,453763
2023-04-24,70.849998,71.750000,70.599998,70.800003,70.800003,977916
2023-04-25,70.800003,71.000000,69.300003,69.900002,69.900002,727307
2023-04-26,70.000000,70.400002,68.650002,68.849998,68.849998,914944
2023-04-27,68.849998,69.500000,67.750000,67.800003,67.800003,968465
2023-04-28,68.000000,68.349998,62.849998,64.300003,64.300003,1499400
2023-05-02,64.349998,65.000000,61.500000,61.500000,61.500000,969537
2023-05-03,61.500000,61.900002,57.349998,61.400002,61.400002,2066349
2023-05-04,61.299999,63.000000,60.049999,61.250000,61.250000,1020018
