Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,6.040000,6.360000,6.020000,6.360000,6.360000,13619505
2023-03-14,6.410000,6.430000,6.000000,6.010000,6.010000,8099544
2023-03-15,6.060000,6.500000,6.020000,6.240000,6.240000,12689311
2023-03-16,6.260000,6.410000,6.150000,6.250000,6.250000,6242642
2023-03-17,6.270000,6.320000,6.060000,6.150000,6.150000,3956349
2023-03-20,6.150000,6.150000,5.780000,5.780000,5.780000,5042707
2023-03-21,5.770000,5.870000,5.550000,5.590000,5.590000,3166778
2023-03-22,5.600000,5.960000,5.570000,5.750000,5.750000,4216594
2023-03-23,5.750000,5.810000,5.630000,5.760000,5.760000,2300066
2023-03-24,5.780000,5.820000,5.560000,5.690000,5.690000,2438809
2023-03-27,5.710000,5.770000,5.550000,5.560000,5.560000,2428246
2023-03-28,5.570000,5.620000,5.210000,5.260000,5.260000,3316345
2023-03-29,5.260000,5.350000,5.000000,5.280000,5.280000,2599957
2023-03-30,5.310000,5.400000,5.210000,5.220000,5.220000,2395167
2023-03-31,5.220000,5.320000,5.110000,5.130000,5.130000,2345735
2023-04-03,5.140000,5.380000,5.060000,5.140000,5.140000,2784691
2023-04-04,3.026063,3.037724,2.921112,3.020232,3.020232,5914560
2023-04-05,3.020232,3.072707,2.985249,3.014401,3.014401,4175929
2023-04-06,3.014401,3.084368,2.979418,2.985249,2.985249,3376990
2023-04-07,3.002740,3.282607,2.996910,3.282607,3.282607,18915882
2023-04-10,3.323421,3.405049,3.160166,3.206810,3.206810,10823896
2023-04-11,3.212641,3.224302,3.119352,3.195149,3.195149,5396770
2023-04-12,3.195149,3.509999,3.154335,3.509999,3.509999,19741595
2023-04-13,3.550000,3.850000,3.400000,3.590000,3.590000,25430620
2023-04-14,3.590000,3.610000,3.450000,3.470000,3.470000,8976406
2023-04-17,3.470000,3.650000,3.430000,3.500000,3.500000,8718311
2023-04-18,3.500000,3.520000,3.440000,3.490000,3.490000,5309443
2023-04-19,3.490000,3.520000,3.470000,3.500000,3.500000,4402706
2023-04-20,3.500000,3.610000,3.400000,3.560000,3.560000,3502413
2023-04-24,3.580000,3.650000,3.490000,3.500000,3.500000,5137156
2023-04-25,3.500000,3.500000,3.340000,3.370000,3.370000,8431170
2023-04-26,3.370000,3.380000,3.260000,3.290000,3.290000,3431880
2023-04-27,3.300000,3.350000,3.220000,3.260000,3.260000,4632941
2023-04-28,3.260000,3.280000,3.120000,3.160000,3.160000,3993826
2023-05-02,3.160000,3.250000,3.010000,3.080000,3.080000,6181493
2023-05-03,3.080000,3.100000,2.790000,2.900000,2.900000,5855249
2023-05-04,2.900000,3.150000,2.890000,3.020000,3.020000,7127444
2023-05-05,3.030000,3.120000,2.940000,3.080000,3.080000,5424144
2023-05-08,3.090000,3.110000,2.980000,3.020000,3.020000,5257068
2023-05-09,3.010000,3.090000,2.970000,3.000000,3.000000,4261964
