Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,1.470000,1.500000,1.460000,1.490000,1.490000,8668504
2023-03-02,1.630000,1.630000,1.600000,1.630000,1.630000,15414354
2023-03-03,1.720000,1.790000,1.690000,1.790000,1.790000,76608901
2023-03-06,1.860000,1.960000,1.850000,1.960000,1.960000,32721596
2023-03-07,2.080000,2.150000,1.980000,2.020000,2.020000,98015425
2023-03-08,2.040000,2.050000,1.880000,1.940000,1.940000,36190920
2023-03-09,1.960000,1.970000,1.910000,1.940000,1.940000,19454253
2023-03-10,1.940000,1.960000,1.900000,1.910000,1.910000,18657497
2023-03-13,1.920000,1.920000,1.830000,1.860000,1.860000,21078870
2023-03-14,1.850000,1.880000,1.800000,1.800000,1.800000,25575754
2023-03-15,1.810000,1.820000,1.700000,1.730000,1.730000,22601488
2023-03-16,1.730000,1.850000,1.730000,1.790000,1.790000,33841547
2023-03-17,1.800000,1.800000,1.750000,1.760000,1.760000,11563392
2023-03-20,1.760000,1.900000,1.750000,1.900000,1.900000,64400215
2023-03-21,1.910000,2.080000,1.890000,1.930000,1.930000,108908080
2023-03-22,1.940000,1.950000,1.850000,1.860000,1.860000,26467332
2023-03-23,1.850000,1.870000,1.800000,1.820000,1.820000,22915159
2023-03-24,1.830000,1.840000,1.810000,1.820000,1.820000,17776335
2023-03-27,1.830000,1.840000,1.790000,1.790000,1.790000,19873793
2023-03-28,1.800000,1.800000,1.710000,1.710000,1.710000,15518059
2023-03-29,1.700000,1.730000,1.680000,1.720000,1.720000,20629610
2023-03-30,1.730000,1.810000,1.720000,1.730000,1.730000,30756592
2023-03-31,1.740000,1.770000,1.690000,1.700000,1.700000,10065740
2023-04-03,1.700000,1.710000,1.640000,1.700000,1.700000,16841362
2023-04-04,1.710000,1.870000,1.690000,1.810000,1.810000,120408265
2023-04-05,1.810000,1.850000,1.760000,1.770000,1.770000,26176306
2023-04-06,1.770000,1.880000,1.760000,1.770000,1.770000,42729575
2023-04-07,1.780000,1.800000,1.770000,1.790000,1.790000,11166107
2023-04-10,1.800000,1.820000,1.780000,1.810000,1.810000,26632525
2023-04-11,1.810000,1.840000,1.800000,1.810000,1.810000,19016655
2023-04-12,1.820000,1.840000,1.810000,1.810000,1.810000,20847395
2023-04-13,1.820000,1.830000,1.790000,1.800000,1.800000,15208126
2023-04-14,1.790000,1.830000,1.790000,1.790000,1.790000,10935669
2023-04-17,1.800000,1.810000,1.770000,1.780000,1.780000,7772058
2023-04-18,1.780000,1.790000,1.750000,1.760000,1.760000,6141910
2023-04-19,1.760000,1.820000,1.740000,1.800000,1.800000,18697072
2023-04-20,1.800000,1.920000,1.800000,1.860000,1.860000,64360940
2023-04-24,1.870000,1.880000,1.790000,1.800000,1.800000,24458446
2023-04-25,1.800000,1.810000,1.740000,1.750000,1.750000,9970225
2023-04-26,1.750000,1.760000,1.690000,1.700000,1.700000,11871468
2023-04-27,1.690000,1.720000,1.680000,1.690000,1.690000,10987063
2023-04-28,1.700000,1.710000,1.630000,1.650000,1.650000,9106446
