Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,8.840000,9.190000,8.800000,9.080000,-0.433636,921347
2023-03-01,9.780000,9.920000,9.100000,9.290000,-0.443665,3335189
2023-03-02,9.250000,9.350000,8.830000,9.250000,-0.441755,1639168
2023-03-03,9.210000,9.250000,8.910000,9.100000,-0.434591,894750
2023-03-06,9.100000,9.440000,8.650000,9.440000,-0.450828,2406995
2023-03-07,9.660000,10.380000,9.630000,10.380000,-0.495720,5449749
2023-03-08,10.700000,11.110000,10.190000,10.200000,-0.487124,8099676
2023-03-09,10.240000,10.260000,9.730000,9.750000,-0.465633,2579949
2023-03-10,9.700000,10.720000,9.510000,10.720000,-0.511958,5752314
2023-03-13,10.900000,11.570000,10.750000,11.070000,-0.528673,6299984
2023-03-14,11.070000,11.180000,9.990000,10.090000,-0.481871,4602641
2023-03-15,10.130000,10.170000,9.180000,9.420000,-0.449873,3798819
2023-03-16,9.440000,9.810000,9.100000,9.400000,-0.448918,2366088
2023-03-17,9.420000,9.790000,9.250000,9.350000,-0.446530,2502103
2023-03-20,9.230000,9.740000,9.230000,9.250000,-0.441755,2314598
2023-03-21,9.270000,9.620000,8.950000,9.290000,-0.443665,2728371
2023-03-22,9.300000,9.600000,9.250000,9.440000,-0.450828,1699961
2023-03-23,9.420000,9.530000,9.240000,9.440000,-0.450828,1479250
2023-03-24,9.410000,9.460000,9.210000,9.350000,-0.446530,1577838
2023-03-27,9.360000,9.450000,9.240000,9.290000,-0.443665,1228577
2023-03-28,9.340000,9.470000,9.110000,9.150000,-0.436979,3173880
2023-03-29,9.090000,9.330000,8.850000,8.950000,-0.427427,1842610
2023-03-30,8.990000,9.090000,8.500000,8.540000,-0.407847,3421086
2023-03-31,8.530000,8.530000,8.250000,8.270000,-0.394952,1456753
2023-04-03,8.290000,8.380000,7.450000,7.670000,-0.366298,4967285
2023-04-04,7.690000,8.150000,7.560000,7.890000,-0.376805,3060325
2023-04-05,7.980000,8.200000,7.890000,7.930000,-0.378715,2477665
2023-04-06,7.950000,8.470000,7.950000,8.390000,-0.400683,2912961
2023-04-07,7.930000,8.220000,7.620000,8.190000,-0.417757,2470935
2023-04-10,8.000000,8.490000,7.920000,8.480000,-0.432549,2781310
2023-04-11,8.470000,8.860000,8.200000,8.200000,-0.418267,4384964
2023-04-12,8.210000,8.270000,8.120000,8.160000,-0.416226,1664681
2023-04-13,8.160000,8.220000,8.020000,8.040000,-0.410105,1394164
2023-04-14,8.050000,8.070000,7.820000,7.900000,-0.402964,1400666
2023-04-17,7.900000,8.140000,7.770000,7.960000,7.402154,1611854
2023-04-18,7.960000,8.030000,7.770000,7.870000,7.318461,1052907
2023-04-19,7.870000,7.900000,7.700000,7.780000,7.234769,512639
2023-04-20,7.800000,7.800000,7.610000,7.700000,7.160375,424648
2023-04-24,7.750000,7.870000,7.670000,7.700000,7.160375,797589
2023-04-25,7.750000,7.750000,7.370000,7.380000,6.862802,942231
2023-04-26,7.370000,8.110000,7.280000,8.110000,7.541642,5897376
2023-04-27,8.180000,8.290000,7.600000,7.630000,7.095281,5928320
