Date,Open,High,Low,Close,Adj Close,Volume
2023-04-14,6.500000,6.500000,5.660000,6.300000,6.300000,184399
2023-04-17,6.300000,6.390000,6.300000,6.390000,6.390000,123165
2023-04-18,6.360000,6.360000,6.050000,6.080000,6.080000,150244
2023-04-19,6.030000,6.030000,5.800000,5.950000,5.950000,51624
2023-04-20,5.810000,5.810000,5.790000,5.810000,5.810000,73735
2023-04-24,5.800000,5.930000,5.760000,5.760000,5.760000,170588
2023-04-25,5.750000,5.790000,5.750000,5.750000,5.750000,128097
2023-04-26,5.700000,5.700000,5.550000,5.550000,5.550000,82905
2023-04-27,5.700000,6.050000,5.700000,6.050000,6.050000,274584
2023-04-28,5.880000,6.020000,5.880000,6.000000,6.000000,90450
2023-05-02,5.950000,5.950000,5.800000,5.800000,5.800000,117261
2023-05-03,5.900000,5.900000,5.700000,5.700000,5.700000,104060
2023-05-04,5.690000,5.990000,5.690000,5.990000,5.990000,131760
2023-05-05,6.000000,6.000000,5.800000,5.800000,5.800000,49930
2023-05-08,5.980000,5.980000,5.510000,5.840000,5.840000,88349
2023-05-09,5.800000,5.800000,5.700000,5.700000,5.700000,44939
