Date,Open,High,Low,Close,Adj Close,Volume
2023-03-14,17.820000,18.120001,17.090000,17.120001,17.120001,939444
2023-03-15,17.209999,17.230000,16.129999,16.230000,16.230000,948297
2023-03-16,16.340000,16.950001,16.190001,16.340000,16.340000,758284
2023-03-17,16.520000,16.530001,16.100000,16.190001,16.190001,787267
2023-03-20,16.230000,16.230000,15.500000,15.500000,15.500000,1198825
2023-03-21,15.870000,15.920000,15.240000,15.600000,15.600000,926492
2023-03-22,15.750000,15.940000,15.500000,15.650000,15.650000,768805
2023-03-23,15.690000,16.100000,15.690000,16.080000,16.080000,775744
2023-03-24,16.100000,16.320000,15.890000,16.090000,16.090000,710670
2023-03-27,16.150000,16.350000,16.000000,16.309999,16.309999,675806
2023-03-28,16.309999,16.309999,15.650000,15.700000,15.700000,599525
2023-03-29,15.700000,15.760000,15.330000,15.540000,15.540000,673823
2023-03-30,15.610000,15.790000,15.320000,15.400000,15.400000,870605
2023-03-31,15.400000,15.480000,15.050000,15.120000,15.120000,502412
2023-04-03,15.140000,15.230000,14.870000,15.160000,15.160000,634451
2023-04-04,15.170000,15.660000,15.130000,15.440000,15.440000,1196796
2023-04-05,15.520000,15.630000,15.320000,15.420000,15.420000,976701
2023-04-06,15.410000,15.690000,15.330000,15.480000,15.480000,554311
2023-04-07,15.500000,15.750000,15.420000,15.540000,15.540000,1574877
2023-04-10,15.600000,15.920000,15.580000,15.920000,15.920000,661840
2023-04-11,15.980000,16.090000,15.860000,15.970000,15.970000,739618
2023-04-12,16.030001,16.160000,15.950000,16.000000,16.000000,660150
2023-04-13,16.000000,16.280001,15.880000,15.920000,15.920000,1123968
2023-04-14,16.000000,16.070000,15.760000,15.790000,15.790000,578406
2023-04-17,15.870000,15.880000,15.370000,15.380000,15.380000,741952
2023-04-18,15.380000,15.480000,15.200000,15.230000,15.230000,440481
2023-04-19,15.230000,15.570000,15.220000,15.480000,15.480000,340906
2023-04-20,15.500000,15.660000,15.370000,15.510000,15.510000,197009
2023-04-24,15.600000,15.780000,15.540000,15.580000,15.580000,472043
2023-04-25,15.660000,15.700000,15.360000,15.360000,15.360000,406203
2023-04-26,15.360000,15.400000,14.800000,14.800000,14.800000,502502
2023-04-27,14.800000,14.970000,14.410000,14.650000,14.650000,420712
2023-04-28,14.710000,14.770000,14.220000,14.340000,14.340000,497008
2023-05-02,14.390000,14.480000,13.630000,13.700000,13.700000,729229
2023-05-03,13.710000,13.800000,12.900000,13.420000,13.420000,597472
2023-05-04,12.900000,14.000000,12.900000,13.590000,13.590000,402035
2023-05-05,13.590000,13.690000,13.240000,13.360000,13.360000,261380
2023-05-08,13.660000,13.760000,13.250000,13.660000,13.660000,338267
2023-05-09,13.690000,13.810000,13.300000,13.300000,13.300000,502647
2023-05-10,13.350000,13.410000,12.950000,12.950000,12.950000,664419
2023-05-11,13.000000,14.000000,13.000000,13.950000,13.950000,1077698
2023-05-12,14.200000,14.300000,13.700000,14.300000,14.300000,698379
2023-05-15,13.780000,14.300000,13.660000,14.160000,14.160000,827181
2023-05-16,14.100000,14.490000,14.020000,14.400000,14.400000,520433
2023-05-17,14.470000,14.640000,14.360000,14.520000,14.520000,804561
2023-05-18,14.510000,14.570000,14.100000,14.140000,14.140000,676240
2023-05-22,14.140000,14.230000,13.440000,13.990000,13.990000,421871
2023-05-23,13.760000,13.760000,13.320000,13.570000,13.570000,648223
2023-05-24,13.580000,13.620000,13.070000,13.230000,13.230000,640798
2023-05-25,13.230000,13.520000,13.150000,13.400000,13.400000,366436
2023-05-26,13.430000,13.800000,13.390000,13.780000,13.780000,377873
