Date,Open,High,Low,Close,Adj Close,Volume
2023-01-26,5.740000,6.350000,5.640000,6.320000,6.320000,6850462
2023-01-27,6.420000,6.830000,5.880000,6.690000,6.690000,9190002
2023-01-30,6.670000,6.900000,6.300000,6.480000,6.480000,5259140
2023-01-31,6.380000,6.400000,5.940000,6.350000,6.350000,2190903
2023-02-01,6.350000,6.350000,5.720000,5.720000,5.720000,2612211
2023-02-02,5.190000,5.500000,5.150000,5.150000,5.150000,3512848
2023-02-03,4.640000,5.650000,4.640000,5.650000,5.650000,10355204
2023-02-06,5.620000,5.900000,5.380000,5.700000,5.700000,4332801
2023-02-07,5.600000,5.600000,5.130000,5.130000,5.130000,5778334
2023-02-08,4.620000,4.620000,4.620000,4.620000,4.620000,50
2023-02-15,4.930000,5.590000,4.730000,5.350000,5.350000,11810648
2023-02-16,5.350000,5.510000,4.820000,4.820000,4.820000,10465156
2023-02-17,4.750000,5.000000,4.360000,4.810000,4.810000,10966057
2023-02-20,4.830000,5.170000,4.820000,5.060000,5.060000,4361855
2023-02-21,5.060000,5.550000,4.950000,5.300000,5.300000,7680927
2023-02-22,5.320000,5.650000,5.190000,5.530000,5.530000,7946235
2023-02-23,5.480000,5.630000,5.400000,5.500000,5.500000,5234255
2023-02-24,5.470000,5.480000,5.340000,5.340000,5.340000,4732420
2023-02-27,5.350000,5.410000,5.160000,5.200000,5.200000,4942165
2023-02-28,5.200000,5.260000,5.070000,5.100000,5.100000,4810357
2023-03-01,5.120000,5.440000,5.090000,5.430000,5.430000,9431255
2023-03-02,5.430000,5.640000,5.400000,5.500000,5.500000,9646818
2023-03-03,5.550000,5.650000,5.120000,5.200000,5.200000,9373989
2023-03-06,5.200000,5.250000,5.030000,5.060000,5.060000,8839421
2023-03-07,5.060000,5.200000,5.020000,5.100000,5.100000,6735056
2023-03-08,5.140000,5.390000,4.920000,4.960000,4.960000,11311183
2023-03-09,5.000000,5.090000,4.960000,5.030000,5.030000,3713213
2023-03-10,5.020000,5.090000,4.940000,4.940000,4.940000,3222769
2023-03-13,4.930000,5.070000,4.710000,4.940000,4.940000,10348237
2023-03-14,4.940000,5.010000,4.800000,4.800000,4.800000,3706106
2023-03-15,4.790000,4.840000,4.470000,4.470000,4.470000,5920346
2023-03-16,4.530000,4.880000,4.510000,4.590000,4.590000,4975377
2023-03-17,4.590000,4.740000,4.540000,4.600000,4.600000,3098421
2023-03-20,4.600000,4.660000,4.310000,4.310000,4.310000,3519126
2023-03-21,4.330000,4.500000,4.200000,4.380000,4.380000,3975014
2023-03-22,4.380000,4.670000,4.270000,4.370000,4.370000,6891175
2023-03-23,4.380000,4.420000,4.280000,4.300000,4.300000,2757215
2023-03-24,4.310000,4.420000,4.300000,4.330000,4.330000,3109040
2023-03-27,4.330000,4.400000,4.220000,4.250000,4.250000,6583391
2023-03-28,4.250000,4.250000,3.920000,3.920000,3.920000,6328542
2023-03-29,3.850000,4.110000,3.690000,3.990000,3.990000,7431625
2023-03-30,4.030000,4.160000,3.940000,3.970000,3.970000,3291196
2023-03-31,3.910000,4.050000,3.910000,3.930000,3.930000,1736268
2023-04-03,3.900000,3.930000,3.680000,3.780000,3.780000,5214527
2023-04-04,3.810000,3.940000,3.800000,3.900000,3.900000,2459368
2023-04-05,3.900000,4.290000,3.850000,4.020000,4.020000,9936389
2023-04-06,4.020000,4.180000,4.000000,4.020000,4.020000,3032704
2023-04-07,3.980000,4.100000,3.970000,4.060000,4.060000,1512145
2023-04-10,4.080000,4.300000,3.910000,4.030000,4.030000,10142778
2023-04-11,4.070000,4.130000,3.940000,4.030000,4.030000,4718308
2023-04-12,4.030000,4.220000,4.020000,4.020000,4.020000,7192631
2023-04-13,4.090000,4.190000,4.070000,4.130000,4.130000,5015548
2023-04-14,4.130000,4.470000,4.110000,4.410000,4.410000,10951515
2023-04-17,4.390000,4.490000,4.250000,4.290000,4.290000,4387667
2023-04-18,4.320000,4.380000,4.170000,4.170000,4.170000,2122915
2023-04-19,4.180000,4.260000,4.150000,4.230000,4.230000,1660568
2023-04-20,4.240000,4.240000,4.130000,4.160000,4.160000,538366
2023-04-24,4.170000,4.310000,3.840000,4.000000,4.000000,9037584
2023-04-25,4.000000,4.130000,3.880000,4.030000,4.030000,5610041
2023-04-26,4.080000,4.100000,3.930000,4.000000,4.000000,3411727
2023-04-27,4.000000,4.040000,3.950000,3.990000,3.990000,2986472
2023-04-28,4.050000,4.100000,3.850000,3.950000,3.950000,3170289
2023-05-02,3.960000,3.960000,3.610000,3.660000,3.660000,5026886
2023-05-03,3.700000,3.720000,3.350000,3.360000,3.360000,3308416
2023-05-04,3.360000,3.460000,3.300000,3.300000,3.300000,4399575
2023-05-05,3.330000,3.420000,3.220000,3.230000,3.230000,2523998
2023-05-08,3.250000,3.420000,3.150000,3.220000,3.220000,5796859
2023-05-09,3.240000,3.310000,3.160000,3.160000,3.160000,2497633
2023-05-10,3.170000,3.370000,3.170000,3.250000,3.250000,2585924
2023-05-11,3.300000,3.470000,3.160000,3.420000,3.420000,3337183
2023-05-12,3.450000,3.460000,3.280000,3.300000,3.300000,2807174
2023-05-15,3.260000,3.540000,3.170000,3.390000,3.390000,2876085
2023-05-16,3.410000,3.720000,3.410000,3.720000,3.720000,3934254
2023-05-17,3.700000,4.090000,3.670000,4.090000,4.090000,8549007
2023-05-18,4.190000,4.410000,4.070000,4.150000,4.150000,9808568
2023-05-22,4.160000,4.500000,4.110000,4.400000,4.400000,7520988
2023-05-23,4.430000,4.740000,4.430000,4.720000,4.720000,5672955
2023-05-24,4.670000,4.900000,4.340000,4.420000,4.420000,7797248
2023-05-25,4.450000,4.510000,4.200000,4.220000,4.220000,5046169
