Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,8.640000,8.780000,8.420000,8.490000,8.490000,1594108
2023-03-14,8.540000,8.620000,8.320000,8.420000,8.420000,1540183
2023-03-15,8.420000,8.420000,8.020000,8.110000,8.110000,1858928
2023-03-16,8.130000,8.190000,8.050000,8.090000,8.090000,1538827
2023-03-17,8.100000,8.170000,8.000000,8.050000,8.050000,1591784
2023-03-20,8.050000,8.120000,7.850000,7.900000,7.900000,1672361
2023-03-21,7.930000,7.980000,7.690000,7.820000,7.820000,2483949
2023-03-22,7.820000,8.000000,7.700000,7.800000,7.800000,1507312
2023-03-23,7.800000,7.870000,7.650000,7.780000,7.780000,905077
2023-03-24,7.800000,7.910000,7.770000,7.880000,7.880000,821744
2023-03-27,7.880000,7.950000,7.770000,7.840000,7.840000,998745
2023-03-28,7.840000,7.890000,7.450000,7.460000,7.460000,1493664
2023-03-29,7.460000,7.530000,7.240000,7.490000,7.490000,1677961
2023-03-30,7.530000,7.670000,7.400000,7.430000,7.430000,1037224
2023-03-31,7.490000,7.490000,7.120000,7.230000,7.230000,1088747
2023-04-03,7.230000,7.380000,7.030000,7.090000,7.090000,1609882
2023-04-04,7.090000,7.250000,7.060000,7.230000,7.230000,1390710
2023-04-05,7.230000,7.420000,7.230000,7.240000,7.240000,1353108
2023-04-06,7.240000,7.440000,7.220000,7.350000,7.350000,849956
2023-04-07,7.350000,7.380000,7.240000,7.340000,7.340000,772215
2023-04-10,7.340000,7.450000,7.310000,7.400000,7.400000,2009439
2023-04-11,7.420000,8.140000,7.420000,8.140000,8.140000,6966704
2023-04-12,8.190000,8.250000,7.800000,7.880000,7.880000,6639010
2023-04-13,7.880000,8.040000,7.720000,7.780000,7.780000,2600676
2023-04-14,7.780000,7.850000,7.650000,7.690000,7.690000,1277716
2023-04-17,7.690000,7.690000,7.400000,7.440000,7.440000,1410288
2023-04-18,7.440000,7.450000,7.250000,7.250000,7.250000,1306680
2023-04-19,7.250000,7.340000,7.200000,7.260000,7.260000,689158
2023-04-20,7.290000,7.300000,7.200000,7.230000,7.230000,302614
2023-04-24,7.240000,7.350000,7.000000,7.160000,7.160000,964215
2023-04-25,7.200000,7.200000,7.040000,7.040000,7.040000,888091
2023-04-26,7.040000,7.060000,6.880000,6.880000,6.880000,811935
2023-04-27,6.880000,7.160000,6.880000,6.880000,6.880000,994367
2023-04-28,6.880000,6.990000,6.780000,6.830000,6.830000,748552
2023-05-02,7.050000,7.050000,6.550000,6.580000,6.580000,721152
2023-05-03,6.580000,6.700000,6.150000,6.330000,6.330000,928359
2023-05-04,6.340000,6.600000,6.340000,6.470000,6.470000,658150
2023-05-05,6.470000,6.580000,6.380000,6.420000,6.420000,428283
2023-05-08,6.430000,6.530000,6.300000,6.500000,6.500000,628053
2023-05-09,6.510000,6.610000,6.390000,6.400000,6.400000,637940
