Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,5.860000,6.100000,5.830000,5.920000,5.920000,3129161
2023-03-01,6.280000,6.460000,6.100000,6.240000,6.240000,7653280
2023-03-02,6.230000,6.230000,6.050000,6.080000,6.080000,4370046
2023-03-03,6.060000,6.140000,5.830000,5.980000,5.980000,3918629
2023-03-06,5.990000,6.200000,5.990000,6.120000,6.120000,2964569
2023-03-07,6.140000,6.310000,6.050000,6.160000,6.160000,3954886
2023-03-08,6.150000,6.270000,6.080000,6.180000,6.180000,3570717
2023-03-09,6.210000,6.380000,6.160000,6.290000,6.290000,3319877
2023-03-10,6.320000,6.320000,6.100000,6.170000,6.170000,3082307
2023-03-13,6.170000,6.220000,5.940000,6.010000,6.010000,3722059
2023-03-14,6.000000,6.030000,5.890000,5.920000,5.920000,2511165
2023-03-15,5.920000,5.930000,5.630000,5.640000,5.640000,3463088
2023-03-16,5.650000,5.840000,5.630000,5.840000,5.840000,2946103
2023-03-17,5.870000,5.990000,5.740000,5.850000,5.850000,2776416
2023-03-20,5.840000,5.840000,5.610000,5.610000,5.610000,2450341
2023-03-21,5.610000,5.640000,5.470000,5.550000,5.550000,2472209
2023-03-22,5.550000,5.730000,5.520000,5.630000,5.630000,1888248
2023-03-23,5.680000,5.740000,5.550000,5.610000,5.610000,2314426
2023-03-24,5.640000,5.770000,5.630000,5.710000,5.710000,2630908
2023-03-27,5.730000,5.800000,5.580000,5.620000,5.620000,3493743
2023-03-28,5.610000,5.610000,5.300000,5.330000,5.330000,4332165
2023-03-29,5.360000,5.400000,5.220000,5.380000,5.380000,2657685
2023-03-30,5.380000,5.510000,5.300000,5.330000,5.330000,2346386
2023-03-31,5.320000,5.320000,5.150000,5.240000,5.240000,1838609
2023-04-03,5.250000,5.300000,5.120000,5.210000,5.210000,1527655
2023-04-04,5.220000,5.360000,5.200000,5.330000,5.330000,1773317
2023-04-05,5.330000,5.480000,5.300000,5.410000,5.410000,2550842
2023-04-06,5.410000,5.490000,5.320000,5.340000,5.340000,1795115
2023-04-07,5.360000,5.540000,5.330000,5.450000,5.450000,1856100
2023-04-10,5.460000,5.560000,5.460000,5.540000,5.540000,2018621
2023-04-11,5.560000,5.630000,5.520000,5.590000,5.590000,1982407
2023-04-12,5.610000,5.680000,5.580000,5.620000,5.620000,2185352
2023-04-13,5.630000,5.810000,5.590000,5.660000,5.660000,3663048
2023-04-14,5.660000,5.790000,5.640000,5.660000,5.660000,4694359
2023-04-17,5.670000,5.700000,5.460000,5.480000,5.480000,2670468
2023-04-18,5.490000,5.710000,5.450000,5.550000,5.550000,2810920
2023-04-19,5.670000,5.670000,5.450000,5.510000,5.510000,1697153
2023-04-20,5.500000,5.500000,5.450000,5.480000,5.480000,661066
2023-04-24,5.580000,5.680000,5.510000,5.520000,5.520000,2280648
2023-04-25,5.530000,5.530000,5.280000,5.300000,5.300000,2386120
2023-04-26,5.300000,5.300000,5.100000,5.120000,5.120000,2077388
2023-04-27,5.110000,5.170000,5.050000,5.080000,5.080000,2085508
2023-04-28,5.100000,5.110000,4.900000,4.970000,4.970000,1870944
