Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,3.650000,3.770000,3.480000,3.490000,3.490000,31336407
2023-03-14,3.490000,3.490000,3.380000,3.380000,3.380000,6671527
2023-03-15,3.360000,3.410000,3.200000,3.220000,3.220000,9669767
2023-03-16,3.230000,3.280000,3.150000,3.190000,3.190000,6331826
2023-03-17,3.200000,3.280000,3.050000,3.190000,3.190000,4362252
2023-03-20,3.200000,3.230000,3.100000,3.120000,3.120000,3350565
2023-03-21,3.120000,3.140000,3.010000,3.020000,3.020000,3274198
2023-03-22,3.010000,3.120000,3.000000,3.120000,3.120000,4085178
2023-03-23,3.150000,3.230000,3.060000,3.210000,3.210000,4281523
2023-03-24,3.230000,3.300000,3.180000,3.230000,3.230000,4377669
2023-03-27,3.220000,3.290000,3.180000,3.230000,3.230000,3968737
2023-03-28,3.230000,3.230000,3.080000,3.090000,3.090000,2180705
2023-03-29,3.100000,3.110000,3.000000,3.070000,3.070000,3375736
2023-03-30,3.070000,3.190000,3.060000,3.090000,3.090000,2399720
2023-03-31,3.110000,3.140000,3.020000,3.040000,3.040000,2031478
2023-04-03,3.040000,3.090000,2.990000,3.040000,3.040000,2063571
2023-04-04,3.050000,3.120000,3.040000,3.070000,3.070000,1324677
2023-04-05,3.060000,3.100000,3.030000,3.040000,3.040000,2269241
2023-04-06,3.040000,3.060000,3.000000,3.010000,3.010000,1814776
2023-04-07,3.020000,3.290000,2.990000,3.270000,3.270000,7271846
2023-04-10,3.270000,3.350000,3.180000,3.220000,3.220000,5957242
2023-04-11,3.230000,3.240000,3.100000,3.130000,3.130000,3789877
2023-04-12,3.140000,3.230000,3.130000,3.220000,3.220000,5450891
2023-04-13,3.240000,3.250000,3.170000,3.180000,3.180000,2680366
2023-04-14,3.220000,3.220000,3.130000,3.150000,3.150000,2007060
2023-04-17,3.150000,3.210000,3.130000,3.130000,3.130000,2915872
2023-04-18,3.130000,3.160000,3.060000,3.080000,3.080000,1976949
2023-04-19,3.090000,3.250000,3.060000,3.200000,3.200000,5157409
2023-04-20,3.200000,3.280000,3.190000,3.240000,3.240000,3772469
2023-04-24,3.240000,3.390000,3.230000,3.360000,3.360000,10341519
2023-04-25,3.350000,3.360000,3.200000,3.240000,3.240000,4813917
2023-04-26,3.240000,3.240000,3.100000,3.120000,3.120000,3594907
2023-04-27,3.120000,3.140000,3.050000,3.050000,3.050000,2442788
2023-04-28,3.060000,3.110000,2.970000,3.090000,3.090000,3112807
2023-05-02,3.090000,3.100000,3.000000,3.000000,3.000000,2235814
2023-05-03,3.020000,3.140000,2.870000,3.130000,3.130000,4533007
2023-05-04,3.100000,3.290000,3.080000,3.180000,3.180000,5340594
2023-05-05,3.200000,3.280000,3.120000,3.260000,3.260000,2608241
2023-05-08,3.270000,3.280000,3.190000,3.220000,3.220000,4013915
2023-05-09,3.240000,3.250000,3.130000,3.140000,3.140000,1681459
