Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,6.260000,6.550000,6.210000,6.390000,6.390000,9934619
2023-03-14,6.410000,6.410000,6.140000,6.140000,6.140000,6881237
2023-03-15,6.140000,6.170000,5.850000,6.000000,6.000000,6207621
2023-03-16,6.070000,6.300000,6.000000,6.260000,6.260000,5587573
2023-03-17,6.290000,6.450000,6.220000,6.350000,6.350000,9205765
2023-03-20,6.370000,6.590000,6.230000,6.300000,6.300000,10780229
2023-03-21,6.340000,6.420000,6.040000,6.080000,6.080000,9522026
2023-03-22,6.140000,6.300000,6.060000,6.140000,6.140000,5921040
2023-03-23,6.150000,6.210000,6.030000,6.050000,6.050000,4237342
2023-03-24,6.050000,6.160000,5.980000,5.990000,5.990000,5737628
2023-03-27,6.060000,6.070000,5.900000,5.900000,5.900000,4650636
2023-03-28,5.910000,5.930000,5.590000,5.590000,5.590000,3996073
2023-03-29,5.640000,5.730000,5.360000,5.650000,5.650000,4396416
2023-03-30,5.670000,5.810000,5.620000,5.700000,5.700000,2720793
2023-03-31,5.720000,5.890000,5.640000,5.640000,5.640000,3236339
2023-04-03,5.650000,5.820000,5.500000,5.610000,5.610000,4096393
2023-04-04,5.650000,5.770000,5.600000,5.640000,5.640000,3277374
2023-04-05,5.670000,6.100000,5.640000,6.020000,6.020000,7858010
2023-04-06,6.050000,6.140000,5.870000,5.870000,5.870000,5702528
2023-04-07,5.890000,5.940000,5.820000,5.820000,5.820000,2136597
2023-04-10,5.870000,5.960000,5.830000,5.890000,5.890000,3231341
2023-04-11,5.910000,5.930000,5.780000,5.840000,5.840000,5154488
2023-04-12,5.880000,5.910000,5.790000,5.800000,5.800000,5226455
2023-04-13,5.830000,5.880000,5.760000,5.760000,5.760000,4586514
2023-04-14,5.760000,5.810000,5.690000,5.690000,5.690000,3423488
2023-04-17,5.700000,5.900000,5.630000,5.670000,5.670000,7844936
2023-04-18,5.710000,5.740000,5.620000,5.630000,5.630000,2926850
2023-04-19,5.620000,5.850000,5.610000,5.760000,5.760000,4166987
2023-04-20,5.780000,5.780000,5.670000,5.670000,5.670000,683322
2023-04-24,5.710000,5.820000,5.690000,5.690000,5.690000,3577426
2023-04-25,5.710000,5.730000,5.540000,5.540000,5.540000,3450181
2023-04-26,5.540000,5.570000,5.340000,5.340000,5.340000,3170501
2023-04-27,5.340000,5.400000,5.140000,5.160000,5.160000,3205634
2023-04-28,5.160000,5.200000,4.910000,4.960000,4.960000,3707753
2023-05-02,4.990000,5.000000,4.640000,4.640000,4.640000,4043824
2023-05-03,4.630000,4.650000,4.390000,4.490000,4.490000,4218130
2023-05-04,4.490000,4.690000,4.480000,4.530000,4.530000,3034146
2023-05-05,4.560000,4.620000,4.440000,4.470000,4.470000,2625442
2023-05-08,4.500000,4.580000,4.430000,4.560000,4.560000,3406923
2023-05-09,4.590000,4.590000,4.420000,4.420000,4.420000,3029912
