Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,9.520000,10.330000,9.100000,9.340000,9.340000,12148315
2023-03-02,9.020000,10.270000,8.880000,10.200000,10.200000,12037173
2023-03-03,10.350000,11.140000,9.500000,9.880000,9.880000,16526062
2023-03-06,9.930000,10.300000,9.440000,9.790000,9.790000,9494361
2023-03-07,9.840000,10.480000,9.470000,9.730000,9.730000,15773311
2023-03-08,9.800000,9.990000,9.510000,9.700000,9.700000,6764390
2023-03-09,9.700000,9.790000,9.240000,9.310000,9.310000,3955832
2023-03-10,9.310000,9.630000,9.110000,9.360000,9.360000,4087227
2023-03-13,9.370000,9.570000,9.090000,9.390000,9.390000,3506560
2023-03-14,9.430000,9.600000,9.110000,9.270000,9.270000,2400901
2023-03-15,9.380000,9.380000,8.630000,9.150000,9.150000,2870559
2023-03-16,9.140000,9.450000,9.070000,9.440000,9.440000,1831394
2023-03-17,9.500000,9.690000,9.310000,9.320000,9.320000,2223755
2023-03-20,9.320000,9.470000,9.150000,9.330000,9.330000,2768849
2023-03-21,9.400000,9.470000,8.660000,8.830000,8.830000,3800840
2023-03-22,8.830000,9.110000,8.500000,8.710000,8.710000,4440589
2023-03-23,8.720000,9.080000,8.530000,9.000000,9.000000,3188617
2023-03-24,9.040000,9.180000,8.730000,9.180000,9.180000,3039090
2023-03-27,9.250000,9.500000,9.130000,9.240000,9.240000,3558678
2023-03-28,9.270000,10.000000,8.600000,8.900000,8.900000,12583580
2023-03-29,8.870000,9.040000,8.510000,8.990000,8.990000,4044915
2023-03-30,8.980000,9.050000,8.810000,8.980000,8.980000,1273640
2023-03-31,8.950000,8.950000,8.180000,8.200000,8.200000,4698617
2023-04-03,8.190000,8.500000,7.560000,7.830000,7.830000,5581197
2023-04-04,7.850000,8.150000,7.600000,7.640000,7.640000,5047050
2023-04-05,7.640000,7.730000,7.520000,7.530000,7.530000,1844309
2023-04-06,7.520000,7.750000,7.360000,7.360000,7.360000,1885547
2023-04-07,7.370000,7.510000,7.320000,7.330000,7.330000,1294985
2023-04-10,7.360000,7.460000,7.290000,7.350000,7.350000,1510438
2023-04-11,7.350000,7.400000,7.310000,7.380000,7.380000,1429309
2023-04-12,7.380000,7.590000,7.360000,7.490000,7.490000,2271220
2023-04-13,7.490000,7.570000,7.360000,7.380000,7.380000,1430608
2023-04-14,7.390000,7.520000,7.320000,7.370000,7.370000,2070429
2023-04-17,7.370000,7.430000,7.260000,7.270000,7.270000,968627
2023-04-18,7.290000,7.300000,7.010000,7.190000,7.190000,975172
2023-04-19,7.190000,7.280000,7.100000,7.160000,7.160000,921892
2023-04-20,7.160000,7.220000,7.000000,7.210000,7.210000,388823
2023-04-24,7.230000,7.390000,7.210000,7.300000,7.300000,885824
2023-04-25,7.300000,7.370000,7.050000,7.090000,7.090000,683579
2023-04-26,7.090000,7.210000,6.800000,6.800000,6.800000,1544768
2023-04-27,6.810000,6.970000,6.750000,6.900000,6.900000,645623
2023-04-28,6.900000,7.080000,6.560000,6.690000,6.690000,1150638
