Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,9.000000,9.500000,9.000000,9.190000,9.190000,247026
2023-02-28,9.390000,9.560000,9.030000,9.290000,9.290000,243182
2023-03-01,9.100000,9.500000,9.100000,9.410000,9.410000,1052319
2023-03-02,9.410000,9.700000,9.250000,9.380000,9.380000,626610
2023-03-03,9.290000,9.840000,9.290000,9.520000,9.520000,513269
2023-03-06,9.520000,9.670000,9.340000,9.640000,9.640000,380123
2023-03-07,9.630000,10.070000,9.600000,10.030000,10.030000,399808
2023-03-08,10.030000,10.720000,9.620000,10.640000,10.640000,558547
2023-03-09,10.640000,11.390000,10.310000,11.350000,11.350000,447083
2023-03-10,11.400000,12.130000,11.380000,12.050000,12.050000,715165
2023-03-13,12.110000,12.460000,11.800000,12.400000,12.400000,566129
2023-03-14,12.390000,12.500000,12.140000,12.500000,12.500000,473445
2023-03-15,12.500000,12.690000,12.420000,12.690000,12.690000,266203
2023-03-16,12.730000,12.760000,12.590000,12.710000,12.710000,275778
2023-03-17,12.750000,12.910000,12.660000,12.910000,12.910000,435418
2023-03-20,12.950000,13.100000,12.710000,12.930000,12.930000,449611
2023-03-21,12.930000,13.120000,12.870000,13.110000,13.110000,458425
2023-03-22,13.220000,13.220000,12.790000,13.200000,13.200000,325302
2023-03-23,13.200000,14.400000,13.180000,13.300000,13.300000,277709
2023-03-24,13.700000,13.700000,13.020000,13.500000,13.500000,307638
2023-03-27,13.600000,13.630000,13.280000,13.600000,13.600000,160391
2023-03-28,13.700000,13.880000,13.590000,13.860000,13.860000,209820
2023-03-29,13.880000,14.230000,13.800000,14.230000,14.230000,367994
2023-03-30,14.240000,14.340000,14.000000,14.330000,14.330000,158745
2023-03-31,14.190000,15.040000,14.190000,14.600000,14.600000,718273
2023-04-03,14.600000,14.670000,14.040000,14.620000,14.620000,354385
2023-04-04,14.620000,14.750000,14.520000,14.550000,14.550000,252399
2023-04-05,14.450000,14.720000,14.440000,14.700000,14.700000,393460
2023-04-06,14.710000,14.990000,14.500000,14.990000,14.990000,522910
2023-04-07,15.020000,15.160000,14.980000,15.030000,15.030000,208333
2023-04-10,15.100000,15.150000,15.040000,15.150000,15.150000,277320
2023-04-11,15.160000,15.260000,14.980000,15.260000,15.260000,372534
2023-04-12,15.310000,15.450000,15.260000,15.450000,15.450000,178909
2023-04-13,15.530000,16.100000,15.460000,15.790000,15.790000,494679
2023-04-14,15.950000,16.500000,15.710000,15.810000,15.810000,334509
2023-04-17,15.850000,15.900000,15.400000,15.810000,15.810000,603381
2023-04-18,15.810000,16.190001,15.790000,15.990000,15.990000,345110
2023-04-19,16.020000,16.129999,15.870000,16.049999,16.049999,347496
2023-04-20,16.120001,16.180000,16.000000,16.120001,16.120001,74149
2023-04-24,16.120001,16.200001,15.770000,16.190001,16.190001,389669
2023-04-25,16.190001,16.600000,15.940000,16.400000,16.400000,673291
2023-04-26,16.500000,16.549999,16.420000,16.500000,16.500000,166542
2023-04-27,16.510000,16.820000,16.480000,16.730000,16.730000,246942
2023-04-28,16.950001,16.950001,16.600000,16.900000,16.900000,278934
