Date,Open,High,Low,Close,Adj Close,Volume
2023-02-20,9.380000,10.340000,9.150000,10.040000,10.040000,6633895
2023-02-21,11.040000,11.040000,11.040000,11.040000,11.040000,809240
2023-02-22,11.980000,12.140000,11.340000,11.670000,11.670000,15030806
2023-02-23,11.630000,12.270000,11.170000,12.230000,12.230000,6187047
2023-02-24,12.450000,13.050000,11.830000,12.460000,12.460000,5599284
2023-02-27,12.460000,12.730000,12.240000,12.530000,12.530000,3489340
2023-02-28,12.480000,12.550000,12.110000,12.200000,12.200000,3341851
2023-03-01,12.210000,13.250000,12.100000,12.860000,12.860000,9698611
2023-03-02,13.000000,13.520000,12.900000,13.280000,13.280000,8625915
2023-03-03,13.290000,13.360000,12.630000,12.900000,12.900000,3630728
2023-03-06,13.030000,13.650000,12.660000,13.470000,13.470000,8237819
2023-03-07,13.500000,13.570000,12.990000,13.070000,13.070000,3894727
2023-03-08,13.120000,13.310000,12.850000,13.050000,13.050000,4262318
2023-03-09,13.080000,13.140000,12.860000,12.900000,12.900000,2360951
2023-03-10,12.970000,12.980000,12.470000,12.480000,12.480000,3302998
2023-03-13,12.480000,12.680000,12.050000,12.150000,12.150000,4294410
2023-03-14,12.320000,13.200000,12.000000,12.540000,12.540000,8553876
2023-03-15,12.530000,12.760000,11.970000,12.140000,12.140000,4067925
2023-03-16,12.190000,12.510000,12.000000,12.420000,12.420000,3820365
2023-03-17,12.420000,12.470000,11.990000,11.990000,11.990000,3246613
2023-03-20,12.090000,12.090000,11.400000,11.400000,11.400000,4315233
2023-03-21,11.590000,11.840000,11.200000,11.500000,11.500000,3143135
2023-03-22,11.500000,11.700000,11.380000,11.570000,11.570000,2235145
2023-03-23,11.570000,11.780000,11.500000,11.670000,11.670000,1700704
2023-03-24,11.780000,11.800000,11.400000,11.500000,11.500000,1656446
2023-03-27,11.510000,12.310000,11.460000,12.040000,12.040000,6655247
2023-03-28,12.030000,12.300000,11.540000,11.720000,11.720000,2500789
2023-03-29,11.590000,12.000000,11.290000,12.000000,12.000000,1998978
2023-03-30,12.060000,12.160000,11.460000,12.000000,12.000000,2836360
2023-03-31,11.850000,11.980000,11.340000,11.370000,11.370000,1855950
2023-04-03,11.370000,11.550000,10.960000,11.260000,11.260000,2106517
2023-04-04,11.270000,11.410000,11.150000,11.300000,11.300000,1561188
2023-04-05,11.390000,11.690000,11.320000,11.430000,11.430000,3108630
2023-04-06,11.330000,11.740000,11.000000,11.610000,11.610000,1838302
2023-04-07,11.600000,12.250000,11.550000,11.770000,11.770000,4753552
2023-04-10,11.860000,12.110000,11.790000,12.100000,12.100000,7903770
2023-04-11,12.400000,12.510000,11.990000,12.390000,12.390000,5573055
2023-04-12,12.380000,12.440000,12.010000,12.020000,12.020000,2380809
2023-04-13,12.070000,12.200000,11.930000,12.060000,12.060000,2492123
2023-04-14,12.060000,12.080000,11.820000,11.900000,11.900000,1402570
2023-04-17,12.010000,12.130000,11.640000,11.850000,11.850000,2899659
2023-04-18,11.900000,11.940000,11.650000,11.700000,11.700000,2087404
2023-04-19,11.700000,11.900000,11.550000,11.900000,11.900000,1379432
2023-04-20,11.940000,12.070000,11.730000,12.070000,12.070000,2061088
2023-04-24,12.080000,12.180000,11.940000,12.060000,12.060000,7015303
2023-04-25,12.150000,12.310000,11.590000,11.600000,11.600000,6258668
2023-04-26,11.600000,11.640000,11.040000,11.100000,11.100000,2439190
2023-04-27,11.090000,11.500000,11.030000,11.280000,11.280000,2803801
2023-04-28,11.270000,11.410000,10.710000,10.740000,10.740000,1680041
2023-05-02,10.740000,11.280000,10.540000,10.750000,10.750000,2721433
2023-05-03,10.750000,10.810000,9.680000,10.090000,10.090000,4630937
2023-05-04,10.010000,10.230000,9.860000,9.890000,9.890000,2357894
2023-05-05,9.950000,9.950000,9.600000,9.750000,9.750000,1505603
2023-05-08,9.780000,10.090000,9.690000,10.030000,10.030000,1325434
