Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,14.990000,15.050000,13.460000,13.840000,13.840000,671010
2023-02-17,14.050000,14.860000,13.870000,14.180000,14.180000,916590
2023-02-20,14.330000,14.970000,14.200000,14.970000,14.970000,569968
2023-02-21,14.930000,15.110000,14.510000,14.580000,14.580000,374945
2023-02-22,14.580000,14.660000,14.230000,14.500000,14.500000,201794
2023-02-23,14.500000,15.350000,14.330000,15.100000,15.100000,564840
2023-02-24,15.150000,15.150000,14.550000,14.670000,14.670000,504036
2023-02-27,14.670000,14.890000,14.440000,14.530000,14.530000,526969
2023-02-28,14.550000,14.790000,13.830000,14.490000,14.490000,596803
2023-03-01,14.500000,15.340000,14.490000,15.160000,15.160000,686780
2023-03-02,15.160000,15.550000,15.000000,15.250000,15.250000,763932
2023-03-03,15.250000,15.350000,14.490000,14.520000,14.520000,753601
2023-03-06,14.580000,15.060000,14.580000,14.950000,14.950000,409905
2023-03-07,14.910000,15.150000,14.760000,14.770000,14.770000,437219
2023-03-08,14.770000,15.070000,14.600000,14.720000,14.720000,405328
2023-03-09,14.750000,15.600000,14.750000,15.200000,15.200000,1041601
2023-03-10,15.100000,15.160000,14.880000,14.940000,14.940000,452779
2023-03-13,15.020000,15.460000,14.280000,14.670000,14.670000,1001474
2023-03-14,14.700000,15.330000,14.520000,14.970000,14.970000,992630
2023-03-15,15.000000,15.120000,14.210000,14.300000,14.300000,649832
2023-03-16,14.570000,14.600000,13.990000,14.260000,14.260000,563759
2023-03-17,14.350000,14.480000,13.640000,13.640000,13.640000,578560
2023-03-20,13.700000,13.860000,13.400000,13.450000,13.450000,529077
2023-03-21,13.450000,13.530000,12.550000,13.090000,13.090000,818755
2023-03-22,13.090000,13.500000,13.010000,13.160000,13.160000,385546
2023-03-23,13.200000,13.500000,13.100000,13.220000,13.220000,375965
2023-03-24,13.230000,13.840000,13.230000,13.800000,13.800000,1065744
2023-03-27,13.800000,13.990000,13.310000,13.970000,13.970000,474914
2023-03-28,13.990000,13.990000,12.800000,12.960000,12.960000,535808
2023-03-29,12.980000,13.290000,12.340000,12.920000,12.920000,987060
2023-03-30,12.920000,13.520000,12.690000,12.840000,12.840000,671291
2023-03-31,12.760000,12.840000,12.280000,12.340000,12.340000,503054
2023-04-03,12.320000,12.590000,11.900000,12.190000,12.190000,402112
2023-04-04,12.190000,12.260000,11.700000,12.070000,12.070000,690579
2023-04-05,12.070000,12.520000,11.980000,12.370000,12.370000,737587
2023-04-06,12.380000,12.650000,12.200000,12.520000,12.520000,444278
2023-04-07,12.530000,12.580000,12.300000,12.530000,12.530000,377514
2023-04-10,12.580000,12.760000,12.500000,12.720000,12.720000,323202
2023-04-11,12.720000,13.040000,12.550000,12.980000,12.980000,527637
2023-04-12,12.980000,14.270000,12.980000,14.270000,14.270000,1472613
2023-04-13,15.400000,15.400000,13.380000,13.380000,13.380000,3793145
2023-04-14,13.380000,13.600000,12.930000,12.950000,12.950000,953669
2023-04-17,13.390000,13.390000,12.880000,12.920000,12.920000,1128314
2023-04-18,13.000000,13.220000,12.860000,13.010000,13.010000,708157
2023-04-19,13.010000,14.310000,12.930000,13.760000,13.760000,2509802
2023-04-20,13.610000,14.020000,13.160000,13.890000,13.890000,467592
2023-04-24,13.970000,14.480000,13.810000,14.400000,14.400000,1345761
2023-04-25,14.420000,14.440000,13.780000,14.100000,14.100000,773059
2023-04-26,14.100000,14.100000,13.520000,13.940000,13.940000,530089
2023-04-27,13.940000,14.390000,13.750000,14.120000,14.120000,1349982
2023-04-28,14.120000,14.470000,13.140000,13.490000,13.490000,869392
