Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,17.180000,17.400000,16.650000,17.139999,17.044777,243751
2023-03-06,18.000000,18.010000,17.299999,17.750000,17.651388,317440
2023-03-07,17.850000,17.990000,17.610001,17.889999,17.790609,134044
2023-03-08,17.990000,18.600000,17.580000,18.500000,18.397223,377542
2023-03-09,18.500000,18.950001,18.139999,18.490000,18.387278,217194
2023-03-10,18.480000,18.490000,18.000000,18.190001,18.088945,263012
2023-03-13,18.250000,18.290001,17.420000,17.700001,17.601667,241435
2023-03-14,17.700001,17.700001,17.139999,17.469999,17.372944,171655
2023-03-15,17.450001,19.209999,16.820000,16.990000,16.895611,1771721
2023-03-16,17.170000,17.350000,16.760000,17.070000,16.975166,422958
2023-03-17,17.209999,17.209999,16.549999,16.549999,16.458055,224476
2023-03-20,16.530001,16.709999,15.890000,16.139999,16.050333,239060
2023-03-21,16.160000,16.360001,15.820000,16.080000,15.990666,217297
2023-03-22,16.280001,16.660000,15.910000,16.330000,16.239277,329762
2023-03-23,16.299999,17.400000,16.299999,17.090000,16.995056,273107
2023-03-24,17.110001,18.350000,17.100000,17.670000,17.571833,337613
2023-03-27,17.670000,18.350000,17.129999,17.700001,17.601667,260226
2023-03-28,17.700001,17.750000,16.350000,16.840000,16.746445,285695
2023-03-29,16.750000,16.750000,15.880000,16.650000,16.557499,325600
2023-03-30,16.480000,17.090000,16.200001,16.559999,16.467999,156464
2023-03-31,16.760000,16.760000,16.150000,16.260000,16.169666,120620
2023-04-03,16.260000,16.260000,15.450000,16.100000,16.010555,97467
2023-04-04,16.100000,16.650000,15.880000,16.650000,16.557499,101106
2023-04-05,16.840000,17.530001,16.480000,17.090000,16.995056,321648
2023-04-06,17.600000,17.620001,16.700001,17.030001,16.935389,233097
2023-04-07,17.170000,17.410000,16.320000,17.049999,16.955276,182170
2023-04-10,17.080000,17.290001,16.809999,17.139999,17.044777,136425
2023-04-11,17.160000,17.209999,16.889999,17.059999,16.965221,122141
2023-04-12,17.170000,17.299999,16.850000,17.000000,16.905556,246660
2023-04-13,16.900000,17.200001,16.799999,17.000000,16.905556,89167
2023-04-14,16.860001,17.330000,16.600000,16.879999,16.786221,109687
2023-04-17,16.879999,16.980000,16.500000,16.719999,16.627110,98364
2023-04-18,16.620001,16.709999,16.340000,16.549999,16.458055,72980
2023-04-19,16.549999,16.680000,16.200001,16.650000,16.557499,99865
2023-04-20,16.750000,16.840000,16.410000,16.500000,16.408333,23791
2023-04-24,16.639999,16.750000,16.280001,16.490000,16.398388,92990
2023-04-25,16.490000,16.490000,16.049999,16.440001,16.348667,84657
2023-04-26,16.240000,17.730000,16.240000,16.440001,16.348667,875335
2023-04-27,16.200001,16.389999,15.770000,16.059999,15.970777,225520
2023-04-28,16.059999,16.139999,15.260000,15.700000,15.612778,246405
2023-05-02,15.560000,15.640000,14.820000,15.000000,14.916666,127503
2023-05-03,15.130000,15.130000,13.810000,14.550000,14.469167,160278
2023-05-04,14.530000,14.870000,14.300000,14.600000,14.518889,66680
2023-05-05,14.590000,14.830000,14.380000,14.830000,14.747611,43976
2023-05-08,14.940000,15.150000,14.510000,15.150000,15.065833,65316
2023-05-09,15.000000,15.500000,14.770000,14.860000,14.777444,64491
