Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,24.959999,25.488001,24.384001,25.232000,25.038504,542313
2023-03-14,24.992001,25.472000,23.488001,23.808001,23.625423,923128
2023-03-15,23.808001,26.176001,23.392000,26.176001,25.975264,1369946
2023-03-16,26.176001,28.368000,25.760000,27.520000,27.308956,2849188
2023-03-17,27.712000,29.584000,27.375999,29.584000,29.357128,4340095
2023-03-20,29.600000,30.400000,26.768000,27.568001,27.356588,2283558
2023-03-21,28.000000,28.559999,25.232000,25.440001,25.244907,1701543
2023-03-22,25.600000,25.840000,24.496000,24.959999,24.768587,807886
2023-03-23,24.959999,26.912001,24.848000,26.256001,26.054649,1220718
2023-03-24,26.256001,26.256001,25.216000,25.312000,25.117889,785541
2023-03-27,25.472000,25.472000,24.336000,24.336000,24.149374,695910
2023-03-28,24.496000,24.559999,23.375999,23.936001,23.752441,972062
2023-03-29,23.680000,24.480000,23.216000,24.288000,24.101742,459408
2023-03-30,24.384001,25.584000,24.000000,25.360001,25.165522,590482
2023-03-31,25.392000,25.392000,24.000000,24.480000,24.292269,557585
2023-04-03,24.480000,24.576000,23.280001,24.080000,23.895336,389385
2023-04-04,24.112000,24.784000,24.112000,24.544001,24.355780,498295
2023-04-05,24.672001,25.568001,24.336000,24.608000,24.419287,412788
2023-04-06,24.608000,24.912001,24.000000,24.672001,24.482798,474498
2023-04-07,24.992001,25.040001,24.351999,24.719999,24.530428,364517
2023-04-10,24.719999,25.584000,24.591999,25.535999,25.340170,636462
2023-04-11,25.424000,26.464001,25.296000,26.016001,25.816490,631370
2023-04-12,26.048000,26.799999,25.775999,26.799999,26.594477,688151
2023-04-13,26.799999,26.992001,26.000000,26.832001,26.626234,1160303
2023-04-14,26.799999,27.360001,26.480000,27.280001,27.070797,648742
2023-04-17,27.296000,28.944000,26.864000,28.591999,28.372734,1208443
2023-04-18,28.400000,29.823999,27.664000,29.823999,29.595287,1455431
2023-04-19,29.760000,31.040001,29.184000,30.959999,30.722574,1435880
2023-04-20,30.959999,30.959999,29.983999,29.983999,29.754061,305808
2023-04-24,29.983999,30.576000,28.559999,29.200001,28.976074,1108236
2023-04-25,29.200001,29.200001,26.288000,26.288000,26.086405,1637631
2023-04-26,26.400000,26.480000,24.559999,24.624001,24.435165,1015566
2023-04-27,24.639999,24.959999,23.408001,23.568001,23.387264,1363181
2023-04-28,23.568001,23.983999,22.511999,23.247999,23.069717,941113
2023-05-02,23.280001,23.488001,22.143999,22.143999,21.974182,448628
2023-05-03,22.384001,22.416000,20.784000,20.944000,20.783386,1022927
2023-05-04,21.072001,21.632000,21.072001,21.344000,21.180319,503152
2023-05-05,20.992001,21.375999,20.304001,20.351999,20.195925,480128
2023-05-08,20.351999,20.704000,20.240000,20.400000,20.243557,815668
2023-05-09,20.416000,21.152000,20.000000,20.400000,20.243557,883935
