Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,9.020000,9.120000,8.840000,8.880000,8.675936,737896
2023-02-27,8.890000,9.260000,8.820000,9.170000,8.959271,940185
2023-02-28,9.200000,9.250000,8.900000,9.030000,8.822488,841751
2023-03-01,9.100000,9.930000,9.090000,9.730000,9.506401,2803093
2023-03-02,9.850000,10.080000,9.220000,9.250000,9.037433,2720133
2023-03-03,9.250000,9.250000,8.900000,9.200000,8.988582,952108
2023-03-06,9.200000,9.460000,9.120000,9.320000,9.105824,1353058
2023-03-07,9.370000,9.610000,9.330000,9.410000,9.193755,967557
2023-03-08,9.430000,9.840000,8.970000,9.800000,9.574794,1755425
2023-03-09,9.830000,10.130000,9.460000,9.540000,9.320768,3959556
2023-03-10,9.450000,9.520000,9.340000,9.410000,9.193755,604053
2023-03-13,9.420000,9.480000,9.180000,9.210000,8.998352,862245
2023-03-14,9.260000,9.470000,9.190000,9.330000,9.115594,921097
2023-03-15,9.330000,9.390000,8.980000,9.080000,8.871339,655518
2023-03-16,9.080000,9.240000,9.060000,9.230000,9.017892,341336
2023-03-17,9.250000,9.430000,9.050000,9.120000,8.910419,1014845
2023-03-20,9.000000,9.000000,8.730000,8.730000,8.529382,762635
2023-03-21,8.770000,9.210000,8.450000,9.100000,8.890880,1880254
2023-03-22,9.090000,9.170000,8.720000,8.880000,8.675936,1559754
2023-03-23,8.890000,9.080000,8.820000,8.910000,8.705246,1178314
2023-03-24,9.010000,9.020000,8.740000,8.790000,8.588003,995793
2023-03-27,8.880000,9.380000,8.740000,9.030000,8.822488,2289958
2023-03-28,9.020000,9.020000,8.610000,8.670000,8.470761,579192
2023-03-29,8.670000,8.800000,8.400000,8.730000,8.529382,614941
2023-03-30,8.730000,8.760000,8.580000,8.600000,8.402370,428259
2023-03-31,8.610000,8.740000,8.530000,8.600000,8.402370,399664
2023-04-03,8.600000,8.630000,8.290000,8.470000,8.275357,413932
2023-04-04,8.550000,8.620000,8.410000,8.550000,8.353518,392699
2023-04-05,8.590000,8.660000,8.470000,8.570000,8.373058,531162
2023-04-06,8.470000,8.530000,8.310000,8.350000,8.350000,366509
2023-04-07,8.360000,8.390000,8.280000,8.340000,8.340000,229318
2023-04-10,8.390000,8.480000,8.320000,8.420000,8.420000,410376
2023-04-11,8.530000,8.550000,8.390000,8.440000,8.440000,574506
2023-04-12,8.500000,8.630000,8.430000,8.550000,8.550000,952420
2023-04-13,8.580000,8.850000,8.520000,8.570000,8.570000,1302326
2023-04-14,8.620000,8.740000,8.460000,8.540000,8.540000,359640
2023-04-17,8.540000,8.600000,8.300000,8.310000,8.310000,513760
2023-04-18,8.320000,8.380000,8.280000,8.290000,8.290000,215284
2023-04-19,8.300000,8.440000,8.270000,8.320000,8.320000,369057
2023-04-20,8.320000,8.410000,8.310000,8.380000,8.380000,119456
2023-04-24,8.450000,9.210000,8.180000,8.690000,8.690000,9672764
2023-04-25,8.690000,8.800000,8.440000,8.600000,8.600000,1491716
2023-04-26,8.600000,8.600000,8.020000,8.180000,8.180000,1063656
