Date,Open,High,Low,Close,Adj Close,Volume
2023-02-03,3.130000,3.240000,3.090000,3.200000,3.200000,62665787
2023-02-06,3.180000,3.190000,2.940000,3.080000,3.080000,22746839
2023-02-07,3.030000,3.040000,2.800000,2.810000,2.810000,35029189
2023-02-08,2.530000,2.530000,2.530000,2.530000,2.530000,444
2023-02-15,2.810000,3.080000,2.800000,3.080000,3.080000,35400718
2023-02-16,3.110000,3.180000,2.920000,2.930000,2.930000,57529478
2023-02-17,2.910000,2.960000,2.880000,2.940000,2.940000,22627611
2023-02-20,2.970000,3.040000,2.940000,3.020000,3.020000,48491204
2023-02-21,3.010000,3.160000,3.000000,3.090000,3.090000,64997507
2023-02-22,3.100000,3.100000,3.000000,3.020000,3.020000,28829060
2023-02-23,3.020000,3.100000,3.000000,3.070000,3.070000,41138327
2023-02-24,3.070000,3.140000,3.050000,3.120000,3.120000,37281990
2023-02-27,3.130000,3.160000,3.090000,3.130000,3.130000,34891931
2023-02-28,3.140000,3.180000,3.080000,3.100000,3.100000,41020958
2023-03-01,3.110000,3.150000,3.090000,3.110000,3.110000,31176080
2023-03-02,3.120000,3.420000,3.100000,3.310000,3.310000,178262617
2023-03-03,3.310000,3.390000,3.220000,3.300000,3.300000,91345574
2023-03-06,3.320000,3.370000,3.250000,3.270000,3.270000,82024851
2023-03-07,3.280000,3.360000,3.260000,3.290000,3.290000,83476899
2023-03-08,3.300000,3.470000,3.280000,3.380000,3.380000,150166654
2023-03-09,3.380000,3.410000,3.310000,3.340000,3.340000,71705831
2023-03-10,3.330000,3.380000,3.310000,3.340000,3.340000,68524064
2023-03-13,3.380000,3.420000,3.240000,3.250000,3.250000,86422373
2023-03-14,3.260000,3.270000,3.150000,3.150000,3.150000,49129575
2023-03-15,3.150000,3.160000,2.990000,3.000000,3.000000,69606344
2023-03-16,3.020000,3.060000,3.000000,3.040000,3.040000,25041872
2023-03-17,3.060000,3.150000,3.010000,3.020000,3.020000,48325522
2023-03-20,3.020000,3.030000,2.920000,2.920000,2.920000,47546772
2023-03-21,2.940000,2.990000,2.910000,2.940000,2.940000,41087132
2023-03-22,2.940000,2.970000,2.920000,2.930000,2.930000,31303105
2023-03-23,2.950000,3.000000,2.930000,2.960000,2.960000,25261032
2023-03-24,2.960000,3.000000,2.930000,2.960000,2.960000,30271875
2023-03-27,2.980000,3.060000,2.970000,2.970000,2.970000,60644373
2023-03-28,2.980000,3.060000,2.890000,2.890000,2.890000,54722328
2023-03-29,2.890000,2.930000,2.850000,2.920000,2.920000,38190335
2023-03-30,2.930000,2.960000,2.890000,2.910000,2.910000,40897683
2023-03-31,2.910000,2.910000,2.810000,2.820000,2.820000,37122266
2023-04-03,2.820000,2.860000,2.730000,2.810000,2.810000,42641247
2023-04-04,2.810000,2.870000,2.810000,2.850000,2.850000,34764248
2023-04-05,2.850000,2.890000,2.840000,2.850000,2.850000,36240149
2023-04-06,2.860000,2.890000,2.810000,2.810000,2.810000,42744957
2023-04-07,2.820000,2.840000,2.810000,2.810000,2.810000,23497541
2023-04-10,2.830000,2.880000,2.820000,2.860000,2.860000,48391335
2023-04-11,2.870000,2.890000,2.840000,2.870000,2.870000,42824785
2023-04-12,2.870000,2.970000,2.860000,2.880000,2.880000,70236709
2023-04-13,2.900000,2.930000,2.840000,2.850000,2.850000,29701879
2023-04-14,2.860000,2.880000,2.820000,2.840000,2.840000,27214447
2023-04-17,2.840000,2.850000,2.790000,2.790000,2.790000,27636516
2023-04-18,2.800000,2.830000,2.790000,2.800000,2.800000,25879692
2023-04-19,2.810000,2.850000,2.800000,2.830000,2.830000,24733271
2023-04-20,2.830000,2.850000,2.800000,2.810000,2.810000,11264517
2023-04-24,2.810000,2.850000,2.810000,2.820000,2.820000,25698017
2023-04-25,2.820000,2.840000,2.750000,2.770000,2.770000,30682061
2023-04-26,2.780000,2.780000,2.650000,2.670000,2.670000,42188162
2023-04-27,2.660000,2.720000,2.660000,2.680000,2.680000,25167605
2023-04-28,2.690000,2.700000,2.580000,2.600000,2.600000,18017573
2023-05-02,2.610000,2.620000,2.440000,2.460000,2.460000,31671939
2023-05-03,2.460000,2.470000,2.240000,2.330000,2.330000,35821033
2023-05-04,2.330000,2.400000,2.320000,2.340000,2.340000,20934780
2023-05-05,2.350000,2.370000,2.300000,2.300000,2.300000,14729062
2023-05-08,2.320000,2.350000,2.290000,2.340000,2.340000,24935506
2023-05-09,2.340000,2.350000,2.200000,2.210000,2.210000,76873121
