Date,Open,High,Low,Close,Adj Close,Volume
2023-03-08,3.150000,3.180000,3.090000,3.150000,3.150000,7577440
2023-03-09,3.290000,3.330000,3.130000,3.170000,3.170000,20914413
2023-03-10,3.170000,3.190000,3.050000,3.050000,3.050000,8696402
2023-03-13,3.060000,3.120000,3.030000,3.070000,3.070000,7766923
2023-03-14,3.080000,3.090000,2.960000,2.980000,2.980000,5979333
2023-03-15,2.990000,3.010000,2.840000,2.850000,2.850000,7656646
2023-03-16,2.870000,2.940000,2.860000,2.920000,2.920000,5588841
2023-03-17,2.930000,3.000000,2.910000,2.940000,2.940000,5150669
2023-03-20,2.950000,2.960000,2.840000,2.850000,2.850000,3781935
2023-03-21,2.850000,2.890000,2.780000,2.850000,2.850000,4113754
2023-03-22,2.880000,3.130000,2.860000,3.060000,3.060000,15761127
2023-03-23,3.060000,3.150000,3.020000,3.100000,3.100000,7893518
2023-03-24,3.120000,3.230000,3.060000,3.180000,3.180000,18056663
2023-03-27,3.190000,3.240000,3.090000,3.100000,3.100000,12707848
2023-03-28,3.100000,3.130000,2.930000,3.030000,3.030000,8978920
2023-03-29,3.040000,3.040000,2.890000,3.040000,3.040000,5125882
2023-03-30,3.070000,3.080000,2.980000,3.000000,3.000000,6425166
2023-03-31,2.990000,3.000000,2.920000,2.930000,2.930000,3888024
2023-04-03,2.950000,2.960000,2.850000,2.890000,2.890000,5666722
2023-04-04,2.910000,2.950000,2.890000,2.940000,2.940000,3824229
2023-04-05,2.960000,3.000000,2.910000,2.930000,2.930000,3535978
2023-04-06,2.930000,2.960000,2.920000,2.930000,2.930000,3836498
2023-04-07,2.940000,2.970000,2.920000,2.940000,2.940000,3721020
2023-04-10,2.940000,2.990000,2.940000,2.970000,2.970000,2256169
2023-04-11,2.970000,3.070000,2.970000,3.050000,3.050000,7141564
2023-04-12,3.050000,3.130000,2.990000,3.090000,3.090000,13354095
2023-04-13,3.110000,3.150000,3.050000,3.050000,3.050000,10096364
2023-04-14,3.060000,3.250000,3.050000,3.200000,3.200000,17865849
2023-04-17,3.240000,3.260000,3.050000,3.070000,3.070000,14641468
2023-04-18,3.080000,3.100000,2.990000,3.000000,3.000000,5738596
2023-04-19,2.990000,3.040000,2.940000,3.010000,3.010000,5058977
2023-04-20,3.020000,3.040000,2.970000,2.990000,2.990000,1486436
2023-04-24,3.020000,3.040000,2.950000,2.950000,2.950000,4655524
2023-04-25,2.970000,2.970000,2.830000,2.850000,2.850000,6200493
2023-04-26,2.850000,2.850000,2.730000,2.790000,2.790000,6894176
2023-04-27,2.790000,2.820000,2.720000,2.730000,2.730000,5115380
2023-04-28,2.750000,2.770000,2.680000,2.690000,2.690000,4760699
2023-05-02,2.700000,2.700000,2.440000,2.460000,2.460000,6400701
2023-05-03,2.480000,2.490000,2.280000,2.340000,2.340000,10218614
2023-05-04,2.340000,2.410000,2.320000,2.380000,2.380000,5800947
2023-05-05,2.380000,2.390000,2.340000,2.370000,2.370000,3733216
2023-05-08,2.350000,2.410000,2.300000,2.390000,2.390000,6124749
2023-05-09,2.390000,2.420000,2.320000,2.350000,2.350000,3975852
