Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,4.190000,4.270000,3.870000,3.870000,3.870000,96091543
2023-02-02,3.840000,3.920000,3.550000,3.760000,3.760000,184933300
2023-02-03,3.790000,4.040000,3.780000,4.030000,4.030000,181868378
2023-02-06,3.980000,4.050000,3.790000,4.050000,4.050000,26884013
2023-02-07,3.990000,3.990000,3.650000,3.650000,3.650000,72790561
2023-02-08,3.360000,3.360000,3.360000,3.360000,3.360000,52
2023-02-15,3.820000,4.010000,3.700000,4.010000,4.010000,45072610
2023-02-16,4.210000,4.300000,3.930000,3.970000,3.970000,106893814
2023-02-17,3.940000,4.040000,3.900000,3.960000,3.960000,39980079
2023-02-20,4.010000,4.020000,3.920000,3.970000,3.970000,49608086
2023-02-21,3.960000,3.970000,3.860000,3.890000,3.890000,48084558
2023-02-22,3.880000,3.950000,3.840000,3.870000,3.870000,47730082
2023-02-23,3.860000,3.960000,3.810000,3.850000,3.850000,73150593
2023-02-24,3.850000,3.870000,3.820000,3.820000,3.820000,39537898
2023-02-27,3.830000,3.970000,3.760000,3.930000,3.930000,82090281
2023-02-28,3.930000,4.070000,3.870000,3.970000,3.970000,84775623
2023-03-01,3.980000,4.070000,3.950000,4.030000,4.030000,88685124
2023-03-02,4.030000,4.120000,4.010000,4.020000,4.020000,70719441
2023-03-03,3.990000,4.000000,3.860000,3.980000,3.980000,76074863
2023-03-06,4.000000,4.370000,3.990000,4.280000,4.280000,172888876
2023-03-07,4.400000,4.650000,4.380000,4.500000,4.500000,176373731
2023-03-08,4.460000,4.870000,4.380000,4.840000,4.840000,159481961
2023-03-09,4.820000,4.990000,4.700000,4.730000,4.730000,152310838
2023-03-10,4.690000,4.820000,4.630000,4.700000,4.700000,132767533
2023-03-13,4.700000,4.720000,4.370000,4.430000,4.430000,107238409
2023-03-14,4.420000,4.520000,4.330000,4.340000,4.340000,90630818
2023-03-15,4.350000,4.370000,4.200000,4.290000,4.290000,83326173
2023-03-16,4.320000,4.460000,4.260000,4.440000,4.440000,61424940
2023-03-17,4.470000,4.520000,4.340000,4.430000,4.430000,56183481
2023-03-20,4.370000,4.530000,4.340000,4.480000,4.480000,50089522
2023-03-21,4.480000,4.520000,4.290000,4.330000,4.330000,50440983
2023-03-22,4.330000,4.520000,4.300000,4.520000,4.520000,42093024
2023-03-23,4.520000,4.560000,4.390000,4.470000,4.470000,56485813
2023-03-24,4.480000,4.500000,4.340000,4.340000,4.340000,47374048
2023-03-27,4.360000,4.400000,4.280000,4.290000,4.290000,26809844
2023-03-28,4.280000,4.290000,4.090000,4.090000,4.090000,33359216
2023-03-29,4.070000,4.160000,3.980000,4.130000,4.130000,46209958
2023-03-30,4.150000,4.340000,4.070000,4.110000,4.110000,145765745
2023-03-31,4.080000,4.200000,4.000000,4.090000,4.090000,95890368
2023-04-03,4.080000,4.150000,3.950000,4.030000,4.030000,58468998
2023-04-04,4.030000,4.170000,4.020000,4.110000,4.110000,60816859
2023-04-05,4.130000,4.210000,4.060000,4.060000,4.060000,47736722
2023-04-06,4.060000,4.120000,4.040000,4.060000,4.060000,31717150
2023-04-07,4.060000,4.120000,4.030000,4.090000,4.090000,24558574
2023-04-10,4.120000,4.240000,4.110000,4.160000,4.160000,57612338
2023-04-11,4.180000,4.380000,4.180000,4.350000,4.350000,95669814
2023-04-12,4.350000,4.500000,4.340000,4.420000,4.420000,74077305
2023-04-13,4.430000,4.460000,4.230000,4.240000,4.240000,57127030
2023-04-14,4.270000,4.330000,4.160000,4.170000,4.170000,56121837
2023-04-17,4.220000,4.270000,4.150000,4.150000,4.150000,35308101
2023-04-18,4.160000,4.260000,4.160000,4.170000,4.170000,34569652
2023-04-19,4.170000,4.440000,4.120000,4.330000,4.330000,50583237
2023-04-20,4.290000,4.290000,4.180000,4.190000,4.190000,26959706
2023-04-24,4.220000,4.230000,4.130000,4.170000,4.170000,33173799
2023-04-25,4.170000,4.200000,4.120000,4.150000,4.150000,28372931
2023-04-26,4.180000,4.180000,4.030000,4.060000,4.060000,28281460
2023-04-27,4.020000,4.130000,4.020000,4.100000,4.100000,33079757
2023-04-28,4.100000,4.120000,3.900000,3.930000,3.930000,23899105
2023-05-02,3.950000,4.010000,3.820000,3.890000,3.890000,25983973
