Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,31.320000,31.320000,29.760000,30.480000,30.480000,415661
2023-02-24,30.440001,31.900000,29.500000,30.200001,30.200001,748956
2023-02-27,30.299999,31.459999,29.700001,30.379999,30.379999,431532
2023-02-28,30.500000,30.740000,29.920000,30.160000,30.160000,387581
2023-03-01,30.120001,30.379999,29.840000,29.940001,29.940001,302836
2023-03-02,29.959999,30.120001,29.559999,29.700001,29.700001,374833
2023-03-03,29.660000,29.900000,28.180000,29.000000,29.000000,357131
2023-03-06,29.020000,29.440001,28.920000,29.299999,29.299999,385454
2023-03-07,29.400000,30.299999,29.160000,29.500000,29.500000,586741
2023-03-08,29.400000,32.439999,29.240000,32.439999,32.439999,640403
2023-03-09,32.520000,34.860001,31.480000,32.200001,32.200001,2345689
2023-03-10,32.200001,33.700001,31.440001,32.360001,32.360001,641724
2023-03-13,32.400002,32.660000,31.379999,31.680000,31.680000,343984
2023-03-14,31.680000,33.400002,31.540001,31.620001,31.620001,810139
2023-03-15,28.959999,29.980000,28.459999,28.480000,28.480000,2065275
2023-03-16,28.459999,29.700001,27.340000,28.459999,28.459999,1285539
2023-03-17,28.540001,31.299999,28.459999,31.299999,31.299999,1619536
2023-03-20,32.360001,33.200001,30.820000,31.379999,31.379999,1555921
2023-03-21,31.420000,31.420000,29.420000,29.660000,29.660000,585741
2023-03-22,29.639999,30.900000,29.000000,29.840000,29.840000,601919
2023-03-23,29.900000,30.840000,29.639999,29.900000,29.900000,432187
2023-03-24,29.940001,30.600000,29.660000,29.900000,29.900000,199285
2023-03-27,29.900000,31.000000,29.700001,29.760000,29.760000,342902
2023-03-28,29.799999,32.380001,29.500000,31.299999,31.299999,1569558
2023-03-29,31.280001,31.280001,29.260000,29.980000,29.980000,510712
2023-03-30,29.980000,31.959999,29.719999,31.400000,31.400000,895945
2023-03-31,31.400000,32.400002,30.120001,31.379999,31.379999,746795
2023-04-03,31.340000,31.400000,29.799999,31.059999,31.059999,477526
2023-04-04,31.059999,31.440001,29.600000,30.360001,30.360001,474650
2023-04-05,30.100000,31.760000,30.059999,31.500000,31.500000,742891
2023-04-06,31.500000,33.000000,31.020000,32.240002,32.240002,661170
2023-04-07,32.240002,32.299999,31.740000,32.299999,32.299999,260972
2023-04-10,32.439999,34.200001,32.180000,33.439999,33.439999,945854
2023-04-11,33.500000,33.840000,32.560001,32.700001,32.700001,352625
2023-04-12,32.700001,32.900002,31.600000,31.820000,31.820000,422257
2023-04-13,31.820000,32.419998,31.320000,31.379999,31.379999,353985
2023-04-14,31.360001,31.959999,29.480000,29.980000,29.980000,909758
2023-04-17,30.100000,30.400000,29.500000,29.660000,29.660000,285776
2023-04-18,30.040001,30.360001,29.100000,29.340000,29.340000,460117
2023-04-19,29.360001,29.520000,29.120001,29.299999,29.299999,148788
2023-04-20,29.320000,30.139999,28.980000,29.879999,29.879999,191802
2023-04-24,29.959999,30.299999,29.000000,29.320000,29.320000,271639
2023-04-25,29.400000,29.400000,27.980000,28.260000,28.260000,514369
2023-04-26,27.600000,28.260000,26.840000,27.080000,27.080000,279192
2023-04-27,27.080000,27.879999,26.820000,27.480000,27.480000,306357
2023-04-28,27.500000,28.780001,26.480000,26.879999,26.879999,552535
