Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,5.500000,6.200000,5.420000,6.200000,6.110087,12541710
2023-03-01,6.450000,6.820000,6.230000,6.820000,6.721096,13393920
2023-03-02,7.030000,7.400000,6.350000,6.390000,6.297331,17405530
2023-03-03,6.360000,6.790000,6.050000,6.340000,6.248057,10667690
2023-03-06,6.340000,6.600000,6.300000,6.460000,6.366316,5567059
2023-03-07,6.470000,6.530000,6.250000,6.310000,6.218492,4462726
2023-03-08,6.320000,6.940000,6.130000,6.940000,6.839355,12914260
2023-03-09,7.110000,7.460000,6.770000,6.780000,6.681676,11205290
2023-03-10,6.780000,7.080000,6.500000,6.850000,6.750660,6829593
2023-03-13,6.850000,6.990000,6.580000,6.610000,6.514141,3715070
2023-03-14,6.590000,7.190000,6.470000,6.730000,6.632401,8766556
2023-03-15,6.700000,7.060000,6.580000,6.640000,6.543706,5513924
2023-03-16,6.640000,6.930000,6.600000,6.800000,6.701386,4613306
2023-03-17,6.820000,6.970000,6.680000,6.740000,6.642256,4684752
2023-03-20,6.690000,6.730000,6.320000,6.330000,6.238202,3830746
2023-03-21,6.400000,6.410000,6.020000,6.080000,5.991827,3872688
2023-03-22,6.080000,6.680000,5.980000,6.680000,6.583126,7559064
2023-03-23,6.890000,7.180000,6.580000,6.810000,6.711241,14897520
2023-03-24,6.810000,7.090000,6.640000,6.880000,6.780226,7393947
2023-03-27,6.880000,7.280000,6.650000,7.030000,6.928051,7651571
2023-03-28,7.030000,7.100000,6.330000,6.330000,6.238202,8724861
2023-03-29,6.260000,6.310000,5.930000,6.120000,6.031247,4909583
2023-03-30,6.120000,6.450000,6.050000,6.070000,5.981972,3158478
2023-03-31,6.110000,6.220000,5.970000,6.100000,6.011537,2684983
2023-04-03,6.250000,6.300000,5.960000,6.100000,6.011537,2644722
2023-04-04,6.130000,6.190000,5.970000,6.030000,5.942553,3245318
2023-04-05,6.060000,6.300000,5.960000,6.060000,5.972117,5014517
2023-04-06,6.060000,6.160000,5.930000,6.000000,5.912987,2677618
2023-04-07,6.020000,6.040000,5.810000,6.030000,5.942553,2896931
2023-04-10,6.040000,6.120000,6.000000,6.070000,5.981972,2558151
2023-04-11,6.080000,6.190000,5.980000,6.000000,5.912987,4079617
2023-04-12,6.000000,6.160000,6.000000,6.080000,5.991827,3913509
2023-04-13,6.090000,6.680000,6.060000,6.680000,6.583126,11885470
2023-04-14,6.950000,6.950000,6.350000,6.380000,6.287477,12921930
2023-04-17,6.380000,6.540000,6.250000,6.280000,6.188927,5430983
2023-04-18,6.350000,6.450000,6.160000,6.430000,6.336751,5997781
2023-04-19,6.430000,6.520000,6.330000,6.330000,6.238202,4076823
2023-04-20,6.300000,6.310000,6.150000,6.250000,6.159362,1914663
2023-04-24,6.250000,6.310000,6.100000,6.120000,6.031247,2981609
2023-04-25,6.120000,6.240000,6.070000,6.120000,6.031247,3487888
2023-04-26,6.120000,6.300000,5.960000,5.960000,5.873568,3727860
2023-04-27,5.970000,6.060000,5.950000,5.960000,5.873568,2563568
2023-04-28,5.980000,6.030000,5.680000,5.760000,5.676468,3601162
