Date,Open,High,Low,Close,Adj Close,Volume
2023-03-08,9.160000,9.530000,9.110000,9.420000,9.090168,2891997
2023-03-09,9.550000,9.750000,9.510000,9.510000,9.177017,3114473
2023-03-10,9.500000,9.500000,9.030000,9.090000,8.771723,2956236
2023-03-13,9.780000,9.990000,9.580000,9.990000,9.640210,6777960
2023-03-14,10.160000,10.670000,9.910000,9.910000,9.563011,7988568
2023-03-15,9.950000,10.300000,9.450000,9.450000,9.119118,3890586
2023-03-16,9.470000,9.690000,9.320000,9.570000,9.234916,3343004
2023-03-17,9.570000,10.150000,9.570000,9.900000,9.553361,5032157
2023-03-20,9.860000,10.190000,9.500000,9.500000,9.167367,4620179
2023-03-21,9.500000,9.640000,8.980000,9.030000,8.713823,3397607
2023-03-22,9.100000,9.300000,8.900000,9.030000,8.713823,4170213
2023-03-23,9.080000,9.300000,9.040000,9.160000,8.839272,2226959
2023-03-24,9.160000,9.340000,9.000000,9.100000,8.781373,1881684
2023-03-27,9.170000,9.190000,8.980000,9.070000,8.752423,1297233
2023-03-28,9.100000,9.100000,8.520000,8.680000,8.376079,2053626
2023-03-29,8.670000,9.320000,8.510000,9.010000,8.694525,6558328
2023-03-30,9.010000,9.280000,8.970000,9.070000,8.752423,2904748
2023-03-31,8.970000,9.110000,8.830000,8.900000,8.588375,2893673
2023-04-03,8.900000,9.090000,8.790000,8.870000,8.559426,2340587
2023-04-04,8.900000,8.970000,8.700000,8.770000,8.462928,2636563
2023-04-05,8.790000,9.000000,8.760000,8.760000,8.453278,2255889
2023-04-06,8.780000,8.860000,8.500000,8.640000,8.337480,2910431
2023-04-07,8.670000,8.800000,8.610000,8.730000,8.424328,1376098
2023-04-10,8.750000,8.980000,8.750000,8.930000,8.617326,1555522
2023-04-11,8.930000,9.010000,8.810000,8.930000,8.617326,1647583
2023-04-12,8.940000,9.180000,8.930000,9.050000,8.733124,2063852
2023-04-13,9.100000,9.150000,8.900000,8.960000,8.646275,1588021
2023-04-14,9.000000,9.060000,8.840000,8.840000,8.530477,1367502
2023-04-17,8.840000,8.890000,8.590000,8.590000,8.289230,1328583
2023-04-18,8.650000,8.830000,8.650000,8.780000,8.472577,971788
2023-04-19,8.780000,8.950000,8.750000,8.820000,8.511176,1074303
2023-04-20,8.820000,8.840000,8.640000,8.790000,8.482227,479257
2023-04-24,8.860000,9.040000,8.850000,8.880000,8.569076,1343376
2023-04-25,8.890000,9.010000,8.600000,8.600000,8.298881,1906426
2023-04-26,8.620000,8.720000,8.330000,8.520000,8.221682,971423
2023-04-27,8.520000,8.630000,8.430000,8.490000,8.192731,734829
2023-04-28,8.520000,8.600000,8.000000,8.160000,7.874286,1675613
2023-05-02,7.990000,7.990000,7.510000,7.510000,7.510000,1209315
2023-05-03,7.540000,7.650000,6.950000,7.350000,7.350000,1468452
2023-05-04,7.380000,7.840000,7.360000,7.500000,7.500000,1159696
2023-05-05,7.530000,7.650000,7.440000,7.510000,7.510000,626304
2023-05-08,7.550000,7.740000,7.450000,7.680000,7.680000,958169
