Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,4.230000,4.240000,4.130000,4.170000,4.170000,12751835
2023-03-01,4.190000,4.210000,4.110000,4.140000,4.140000,11115321
2023-03-02,4.150000,4.170000,3.930000,3.960000,3.960000,15592319
2023-03-03,3.960000,4.020000,3.870000,3.960000,3.960000,12115108
2023-03-06,3.990000,4.050000,3.980000,4.010000,4.010000,9444058
2023-03-07,4.040000,4.050000,3.940000,3.950000,3.950000,9418755
2023-03-08,3.950000,3.990000,3.900000,3.900000,3.900000,8533909
2023-03-09,3.910000,4.010000,3.900000,3.980000,3.980000,15359411
2023-03-10,3.960000,4.000000,3.910000,3.920000,3.920000,8984827
2023-03-13,3.930000,3.950000,3.830000,3.850000,3.850000,6906586
2023-03-14,3.860000,3.880000,3.760000,3.760000,3.760000,6346353
2023-03-15,3.760000,3.780000,3.580000,3.590000,3.590000,6591958
2023-03-16,3.600000,3.720000,3.600000,3.710000,3.710000,7607761
2023-03-17,3.720000,3.770000,3.700000,3.720000,3.720000,5765075
2023-03-20,3.710000,3.720000,3.530000,3.550000,3.550000,10084620
2023-03-21,3.550000,3.590000,3.440000,3.520000,3.520000,6224797
2023-03-22,3.520000,3.760000,3.480000,3.750000,3.750000,11640381
2023-03-23,3.750000,3.910000,3.710000,3.870000,3.870000,12746519
2023-03-24,3.880000,3.890000,3.810000,3.840000,3.840000,5208459
2023-03-27,3.860000,3.910000,3.830000,3.860000,3.860000,4274415
2023-03-28,3.860000,3.890000,3.690000,3.700000,3.700000,7461212
2023-03-29,3.700000,3.740000,3.600000,3.710000,3.710000,5539884
2023-03-30,3.740000,3.920000,3.720000,3.750000,3.750000,8754062
2023-03-31,3.780000,3.780000,3.620000,3.660000,3.660000,3562862
2023-04-03,3.660000,3.710000,3.520000,3.580000,3.580000,4273468
2023-04-04,3.560000,3.650000,3.560000,3.650000,3.650000,2962712
2023-04-05,3.660000,3.700000,3.620000,3.630000,3.630000,4641720
2023-04-06,3.630000,3.740000,3.620000,3.660000,3.660000,8732491
2023-04-07,3.660000,3.800000,3.660000,3.780000,3.780000,6454384
2023-04-10,3.790000,3.920000,3.790000,3.870000,3.870000,5839093
2023-04-11,3.880000,4.000000,3.820000,3.920000,3.920000,8837705
2023-04-12,3.940000,3.980000,3.800000,3.810000,3.810000,7965006
2023-04-13,3.820000,3.850000,3.790000,3.800000,3.800000,4403181
2023-04-14,3.820000,3.830000,3.720000,3.720000,3.720000,3902168
2023-04-17,3.720000,3.740000,3.610000,3.640000,3.640000,4463289
2023-04-18,3.650000,3.670000,3.600000,3.600000,3.600000,2906424
2023-04-19,3.610000,3.730000,3.610000,3.650000,3.650000,4576257
2023-04-20,3.640000,3.650000,3.600000,3.630000,3.630000,1770717
2023-04-24,3.630000,3.740000,3.620000,3.680000,3.680000,5876638
2023-04-25,3.680000,3.710000,3.520000,3.540000,3.540000,7455665
2023-04-26,3.400000,3.530000,3.330000,3.350000,3.350000,8763147
2023-04-27,3.360000,3.380000,3.330000,3.350000,3.350000,2621956
2023-04-28,3.360000,3.500000,3.260000,3.300000,3.300000,8993927
2023-05-02,3.300000,3.310000,3.090000,3.090000,3.090000,5464172
2023-05-03,3.090000,3.110000,2.940000,3.010000,3.010000,6007081
2023-05-04,3.000000,3.160000,2.980000,3.120000,3.120000,4641024
2023-05-05,3.120000,3.160000,3.010000,3.030000,3.030000,1507663
2023-05-08,3.040000,3.060000,2.930000,3.000000,3.000000,6461775
2023-05-09,3.000000,3.030000,2.940000,2.940000,2.940000,5473046
