Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,1.870000,2.030000,1.730000,1.880000,1.880000,92958706
2023-03-14,1.980000,2.060000,1.930000,2.060000,2.060000,63820444
2023-03-15,2.130000,2.250000,2.060000,2.180000,2.180000,97251443
2023-03-16,2.200000,2.300000,2.120000,2.150000,2.150000,55809933
2023-03-17,2.160000,2.240000,2.030000,2.070000,2.070000,50167902
2023-03-20,2.050000,2.180000,2.030000,2.040000,2.040000,51377740
2023-03-21,2.040000,2.080000,1.910000,1.930000,1.930000,23374641
2023-03-22,1.940000,2.010000,1.910000,1.930000,1.930000,25431824
2023-03-23,1.940000,2.040000,1.850000,2.000000,2.000000,54039574
2023-03-24,1.990000,2.000000,1.950000,1.960000,1.960000,18057731
2023-03-27,1.970000,2.060000,1.910000,2.030000,2.030000,48509279
2023-03-28,2.020000,2.020000,1.860000,1.890000,1.890000,22866056
2023-03-29,1.890000,2.070000,1.830000,2.070000,2.070000,51005515
2023-03-30,2.120000,2.160000,1.980000,1.990000,1.990000,58617622
2023-03-31,1.990000,2.050000,1.950000,1.950000,1.950000,14085034
2023-04-03,1.960000,1.980000,1.860000,1.880000,1.880000,17212950
2023-04-04,1.890000,2.010000,1.870000,1.960000,1.960000,22637197
2023-04-05,1.960000,2.100000,1.940000,2.100000,2.100000,54465366
2023-04-06,2.090000,2.230000,2.080000,2.120000,2.120000,91278803
2023-04-07,2.120000,2.180000,2.100000,2.110000,2.110000,43715177
2023-04-10,2.100000,2.150000,2.070000,2.100000,2.100000,44160610
2023-04-11,2.110000,2.140000,2.010000,2.040000,2.040000,33190461
2023-04-12,2.040000,2.050000,1.970000,1.970000,1.970000,16158052
2023-04-13,1.980000,2.020000,1.960000,1.960000,1.960000,12059231
2023-04-14,1.970000,1.990000,1.920000,1.920000,1.920000,9936119
2023-04-17,1.930000,1.950000,1.900000,1.910000,1.910000,10142634
2023-04-18,1.920000,1.980000,1.900000,1.920000,1.920000,14295266
2023-04-19,1.920000,1.940000,1.870000,1.890000,1.890000,11183635
2023-04-20,1.910000,1.910000,1.870000,1.880000,1.880000,4354888
2023-04-24,1.880000,1.920000,1.860000,1.860000,1.860000,9019854
2023-04-25,1.860000,1.880000,1.760000,1.760000,1.760000,18865574
2023-04-26,1.770000,1.780000,1.700000,1.730000,1.730000,23156099
2023-04-27,1.720000,1.790000,1.680000,1.680000,1.680000,24561889
2023-04-28,1.690000,1.700000,1.570000,1.630000,1.630000,15132869
2023-05-02,1.630000,1.640000,1.520000,1.530000,1.530000,14562003
2023-05-03,1.530000,1.540000,1.410000,1.480000,1.480000,21227356
2023-05-04,1.470000,1.560000,1.440000,1.500000,1.500000,9394014
2023-05-05,1.510000,1.590000,1.480000,1.540000,1.540000,11100873
2023-05-08,1.550000,1.570000,1.480000,1.570000,1.570000,20231614
2023-05-09,1.660000,1.660000,1.500000,1.520000,1.520000,15466882
