Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,43.715702,43.715702,42.282001,42.500702,37.313984,2459290
2023-02-24,42.500702,42.500702,40.167900,40.532402,35.585892,1503125
2023-02-27,40.508102,43.983002,39.997803,43.715702,38.380707,1739822
2023-02-28,44.226002,46.461601,44.226002,46.170002,40.535488,2157454
2023-03-01,47.336403,50.787003,47.336403,50.738400,44.546364,2920349
2023-03-02,50.738400,50.738400,47.385002,50.252399,44.119675,2440549
2023-03-03,50.058002,50.252399,46.899002,47.749500,41.922226,1470423
2023-03-06,47.749500,50.495399,47.166302,47.871002,42.028900,1212300
2023-03-07,48.843002,52.633801,48.114002,52.293602,45.911774,2953872
2023-03-08,52.293602,56.570400,51.030003,52.876801,46.423798,3040783
2023-03-09,52.925400,55.112400,51.273003,53.897400,47.319847,1624234
2023-03-10,52.974003,54.674999,52.390800,52.585201,46.167786,942399
2023-03-13,52.682400,53.071201,49.960800,51.030003,44.802380,1052316
2023-03-14,51.030003,52.342201,49.912201,50.738400,44.546364,879646
2023-03-15,51.953400,52.342201,48.600002,50.835602,44.631706,934880
2023-03-16,51.030003,52.147800,50.106602,50.787003,44.589035,850800
2023-03-17,50.835602,51.467400,49.572002,50.252399,44.119675,871156
2023-03-20,50.301003,55.258202,49.766399,52.002003,45.655762,4809172
2023-03-21,52.002003,54.966602,50.203800,54.480602,47.831875,3038962
2023-03-22,54.820801,56.230202,53.654400,55.889999,49.069271,2977415
2023-03-23,56.327400,56.375999,53.605801,54.529202,47.874542,1738333
2023-03-24,54.869400,55.889999,53.945999,54.286201,47.661198,1000337
2023-03-27,54.431999,54.577801,52.050602,52.439400,46.039780,1067397
2023-03-28,52.536602,53.362801,49.863602,49.863602,43.778328,941588
2023-03-29,49.669201,51.953400,48.235500,51.904800,45.570419,1160724
2023-03-30,51.953400,52.828201,50.106602,51.273003,45.015728,1006253
2023-03-31,51.030003,51.127201,49.329002,50.981400,44.759708,592041
2023-04-03,50.932800,51.273003,48.405602,50.106602,43.991673,660069
2023-04-04,50.155201,51.078602,49.134602,51.078602,44.845051,785995
2023-04-05,51.078602,51.418800,49.912201,50.446800,44.290352,531413
2023-04-06,50.349602,50.495399,4.860000,49.377602,43.351639,559639
2023-04-07,49.377602,53.022602,49.037399,49.329002,43.308968,2952401
2023-04-10,49.669201,50.155201,48.648602,50.009399,43.906330,1089460
2023-04-11,50.544003,54.286201,50.058002,51.030003,44.802380,2488695
2023-04-12,51.030003,53.411400,50.787003,52.828201,46.381130,1606969
2023-04-13,52.925400,53.460003,52.099201,52.828201,46.381130,1177413
2023-04-14,52.974003,53.800201,51.467400,51.516003,45.229073,1198104
2023-04-17,52.585201,52.974003,51.224400,51.467400,45.186398,1052213
2023-04-18,51.613201,52.050602,49.134602,49.572002,43.522312,1106203
2023-04-19,50.301003,50.301003,48.891602,49.669201,43.607651,643197
2023-04-20,49.766399,49.815002,49.037399,49.669201,43.607651,280067
2023-04-24,49.669201,50.981400,48.016800,49.086002,43.095623,689355
2023-04-25,49.280399,50.981400,49.086002,49.523399,43.479641,1187512
2023-04-26,49.329002,49.523399,47.579399,48.211201,42.327583,821150
2023-04-27,48.162601,49.086002,47.676601,48.600002,42.668934,539209
2023-04-28,48.794399,50.252399,47.871002,49.037399,43.052952,1281689
2023-05-02,48.843002,49.037399,45.708302,46.558800,40.876839,1030946
2023-05-03,47.239201,47.555099,41.917500,41.917500,36.801952,1087709
