Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,2.350000,2.580000,2.150000,2.580000,2.580000,103383451
2023-03-14,2.590000,2.810000,2.550000,2.600000,2.600000,88492284
2023-03-15,2.570000,2.700000,2.460000,2.540000,2.540000,68218134
2023-03-16,2.580000,2.660000,2.490000,2.520000,2.520000,38910877
2023-03-17,2.520000,2.630000,2.440000,2.630000,2.630000,42380103
2023-03-20,2.700000,2.890000,2.610000,2.640000,2.640000,78298652
2023-03-21,2.620000,2.620000,2.480000,2.490000,2.490000,27557448
2023-03-22,2.500000,2.590000,2.430000,2.430000,2.430000,19211662
2023-03-23,2.440000,2.540000,2.350000,2.480000,2.480000,43023380
2023-03-24,2.550000,2.570000,2.430000,2.440000,2.440000,14859572
2023-03-27,2.460000,2.680000,2.370000,2.680000,2.680000,42455056
2023-03-28,2.670000,2.690000,2.460000,2.460000,2.460000,43198173
2023-03-29,2.500000,2.600000,2.420000,2.570000,2.570000,23862041
2023-03-30,2.600000,2.640000,2.550000,2.560000,2.560000,17741322
2023-03-31,2.550000,2.580000,2.490000,2.490000,2.490000,10260794
2023-04-03,2.510000,2.540000,2.410000,2.420000,2.420000,10709746
2023-04-04,2.450000,2.560000,2.430000,2.500000,2.500000,13325449
2023-04-05,2.500000,2.710000,2.480000,2.690000,2.690000,47571246
2023-04-06,2.720000,2.950000,2.720000,2.880000,2.880000,136663673
2023-04-07,2.900000,3.110000,2.900000,3.030000,3.030000,87211191
2023-04-10,3.040000,3.290000,3.040000,3.260000,3.260000,55394665
2023-04-11,3.290000,3.410000,3.040000,3.080000,3.080000,78916919
2023-04-12,3.070000,3.080000,2.910000,2.920000,2.920000,52097981
2023-04-13,2.900000,3.070000,2.870000,2.950000,2.950000,35456827
2023-04-14,2.960000,2.980000,2.820000,2.820000,2.820000,26506621
2023-04-17,2.830000,2.850000,2.720000,2.740000,2.740000,21087595
2023-04-18,2.740000,2.890000,2.730000,2.840000,2.840000,29403396
2023-04-19,2.860000,2.880000,2.760000,2.780000,2.780000,12306531
2023-04-20,2.780000,2.790000,2.710000,2.740000,2.740000,4899817
2023-04-24,2.760000,2.820000,2.730000,2.730000,2.730000,13304686
2023-04-25,2.730000,2.750000,2.600000,2.620000,2.620000,17407039
2023-04-26,2.620000,2.620000,2.490000,2.550000,2.550000,16733475
2023-04-27,2.510000,2.600000,2.510000,2.510000,2.510000,16801189
2023-04-28,2.510000,2.520000,2.340000,2.380000,2.380000,17262295
2023-05-02,2.380000,2.390000,2.220000,2.240000,2.240000,17599183
2023-05-03,2.240000,2.240000,2.060000,2.170000,2.170000,20227348
2023-05-04,2.160000,2.270000,2.130000,2.220000,2.220000,15960061
2023-05-05,2.230000,2.240000,2.160000,2.180000,2.180000,19211676
2023-05-08,2.190000,2.210000,2.120000,2.190000,2.190000,12477997
2023-05-09,2.210000,2.230000,2.100000,2.100000,2.100000,13069034
