Date,Open,High,Low,Close,Adj Close,Volume
2023-03-08,5.710000,5.770000,5.570000,5.580000,5.580000,36020773
2023-03-09,5.580000,5.680000,5.510000,5.520000,5.520000,23027380
2023-03-10,5.520000,5.520000,5.240000,5.270000,5.270000,33552580
2023-03-13,5.270000,5.280000,5.080000,5.130000,5.130000,39583069
2023-03-14,5.130000,5.240000,5.050000,5.050000,5.050000,30539103
2023-03-15,5.060000,5.130000,4.860000,4.970000,4.970000,40487225
2023-03-16,4.980000,5.060000,4.950000,5.000000,5.000000,33603448
2023-03-17,5.040000,5.090000,4.920000,4.920000,4.920000,26389893
2023-03-20,4.900000,5.050000,4.820000,4.820000,4.820000,27521732
2023-03-21,4.820000,4.840000,4.640000,4.680000,4.680000,19199481
2023-03-22,4.680000,4.770000,4.670000,4.730000,4.730000,16322809
2023-03-23,4.720000,4.800000,4.680000,4.750000,4.750000,13373314
2023-03-24,4.750000,4.830000,4.640000,4.660000,4.660000,50291907
2023-03-27,4.680000,4.720000,4.600000,4.600000,4.600000,19607631
2023-03-28,4.600000,4.850000,4.470000,4.490000,4.490000,64998831
2023-03-29,4.500000,4.540000,4.290000,4.460000,4.460000,45492747
2023-03-30,4.460000,4.510000,4.380000,4.380000,4.380000,22650137
2023-03-31,4.380000,4.390000,4.280000,4.320000,4.320000,20486252
2023-04-03,4.320000,4.420000,4.260000,4.310000,4.310000,21566219
2023-04-04,4.320000,4.360000,4.260000,4.340000,4.340000,23958805
2023-04-05,4.350000,4.590000,4.350000,4.460000,4.460000,61479626
2023-04-06,4.460000,4.480000,4.340000,4.340000,4.340000,21269947
2023-04-07,4.350000,4.450000,4.340000,4.440000,4.440000,20795590
2023-04-10,4.480000,4.880000,4.480000,4.880000,4.880000,80863038
2023-04-11,5.030000,5.360000,4.960000,5.360000,5.360000,178556609
2023-04-12,5.360000,5.700000,5.000000,5.000000,5.000000,205777062
2023-04-13,5.030000,5.230000,4.910000,5.100000,5.100000,100391428
2023-04-14,5.150000,5.200000,5.000000,5.010000,5.010000,46519907
2023-04-17,5.020000,5.270000,4.940000,5.050000,5.050000,69784359
2023-04-18,5.050000,5.130000,4.940000,4.940000,4.940000,31314131
2023-04-19,4.940000,5.090000,4.870000,4.940000,4.940000,46531280
2023-04-20,4.940000,4.950000,4.870000,4.870000,4.870000,7057138
2023-04-24,4.890000,5.010000,4.800000,4.820000,4.820000,34007129
2023-04-25,4.840000,4.850000,4.540000,4.540000,4.540000,35587571
2023-04-26,4.540000,4.580000,4.430000,4.470000,4.470000,19020712
2023-04-27,4.470000,4.750000,4.450000,4.560000,4.560000,52477147
2023-04-28,4.570000,4.590000,4.360000,4.430000,4.430000,20423576
2023-05-02,4.450000,4.480000,4.210000,4.210000,4.210000,19818673
2023-05-03,4.210000,4.240000,3.900000,4.070000,4.070000,25250470
2023-05-04,4.050000,4.220000,4.030000,4.150000,4.150000,16271631
2023-05-05,4.150000,4.170000,4.030000,4.060000,4.060000,10600440
2023-05-08,4.070000,4.150000,4.020000,4.150000,4.150000,15805284
