,Share,Change
0,DAPGM,-21.825401887676392
1,RYGYO,6.929637526652428
2,RTALB,-24.56140350877193
3,TRCAS,-29.008904733235227
4,KONKA,-26.47743136342484
5,MSGYO,-1.9512195121951237
6,YKBNK,17.49408983451535
7,BRMEN,-29.807692307692307
8,DESPC,7.437506249999998
9,SOKM,17.902101398601403
10,BRKSN,-21.663244353182748
11,IZMDC,-22.410865874363324
12,TOASO,43.12924761904762
13,KOZAL,-21.65975518672198
14,ZEDUR,-32.84210701754387
15,CEOEM,-49.519692603266094
16,VESTL,-33.14381159103364
17,MRGYO,-26.480836236933797
18,HUBVC,-24.729241877256314
19,BIMAS,9.56036058142999
20,GWIND,-14.749433703569167
21,NIBAS,-40.70680628272252
22,ANELE,6.553398058252412
23,KLRHO,-0.7729468599033851
24,HTTBT,6.308243727598565
25,GLBMD,-12.380952380952394
26,PINSU,-29.726890756302524
27,MGROS,19.09722222222223
28,KOZAA,-22.63985238810544
29,PRKAB,-14.596059558589943
30,LUKSK,125.22851480358779
31,FROTO,21.19765312906469
32,NTHOL,-14.223764093668692
33,TURSG,-2.0725388601036485
34,YATAS,-27.434054497984306
35,PAPIL,-29.770114942528735
36,EDIP,-22.588832487309645
37,SASA,-10.913931657099582
38,DURDO,-32.51824694376364
39,EUHOL,-18.095238095238102
40,BEYAZ,-17.86666666666666
41,KZBGY,-30.082301649477444
42,ULKER,-12.574496049627655
43,YYAPI,-10.63829787234043
44,USAK,-30.496453900709227
45,YUNSA,-4.113400718121838
46,BOSSA,-4.900325512589447
47,ALCAR,-13.714285714285708
48,ATAGY,7.333333333333329
49,IDGYO,-4.819277108433724
50,AYDEM,-28.786123051220983
51,HATEK,-18.367346938775512
52,LOGO,5.400366752320906
53,CUSAN,0.11217049915875066
54,NETAS,0.06636032071534714
55,DARDL,-24.04761904761905
56,GOODY,-25.535709853316064
57,BERA,-32.90960451977401
58,OZGYO,-22.649572649572647
59,MNDTR,-22.671156004489333
60,SAMAT,26.619964973730305
61,DOAS,-31.239091840805997
62,PAGYO,22.194309974636084
63,ZOREN,-27.320490367775818
64,BRLSM,-25.629290617848966
65,TBORG,-7.248672149435762
66,PRZMA,87.77777777777774
67,DIRIT,-4.166666666666671
68,DAGI,-26.376440460947506
69,AGHOL,3.718089982643505
70,KUVVA,-2.564102564102569
71,IZINV,8.6999075610903
72,BAGFS,-35.77142857142857
73,FMIZP,-16.232874657534254
74,OTKAR,-10.01999649999999
75,DMSAS,2.3866348448687233
76,DERIM,26.092715231788077
77,DOBUR,-24.039211764705897
78,PKENT,-11.784229875518676
79,RYSAS,-6.552901247539282
80,ISGYO,-30.13582342954159
81,QNBFL,-18.885603177798757
82,AGYO,-21.53518123667378
83,VAKFN,12.1875
84,MERKO,-18.858954041204427
85,OYAKC,-40.48617056818587
86,DOCO,59.07042162560859
87,NATEN,-12.103176827443988
88,MPARK,-20.353448372207865
89,FENER,-16.231649530695762
90,ENJSA,-17.95795549423289
91,TTKOM,-21.627521661798028
92,ULUUN,-23.270849280192323
93,KNFRT,-35.7668364459536
94,AKSUE,-1.1322220204654627
95,SMRTG,-28.33819066414837
96,PKART,2.666662499999987
97,LINK,11.93099847000488
98,OYYAT,-4.5360774364968535
99,JANTS,-8.186049302325586
100,TRGYO,-22.46049223817677
101,GUBRF,3.2243830359818872
102,GENIL,-9.422748502180568
103,KGYO,0.0
104,ORGE,-10.332749562171628
105,EGGUB,-14.228719982528716
106,PENGD,-29.392971246006383
107,TEZOL,-20.20905923344948
108,TUCLK,-14.176248403575983
109,MARTI,-11.764705882352942
110,PSDTC,-5.704918032786878
111,THYAO,-12.59515363321799
112,DGGYO,39.26521239954076
113,SELEC,-37.409088636363634
114,KRTEK,-11.954463946869069
115,TGSAS,-20.744081172491533
116,TSGYO,-21.132075471698116
117,ALKIM,-18.21006836544437
118,SEKFK,-9.312638580931264
119,DGNMO,-24.683544303797476
120,QUAGR,12.666197004859086
121,TUPRS,-0.5641066435238287
122,QNBFB,-10.570173709218153
123,EGPRO,-26.191202543514322
124,GARFA,-17.980100152260917
125,OSMEN,-18.26086956521739
126,SKBNK,-5.73770491803279
127,ALARK,-31.384615384615387
128,AYCES,-8.000002500000008
129,DENGE,-26.180257510729618
130,EGSER,-33.4549246474804
131,VERUS,15.281499280044699
132,KLMSN,-12.334569207759088
133,MAGEN,2.247781089795126
134,BTCIM,-2.9126213592233086
135,ZRGYO,-27.200000000000003
136,GSDHO,-19.325153374233125
137,PNSUT,-9.770848941720416
138,CANTE,-60.3565356612168
139,SMART,-22.06047032474804
140,GARAN,11.9834664469642
141,SAFKR,-10.006671114076056
142,EUKYO,8.465608465608454
143,KAPLM,-34.234234234234236
144,OYAYO,-8.853681267474386
145,GRNYO,13.043478260869563
146,ARENA,-10.42199488491049
147,HEKTS,-17.712418300653596
148,EREGL,-23.921032508699895
149,ANGEN,-25.719649561952437
150,KRDMD,-35.593220338983045
151,VAKKO,-16.169493220338964
152,ISMEN,-16.81818181818184
153,EMNIS,-16.947522461542547
154,AVTUR,-7.926829268292678
155,SUNTK,-17.11583491999609
156,PEKGY,60.17191977077363
157,POLTK,53.32628266384779
158,ANSGR,8.448998189499108
159,IHEVA,-26.34730538922156
160,ODAS,-39.404352806414664
161,AEFES,17.04119411830733
162,METUR,-30.85501858736059
163,SEYKM,-15.277777777777771
164,KUTPO,-23.86718898696897
165,PRKME,-36.20253164556962
166,ALKA,-12.68709596176393
167,ETYAT,3.5799522673030992
168,SAYAS,-27.922885572139293
169,BFREN,-19.230769230769226
170,GLYHO,-31.49113660062565
171,TLMAN,-29.901958661732692
172,ERBOS,-29.986611646048658
173,PNLSN,-18.096050988337282
174,CEMTS,-9.79910339738754
175,PGSUS,-11.613566289825286
176,MERIT,-14.972061870727998
177,ISDMR,-35.754191324576894
178,DYOBY,-10.38298297872339
179,KERVN,7.5
180,YYLGD,-9.876541106538568
181,EMKEL,-31.227651966626937
182,MIPAZ,-13.687782805429862
183,MAALT,-11.111111111111114
184,GLCVY,3.167803802748125
185,ECZYT,1.3026796934865956
186,VESBE,-16.758457907159723
187,KARTN,-27.845773360309906
188,VANGD,45.30892448512586
189,GOZDE,-25.454541082377773
190,EKGYO,-33.849821215733016
191,TATGD,-5.791855203619917
192,ARDYZ,-21.957040572792366
193,INDES,-4.423748544819546
194,BJKAS,76.55417406749555
195,IEYHO,-28.87700534759358
196,MEGAP,-50.33112582781457
197,ECILC,6.546770019667974
198,EGEEN,-28.84751773049645
199,CIMSA,-38.75968992248062
200,CELHA,-12.196679438058752
201,TKNSA,-5.9667297762478455
202,GSRAY,6.806930693069319
203,TEKTU,-25.396825396825392
204,VBTYZ,-26.427680283451437
205,GESAN,-25.02654725663716
206,BSOKE,-34.46969696969697
207,IHLAS,-21.978021978021985
208,RALYH,30.15873624758561
209,SELGD,-22.188905547226383
210,BRKO,-17.599999999999994
211,TUKAS,-43.629694941782546
212,DOGUB,39.19999333333334
213,FORMT,44.44444444444446
214,TMSN,-30.73943540034216
215,ARCLK,-1.0238882514647116
216,ISGSY,-12.551724137931032
217,KERVT,-35.88709677419355
218,SAHOL,-13.951357781029927
219,YAPRK,-17.875284477489245
220,SILVR,-7.652685798381157
221,VAKBN,4.805491990846676
222,MNDRS,-16.993464052287592
223,YGYO,-18.716577540106954
224,MRSHL,-4.104803493449779
225,YKSLN,-17.418213969938108
226,KATMR,-26.45673449690453
227,AKSA,-8.374040240780445
228,BNTAS,-23.851851851851848
229,ESCOM,-19.46517412935323
230,KRVGD,-39.249149349439016
231,IDEAS,-39.47963972059842
232,MEPET,-30.03731343283583
233,COSMO,-26.070036444803875
234,INFO,-22.896281800391392
235,OTTO,4.3010752688172005
236,CASA,-15.952536241645404
237,TKFEN,-22.854387656702016
238,BANVT,-13.095238095238102
239,TCELL,-4.414361389052388
240,DZGYO,36.75213675213675
241,TERA,-28.53087650816181
242,CCOLA,26.885771760158235
243,RUBNS,-2.8873963961791844
244,BMSCH,-19.52440550688361
245,DOHOL,-6.806282722513089
246,MAVI,11.52073732718894
247,KARSN,-8.854166666666657
248,OYLUM,-1.4204545454545467
249,EUYO,-16.33027522935781
250,KONYA,-34.96850829128188
251,TTRAK,2.6779255493862877
252,IHGZT,-13.461538461538467
253,ASUZU,-22.850413612772428
254,KFEIN,-27.276263530106476
255,PEGYO,17.19532554257094
256,DAGHL,21.545454545454547
257,NUHCM,23.125661767444413
258,KENT,-16.58607471103373
259,SNGYO,-29.392971246006383
260,UFUK,-10.680449796390178
261,GEDIK,12.783171521035598
262,BUCIM,-37.12121212121211
263,ATSYH,-8.982035928143716
264,GOLTS,-22.54417102473498
265,BRSAN,56.482082084690546
266,SNKRN,-15.923566878980893
267,DEVA,-22.811881188118818
268,ALMAD,-5.829596412556057
269,KCHOL,2.229732432432442
270,TURGG,-17.51672011935686
271,HURGZ,-29.071803852889673
272,TDGYO,-4.6234390858409
273,PETUN,-16.41379310344827
274,AYGAZ,1.04477164179103
275,ISYAT,-14.315352697095435
276,KRSTL,-24.291115311909266
277,MARKA,252.5547445255474
278,ANHYT,-10.435273437500001
279,CMBTN,-3.970174836905869
280,BIZIM,-27.14285714285714
281,FLAP,-36.54618473895582
282,SISE,-3.209636328745333
283,KAREL,-23.927392739273927
284,ASELS,-10.090086486486484
285,METRO,12.244897959183675
286,OZKGY,-32.08191126279864
287,TETMT,-22.73281633345627
288,CLEBI,-15.996343692870198
289,DERHL,-23.818181818181813
290,ITTFH,-5.61056105610561
291,IZFAS,29.836065573770497
292,YGGYO,-8.5217420289855
293,ATLAS,-4.054054054054049
294,ERSU,-0.5253940455341564
295,HLGYO,-33.8204592901879
296,SKTAS,-16.753926701570677
297,VKING,-7.352941176470594
298,ATATP,-20.95869857426321
299,YAYLA,-14.372469635627525
300,TSKB,-7.159904534606213
301,GSDDE,-9.196891191709838
302,KONTR,-34.16815505369388
303,SANKO,-12.355208494208483
304,BURCE,69.63528413910095
305,AYEN,-36.479130778005725
306,EKIZ,-17.365623154164197
307,IHYAY,-33.91304347826086
308,VERTU,-7.244582267634129
309,KLGYO,-24.65277777777777
310,MZHLD,-25.925925925925924
311,CRDFA,47.038327526132406
312,INTEM,-17.73922591470007
313,ALCTL,-24.303029090909092
314,HALKB,0.09469696969696884
315,PENTA,-63.138295911611486
316,AVHOL,37.51465636076529
317,PETKM,-24.62641960549911
318,CEMAS,-28.21782178217822
319,KRONT,-40.37037037037036
320,OSTIM,-13.972602739726028
321,HDFGS,-9.594065878093375
322,CRFSA,13.792403069466872
323,PAMEL,-59.68309844542608
324,SEKUR,-36.15107913669064
325,ETILR,-14.680232558139537
326,SNPAM,-17.0
327,KLKIM,-4.955750442477878
328,SONME,-9.004438522370364
329,POLHO,-7.070707070707087
330,INVEO,0.0
331,AKGRT,5.0
332,KRGYO,183.0028328611898
333,KUYAS,19.343069343065707
334,ULAS,60.22222222222223
335,ICBCT,-13.466334164588531
336,VKGYO,-33.863636363636374
337,DITAS,-19.168422098957805
338,KORDS,-22.468354430379748
339,TAVHL,7.1951949155818085
340,BAYRK,5.19951632406287
341,RODRG,-51.622912233069975
342,MMCAS,-12.307692307692307
343,TMPOL,-15.138282387190685
344,DESA,5.375254993480354
345,IPEKE,-20.48500319081046
346,TSPOR,-18.764302059496572
347,FONET,-26.213592233009706
348,GLRYH,-37.67857142857142
349,ULUFA,4.727272727272734
350,AVOD,-12.36363636363636
351,ENKAI,-21.7839751754847
352,FRIGO,-38.73762376237624
353,AKMGY,-2.2794161764705905
354,YESIL,-12.793733681462143
355,ALBRK,-25.525525525525524
356,SANFM,-13.504074505238648
357,KLNMA,-14.79820627802691
358,BLCYT,-24.198473282442748
359,HEDEF,19.06249375
360,ALGYO,-17.366714756329344
361,KMPUR,-31.10200433143882
362,BRISA,-31.508994034261235
363,GEREL,40.901213171577155
364,BRYAT,-4.413078464333495
365,AVGYO,-21.910112359550567
366,SRVGY,-11.849710982658962
367,FADE,-32.738626226583406
368,GEDZA,-32.801664355062414
369,DOKTA,-8.482140814333505
370,RAYSG,4.487179726879248
371,UNLU,-16.157205240174676
372,TNZTP,26.25000625
373,BAKAB,-31.115455229567715
374,LIDFA,14.17525386066383
375,IHLGM,-27.27272727272728
376,MEDTR,-17.41935483870968
377,DGATE,-8.333333333333329
378,EYGYO,1.4309301045679632
379,GENTS,-3.1666666666666714
380,BVSAN,-27.81849612248685
381,SARKY,-18.269227494760727
382,ISFIN,-13.509316770186345
383,AKSEN,-24.34686214563645
384,MTRYO,-1.4285714285714306
385,CMENT,-16.165720815040146
386,MAKTK,-29.937629937629936
387,NUGYO,-15.187713310580207
388,EPLAS,-42.117646110677555
389,PARSN,-14.150943638952725
390,ORCAY,-3.70898716119828
391,OZRDN,-3.937007874015748
392,BURVA,7.263609666136219
393,VKFYO,29.245283018867923
