Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,57.049999,58.099998,53.849998,54.450001,54.364296,140784
2023-05-03,50.849998,52.000000,49.500000,50.549999,50.470436,229015
2023-05-04,50.549999,54.900002,50.200001,52.500000,52.417366,153319
2023-05-05,52.599998,53.599998,49.980000,50.500000,50.420513,93306
2023-05-08,50.000000,51.500000,49.939999,51.500000,51.418941,78138
2023-05-09,51.700001,51.950001,49.700001,50.000000,49.921303,160805
2023-05-10,50.000000,52.049999,49.419998,50.049999,49.971222,106479
2023-05-11,50.200001,53.299999,49.820000,51.750000,51.668545,187466
2023-05-12,51.750000,52.500000,50.000000,50.599998,50.520355,145082
2023-05-15,49.360001,51.049999,46.500000,49.799999,49.721615,96707
2023-05-16,49.939999,52.500000,49.680000,51.299999,51.219254,159555
2023-05-17,51.650002,55.150002,51.349998,53.950001,53.865086,187698
2023-05-18,53.950001,54.849998,52.599998,53.500000,53.415791,114939
2023-05-22,53.500000,57.950001,51.599998,52.299999,52.217682,357351
2023-05-23,52.099998,52.599998,50.900002,51.650002,51.568707,125530
2023-05-24,51.849998,52.500000,50.000000,50.500000,50.420513,109790
2023-05-25,50.500000,51.500000,50.099998,50.650002,50.570278,101511
2023-05-26,50.750000,52.450001,50.500000,52.400002,52.317524,131011
2023-05-29,53.500000,54.849998,53.150002,54.299999,54.214531,174447
2023-05-30,55.200001,58.049999,54.500000,57.799999,57.709023,220584
2023-05-31,57.799999,59.700001,56.200001,58.150002,58.058475,211673
2023-06-01,58.200001,59.700001,58.000000,59.500000,59.406349,188321
2023-06-02,59.500000,62.750000,59.500000,60.849998,60.754223,327220
2023-06-05,62.000000,62.150002,58.950001,61.950001,61.852493,212344
2023-06-06,62.000000,62.000000,60.250000,60.650002,60.554539,163923
2023-06-07,61.099998,63.450001,61.099998,62.049999,61.952335,268342
2023-06-08,61.950001,62.400002,60.000000,60.950001,60.854065,174081
2023-06-09,61.000000,64.400002,60.400002,62.900002,62.800999,443225
2023-06-12,63.000000,64.400002,62.299999,62.799999,62.701153,274819
2023-06-13,62.849998,62.900002,59.750000,60.299999,60.205090,171299
2023-06-14,60.349998,63.000000,59.900002,60.000000,59.905560,143057
2023-06-15,60.049999,62.599998,60.000000,62.099998,62.002254,132425
2023-06-16,62.099998,63.400002,61.599998,62.000000,61.902412,117484
2023-06-19,61.650002,62.250000,59.799999,60.700001,60.604462,122226
2023-06-20,60.599998,61.900002,59.750000,59.750000,59.655956,88440
2023-06-21,59.750000,60.599998,57.500000,57.849998,57.758945,107934
2023-06-22,57.900002,61.799999,57.849998,60.799999,60.704300,476017
2023-06-23,61.200001,66.849998,61.200001,65.050003,64.947617,691258
2023-06-26,65.250000,71.550003,65.250000,71.550003,71.437386,519321
2023-06-27,72.500000,78.699997,72.099998,78.699997,78.576126,451668
2023-07-03,81.000000,85.949997,78.000000,81.000000,80.872505,901915
2023-07-04,83.300003,88.949997,82.699997,88.349998,88.210938,865879
2023-07-05,88.500000,91.000000,84.400002,85.699997,85.565109,625460
2023-07-06,88.449997,90.000000,83.550003,84.250000,84.117393,507634
2023-07-07,84.449997,86.400002,83.000000,83.400002,83.268730,367987
2023-07-10,83.400002,84.949997,82.250000,83.500000,83.368576,360389
2023-07-11,84.500000,88.400002,80.300003,85.000000,84.866211,578452
2023-07-12,85.449997,86.400002,83.349998,84.699997,84.566681,301316
2023-07-13,84.699997,93.150002,84.699997,92.500000,92.354408,1172006
2023-07-14,92.500000,92.699997,87.000000,88.800003,88.660233,657312
2023-07-17,88.900002,97.650002,87.099998,93.949997,93.802124,904863
2023-07-18,93.949997,96.000000,88.949997,90.000000,89.858345,413994
2023-07-19,89.000000,94.000000,86.500000,90.800003,90.657089,397384
2023-07-20,93.099998,93.099998,88.500000,90.250000,90.107948,329117
2023-07-21,90.400002,93.250000,89.250000,91.500000,91.355980,444949
2023-07-24,92.000000,92.849998,90.449997,90.800003,90.657089,393853
2023-07-25,90.849998,97.199997,88.000000,93.400002,93.252991,770104
2023-07-26,94.500000,95.300003,89.800003,92.300003,92.154724,331525
2023-07-27,92.349998,99.800003,91.099998,97.250000,97.096931,615156
2023-07-28,97.349998,98.500000,94.500000,95.300003,95.150002,262060
2023-07-31,95.000000,96.000000,93.050003,93.949997,93.949997,349675
2023-08-01,93.949997,97.300003,92.500000,95.949997,95.949997,326668
2023-08-02,95.949997,97.949997,93.250000,93.699997,93.699997,360308
